property_id,listing_id,listing_name,date,occupancy,average_daily_rate_usd,revpar_usd,revenue_usd,min_nights
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2025-08,0.516,33556.0,17314.9,536888.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2025-09,0.4,32039.0,12815.6,384466.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2025-10,0.065,32735.0,2127.78,65471.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2025-11,0.2,35807.0,7161.4,214841.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2025-12,0.387,62761.0,24288.51,753128.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2026-01,0.548,46008.0,25212.38,782151.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2026-02,0.75,44461.0,33345.75,933698.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2026-03,0.613,46473.0,28487.95,883001.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2026-04,0.3,50369.0,15110.7,453319.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2026-05,0.226,34629.0,7826.15,242405.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2026-06,0.6,28953.0,17371.8,521162.0,4
BHOV258BugQE9_p7EpKP,995028603027664645,Beachfront Villa Luxe • Heated Pool • SUP & Kayaks,2026-07,0.677,23712.0,16053.02,497932.0,4
TnOV258BugQE9_p7KL-v,1571685759027676871,New! Oniric Condo 2bdr Pvt Plunge pool/Jungle View,2026-07,0.355,2337.0,829.63,25698.0,1
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2025-08,0.419,2115.0,886.18,27506.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2025-09,0.0,2120.0,0.0,0.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2025-10,0.194,2125.0,412.25,12752.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2025-11,0.2,1996.0,399.2,11974.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2025-12,0.613,2202.0,1349.83,41852.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2026-01,0.871,2096.0,1825.62,56568.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2026-02,0.429,2259.0,969.11,27098.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2026-03,0.065,2440.0,158.6,4879.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2026-04,0.0,2552.75,0.0,0.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2026-05,0.0,2665.5,0.0,0.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2026-06,0.0,2778.25,0.0,0.0,2
RnOV258BugQE9_p7Lcrq,1047385700905603490,Downtown PH w/Rooftop Pools Near Beach & Nightlife,2026-07,0.452,2891.0,1306.73,40472.0,2
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2025-08,0.161,3748.0,603.43,18739.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2025-09,0.033,3946.0,130.22,3946.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2025-10,0.0,7300.666666666666,0.0,0.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2025-11,0.0,10655.333333333332,0.0,0.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2025-12,0.097,14010.0,1358.97,42027.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2026-01,0.29,12915.0,3745.35,116246.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2026-02,0.036,6201.0,223.24,6201.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2026-03,0.806,4500.0,3627.0,112513.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2026-04,0.067,2770.0,185.59,5540.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2026-05,0.097,1569.0,152.19,4704.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2026-06,0.367,3557.0,1305.42,39131.0,3
uHOV258BugQE9_p7L84p,817646308003699102,Peaceful 3BR Villa | Private Pool | Gated,2026-07,0.323,4494.0,1451.56,44943.0,3
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2025-10,0.161,12355.0,1989.15,61777.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2025-11,0.0,13446.0,0.0,0.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2025-12,0.129,14537.0,1875.27,58142.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2026-01,0.258,12468.0,3216.74,99742.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2026-02,0.357,10826.0,3864.88,108256.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2026-03,0.032,8145.0,260.64,8145.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2026-04,0.333,9335.0,3108.56,93346.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2026-05,0.0,9335.0,0.0,0.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2026-06,0.0,9335.0,0.0,0.0,2
_3OV258BugQE9_p7Pu12,1326286525112688844,Sky Bridg by SmartDepas Tulum,2026-07,0.0,9335.0,0.0,0.0,2
SXSV258BugQE9_p7Xyuf,1506849930975467603,Upscale 2BR Tulum Penthouse | Private Pool | Gym,2025-12,0.774,8077.0,6251.6,193847.0,3
SXSV258BugQE9_p7Xyuf,1506849930975467603,Upscale 2BR Tulum Penthouse | Private Pool | Gym,2026-01,0.774,8347.0,6460.58,200320.0,3
SXSV258BugQE9_p7Xyuf,1506849930975467603,Upscale 2BR Tulum Penthouse | Private Pool | Gym,2026-02,0.714,6881.0,4913.03,137629.0,3
SXSV258BugQE9_p7Xyuf,1506849930975467603,Upscale 2BR Tulum Penthouse | Private Pool | Gym,2026-03,0.806,5163.0,4161.38,129095.0,3
SXSV258BugQE9_p7Xyuf,1506849930975467603,Upscale 2BR Tulum Penthouse | Private Pool | Gym,2026-04,0.333,4323.0,1439.56,43233.0,3
SXSV258BugQE9_p7Xyuf,1506849930975467603,Upscale 2BR Tulum Penthouse | Private Pool | Gym,2026-05,0.065,2517.0,163.61,5035.0,3
SXSV258BugQE9_p7Xyuf,1506849930975467603,Upscale 2BR Tulum Penthouse | Private Pool | Gym,2026-06,0.933,2710.0,2528.43,75851.0,3
SXSV258BugQE9_p7Xyuf,1506849930975467603,Upscale 2BR Tulum Penthouse | Private Pool | Gym,2026-07,1.0,3099.0,3099.0,96068.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2025-08,0.032,14482.0,463.42,14482.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2025-09,0.0,15416.333333333334,0.0,0.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2025-10,0.0,16350.666666666668,0.0,0.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2025-11,0.3,17285.0,5185.5,155571.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2025-12,0.29,22662.0,6571.98,203955.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2026-01,0.516,24789.0,12791.12,396635.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2026-02,0.464,27448.0,12735.87,356824.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2026-03,0.548,23620.0,12943.76,401534.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2026-04,0.0,23620.0,0.0,0.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2026-05,0.0,23620.0,0.0,0.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2026-06,0.0,23620.0,0.0,0.0,3
YWyR258BugQE9_p7dfOQ,752045616894020913,"Luxury 5-BR Beachfront Home Near Tulum, Mexico",2026-07,0.0,23620.0,0.0,0.0,3
m22R258BugQE9_p74LNv,1145525975187189236,Central Park Tulum Luxury 104G,2025-08,0.871,1306.0,1137.53,35282.0,1
m22R258BugQE9_p74LNv,1145525975187189236,Central Park Tulum Luxury 104G,2025-09,0.733,1137.0,833.42,25018.0,1
m22R258BugQE9_p74LNv,1145525975187189236,Central Park Tulum Luxury 104G,2025-10,0.161,1061.0,170.82,5307.0,1
m22R258BugQE9_p74LNv,1145525975187189236,Central Park Tulum Luxury 104G,2025-11,0.833,1096.0,912.97,27429.0,1
m22R258BugQE9_p74LNv,1145525975187189236,Central Park Tulum Luxury 104G,2025-12,0.581,1472.0,855.23,26476.0,1
