Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/8653231-Terreno-en-Venta-en-Manzanillo-MANZANILLO-%E2%80%A2-PUERTO-DE-MANZANILLO-23,Terreno en Venta en Manzanillo - MANZANILLO • PUERTO DE MANZANILLO 23,Land/Lot,35100000,MXN,,,2700,m2,"TERRENO EN MANZANILLO ???? Ubicación privilegiada: A solo 800 metros de la entrada al Puerto de Manzanillo, a pie de avenida, con excelente conectividad y alto potencial comercial. Características: * Superficie: 2,700 m² * 57 metros de frente * Terreno compactado y con cimentación * Malla ciclónica perimetral con postes tubulares * Actualmente se encuentra rentado como estacionamiento Ideal para: Cualquier giro comercial o industrial, gracias a su ubicación estratégica y fácil acceso. ???? Precio: $13,000 MXN por m². Una excelente oportunidad de inversión en una de las zonas con mayor activida",https://static.tokkobroker.com/sm_pics/134962565_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/8653231-Terreno-en-Venta-en-Manzanillo-MANZANILLO-%E2%80%A2-PUERTO-DE-MANZANILLO-23,No Location Signal
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/5569438-Terreno-en-Venta-en-Fraccionamiento-Briones-,Terreno en Venta en Fraccionamiento Briones - Fraccionamiento Briones,Land/Lot,2367000,MXN,,,674,m2,"TERRENO EN VENTA EN BRIONES TERRENO EN VENTA EN BRIONES TERRENO EN VENTA EN COATEPEC EXCLUSIVO TERRENO EN PRIVADA DE BRIONES, COATEPEC Construye tu hogar en una de las zonas más bellas y tranquilas de Coatepec. Un terreno rodeado de naturaleza, con excelente ubicación y la privacidad ideal para disfrutar de un estilo de vida tranquilo sin alejarte de las principales vías de acceso. CARACTERÍSTICAS • Superficie: 789 m² • Ubicado dentro de privada • Servicios disponibles • A solo 100 metros de la carretera • Entorno natural, tranquilo y con excelente acceso PRECIO DE VENTA $2,367,000 MXN Una exc",https://static.tokkobroker.com/sm_pics/71766599_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/5569438-Terreno-en-Venta-en-Fraccionamiento-Briones-,No Location Signal
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/7059677-Casa-en-Venta-en-Xalapa-LOS-CEDROS-XALAPA-1,Casa en Venta en Xalapa - LOS CEDROS XALAPA 1,Land/Lot,2900000,MXN,2,,110,m2,"Venta de Casa en el Residencial los cedros Venta de casa en Fraccionamiento Cerrado con vigilancia 24/7 Terreno: 110m2 Construcción:238.40m Planta Baja: -Cochera techada para 2 autos . -sala -comedor -cocina integral con barra de granito ,parrilla eléctrica campana y horno. -medio baño -Área de servicio. -Area jardinada Segundo Nivel: -2 recamaras con baño completo y vestidor cada una. Tercer Nivel: -recámara con baño completo y vestidor - Terrazas o Roof garden . Tanque estacionario de 300litris. Cisterna 6000L",https://static.tokkobroker.com/sm_pics/101715140_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/7059677-Casa-en-Venta-en-Xalapa-LOS-CEDROS-XALAPA-1,No Location Signal
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/8008989-Terreno-en-Venta-en-Fraccionamiento-Pen%C3%ADnsula-de-Santiago-,Terreno en Venta en Fraccionamiento Península de Santiago - Fraccionamiento Península de Santiago,Land/Lot,57386000,MXN,,,4099,m2,"VENTA DE TERRENO | VENTA DE TERRENO | VENTA DE TERRENO No es un terreno… es una oportunidad de crear algo icónico frente al mar. Ubicado en la exclusiva Península de Santiago, este terreno de 4,099 m² representa una de las pocas oportunidades reales de desarrollo en una zona consolidada, rodeada de hoteles de lujo, turismo internacional y uno de los campos de golf más reconocidos del Pacífico: Las Hadas, a un costado de Barceló Karmina Palace. Aquí no compras tierra…compras ubicación, plusvalía y proyección internacional. Características clave:• 4,099 m² de superficie• Uso de suelo H2-A• Colin",https://static.tokkobroker.com/sm_pics/122689702_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/8008989-Terreno-en-Venta-en-Fraccionamiento-Pen%C3%ADnsula-de-Santiago-,No Location Signal
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/8481809-Terreno-en-Venta-en-Fraccionamiento-Briones-BRIONES-%E2%80%A2-COATEPEC-%E2%80%A2-M%C3%89XICO-23,Terreno en Venta en Fraccionamiento Briones - BRIONES • COATEPEC • MÉXICO 23,Land/Lot,5500000,MXN,,,3382,m2,"VENTA DE TERRENO VENTA DE TERRENO VENTA DE TERRENO Haz realidad tu proyecto en uno de los entornos más exclusivos y naturales de Briones. Este magnífico terreno de 3,382 m², ubicado dentro de un fraccionamiento privado, combina privacidad, seguridad y una conexión inigualable con la naturaleza, a solo unos minutos de Plaza Briones. Características: • Terreno de 3,382 m² • 75 metros de frente • Topografía con una ligera pendiente que posteriormente se nivela, ideal para aprovechar el paisaje y desarrollar un proyecto con personalidad. • Agua de pozo • Energía eléctrica • Fosa séptica • Servicio",https://static.tokkobroker.com/sm_pics/130441003_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/8481809-Terreno-en-Venta-en-Fraccionamiento-Briones-BRIONES-%E2%80%A2-COATEPEC-%E2%80%A2-M%C3%89XICO-23,No Location Signal
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/8437313-Terreno-en-Venta-en-Fraccionamiento-Residencial-Monte-Magno-MONTE-MAGNO%E2%80%A2XALAPA%E2%80%A2M%C3%89XICO-23,Terreno en Venta en Fraccionamiento Residencial Monte Magno - MONTE MAGNO•XALAPA•MÉXICO 23,Land/Lot,2860000,MXN,,,280,m2,"TERRENO EN VENTA EN XALAPA TERRENO EN VENTA EN XALAPA TERRENO EN VENTA EN XALAPA Oportunidad de inversión en una de las mejores zonas de Xalapa Terreno en venta ubicado en una zona comercial, exclusiva y de alta plusvalía, ideal para quienes buscan invertir en un punto estratégico de la ciudad. Su ubicación lo convierte en una excelente opción para desarrollar un proyecto residencial, comercial o patrimonial, rodeado de servicios, comercios, movimiento constante y una gran proyección de crecimiento. Características: • Superficie: 280 m² • Frente: 16 metros • Uso de suelo urbano • Todos los ser",https://static.tokkobroker.com/sm_pics/129436224_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/8437313-Terreno-en-Venta-en-Fraccionamiento-Residencial-Monte-Magno-MONTE-MAGNO%E2%80%A2XALAPA%E2%80%A2M%C3%89XICO-23,No Location Signal
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/8171659-Local-en-Renta-en-Coatepec-COATEPEC-%E2%80%A2-CENTRO-23,Local en Renta en Coatepec - COATEPEC • CENTRO 23,Commercial,15000,MXN,,3,100,m2,"LOCAL COMERCIAL EN VENTA O RENTA EN EL CENTRO DE COATEPEC ???? Excelente ubicación sobre la Calle Constitución, en pleno centro de Coatepec, una zona con alto flujo peatonal y vehicular, ideal para negocios que buscan visibilidad y fácil acceso. ? Características: • 100 m² de construcción • Dos niveles funcionales • 1 baño • Espacios versátiles para adaptarse a diferentes giros comerciales Ideal para: ? Restaurante o cafetería ? Oficinas o consultorios ? Bodega o centro de distribución ? Tienda, showroom o negocio de servicios ???? Venta: $2,000,000 MXN ???? Renta: $15,000 MXN mensuales Una ex",https://static.tokkobroker.com/sm_pics/125879526_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/8171659-Local-en-Renta-en-Coatepec-COATEPEC-%E2%80%A2-CENTRO-23,No Location Signal
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/5818365-Terreno-en-Venta-en-Fraccionamiento-Residencial-Monte-Magno-Monte-Magno-Xalapa-1,Terreno en Venta en Fraccionamiento Residencial Monte Magno - Monte Magno Xalapa 1,Land/Lot,8500,MXN,,,1009,m2,"VENTA TERRENO MONTE MAGNO VENTA TERRENO MONTE MAGNO VENTA TERRENO XALAPA TERRENO COMERCIAL EN VENTA EN XALAPA, MONTE MAGNO Ubicado en Monte Magno, cerca de la Plaza Monte Magno, Plaza Central y Plaza Ankara Descripción del inmueble: - Uso de suelo: Comercial - Propiedad - Servicios subterráneos - Zona de alta afluencia y plusvalía - Calles asfaltadas Dimensiones de los terrenos: - 1,009 m2 - 1,062 m2 - 950 m2 - 1,574 m2 PRECIO DE VENTA$ 8,500.00 el m2",https://static.tokkobroker.com/sm_pics/125960285_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/5818365-Terreno-en-Venta-en-Fraccionamiento-Residencial-Monte-Magno-Monte-Magno-Xalapa-1,No Location Signal
360 Real Estate,https://360realestate.com.mx,Tokko Broker,https://www.360realestate.com.mx/p/8167237-Terreno-en-Venta-en-Oaxaca-de-Ju%C3%A1rez-OAXACA-%E2%80%A2-M%C3%89XICO-23,Terreno en Venta en Oaxaca de Juárez - OAXACA • MÉXICO 23,Land/Lot,1050000,MXN,,,300,m2,"VENTA DE LOTES EXCLUSIVOS EN OAXACA RANCHO MAGUEY TOKEN Invierte en un concepto único rodeado de naturaleza, agave y experiencias auténticas en Oaxaca. Lotes privados desde 300 m² dentro de un desarrollo boutique enfocado en turismo de experiencia, wellness y plusvalía. DESDE: $1,050,000 MXN Incluye: • Propiedad privada • Contrato de compraventa • Agua • Energía eléctrica • Biodigestores ecológicos Amenidades exclusivas: • Cancha de pádel • Mirador • Destilería • Café bar • Huerto orgánico • Laguna natural • Área de agave silvestre Una oportunidad ideal para inversionistas que buscan patrimoni",https://static.tokkobroker.com/sm_pics/125790938_og.jpg,Mexico,,,,,Sale,1,360 Real Estate,https://www.360realestate.com.mx/p/8167237-Terreno-en-Venta-en-Oaxaca-de-Ju%C3%A1rez-OAXACA-%E2%80%A2-M%C3%89XICO-23,No Location Signal
5 Bienes Raíces,https://www.5bienesraices.com/,Tokko Broker,"https://www.5bienesraices.com/p/8361307-Casa-en-Venta-en-Amorada-Privada-Residencial-Los-Rodr%C3%ADguez,-67300-Santiago,-N.L.","Casa en Venta en Amorada Privada Residencial - Los Rodríguez, 67300 Santiago, N.L.",House,8790000,MXN,2,,321,m2,"¡Vive en el fraccionamiento Amorada Residencial 3, Carretera Nacional! Lo importante a destacar de esta propiedad:En planta Baja cuenta con 1 habitación (4ta recámara) y baño completoCada habitación cuenta con su baño, closet propio y terraza. -Entrega Inmediata- Características principales:Terreno: 295 m² (10x29)Construcción: 321 m² PLANTA BAJACochera triple Baño completo Habitación o Cuarto Flex Área para cocina integral y amplia alacena Sala comedor con vista al jardín (45 m2 libres) Terraza con área de asador de 13.3 m2 libresCuarto de servicio o bodega Baño de servicio PLANTA ALTA:Estanci",https://static.tokkobroker.com/sm_pics/8361307_52482520721809954364559771405591009467581919119143368990768958124171337273635_og.jpg,Mexico,,,,,Sale,1,5 Bienes Raíces,"https://www.5bienesraices.com/p/8361307-Casa-en-Venta-en-Amorada-Privada-Residencial-Los-Rodr%C3%ADguez,-67300-Santiago,-N.L.",No Location Signal
