Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
A y A Bienes Raices,https://aya-bienesraicesasociados.com/inmuebles-en-venta/,,https://aya-bienesraicesasociados.com/propiedad/25804-2/,TERRENO EN OLOCUILTA SOBRE AUTOPISTA AL AEROPUERTO,Land/Lot,600000,$,,,180,m2,"SE VENDE. Terreno, Ubicado Frente Zona Franca Miramar, Municipio de Olocuilta. El inmuble tiene 180 Metros sobre la Autopista que conduce de San Salvador hacia el Aeropuerto.",https://aya-bienesraicesasociados.com/wp-content/uploads/LOGO-Y-TITULO-6.png; https://chart.googleapis.com/chart?cht=qr&chs=100x100&chl=https://aya-bienesraicesasociados.com/propiedad/25804-2/&choe=UTF-8; https://aya-bienesraicesasociados.com/wp-content/uploads/WhatsApp-Image-2023-03-23-at-12.21.25-PM-1197x720.jpeg; https://aya-bienesraicesasociados.com/wp-content/uploads/WhatsApp-Image-2023-03-23-at-12.21.26-PM-1197x720.jpeg; https://aya-bienesraicesasociados.com/wp-content/uploads/WhatsApp-Image-2023-03-23-at-12.21.27-PM-1197x720.jpeg; https://aya-bienesraicesasociados.com/wp-content/uploads/WhatsApp-Image-2023-03-23-at-12.21.27-PM-1-1197x720.jpeg; https://aya-bienesraicesasociados.com/wp-content/uploads/WhatsApp-Image-2023-03-23-at-12.23.00-PM-868x720.jpeg; https://aya-bienesraicesasociados.com/wp-content/uploads/WhatsApp-Image-2023-03-23-at-12.21.27-PM-2-1197x720.jpeg,Mexico,,La Paz,13.537035314806,-89.111636182188,Sale,1,A y A Bienes Raices,https://aya-bienesraicesasociados.com/propiedad/25804-2/,Baja California Sur
Alur bienes raices,https://www.alurrealestate.mx/,EasyBroker,https://www.alurrealestate.mx/property/departamentos-de-lujo-en-preventa-la-paz-b-c-s,Departamentos de Lujo en Preventa –  La Paz B.C.S.,Condo/Apartment,5371935,USD,2,2,77,m2,"Descubre un exclusivo desarrollo en el corazón de La Paz, Baja California Sur. Inspirado en un diseño marroquí-mediterráneo, combina lujo, comodidad y la posibilidad de generar ingresos a través de...",https://assets.easybroker.com/property_images/5467044/94696592/EB-TZ7044.jpg?height=300&version=1755816438&width=450; https://assets.easybroker.com/organization_files/45865/LOGO_ALUR__real_estate___7_.png,Mexico,Quintana Roo,Tulum,,,Sale,1,Alur bienes raices,https://www.alurrealestate.mx/property/departamentos-de-lujo-en-preventa-la-paz-b-c-s,Tulum; Baja California Sur; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/departamento-en-venta-en-colorado-hills-fase-ii-los-cabos/,"Departamento en Venta en Colorado Hills Fase II, Los Cabos - Cantú Real Estate",Condo/Apartment,398000.00,USD,2,2,95.9,m2,"Residencia Moderna en Colorado Hills Área: 95.9 m² Ubicación: Calle La Antigua, 23405, San José del Cabo, BCS, México Precio de venta: $398,000 USD Especificaciones: 2 habitaciones2 baños completosCocina modernaSala y comedorTerraza de 17.04 m²Seguridad las 24 horas Descripción:Descubre el confort y la elegancia en Colorado Hills, situado en una ubicación privilegiada en San José",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,2,Cantu Real Estate,https://canturealestate.com.mx/property/departamento-en-venta-en-colorado-hills-fase-ii-los-cabos/; https://canturealestate.com.mx/property/departamento-en-venta-en-coyote-towers-los-cabos/,Playa del Carmen; Baja California Sur; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/departamento-en-venta-en-coyote-towers-los-cabos-2/,"Departamento en Venta en Coyote Towers, Los Cabos - Cantú Real Estate",Condo/Apartment,277000.00,USD,2,2,74,m2,"Departamento Coyote en Coyote Towers Área: 74 m² Ubicación: Camino de la Plaza 58, Pedregal, 23450 Cabo San Lucas, B.C.S., México Precio de venta: $277,000 USD Especificaciones: 2 habitaciones2 baños completosCocina de diseñoSala y comedorTerraza de 25.4 m² Descripción:Ubicada en el exclusivo desarrollo Coyote Towers en Pedregal, esta residencia de 123.08 m² ofrece una combinación",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,2,Cantu Real Estate,https://canturealestate.com.mx/property/departamento-en-venta-breeze-en-costa-mare-los-cabos-2/; https://canturealestate.com.mx/property/departamento-en-venta-en-coyote-towers-los-cabos-2/,Playa del Carmen; Baja California Sur; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/departamento-en-venta-en-los-cabos/,Departamento en Venta en Los Cabos - Cantú Real Estate,Land/Lot,1104999.00,USD,0,0,313,m2,"Con una ubicación inmejorable a solo quince minutos del Aeropuerto Internacional de Los Cabos, al pie de la mágica Sierra de la Laguna dentro del Club de Golf Campestre, diseñado por Jack Nicklaus, con vistas al Mar de Cortés se encuentra Cora, un exclusivo desarrollo en el que encontrarás un estilo de vida privilegiado En",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/departamento-en-venta-en-los-cabos/,Playa del Carmen; Baja California Sur; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/departamento-en-venta-en-sunset-los-cabos/,"Departamento en Venta en Sunset, Los Cabos - Cantú Real Estate",Condo/Apartment,417261.00,USD,2,2,110,m2,"Residencia Horizon en Panorama Residences Área: 110 m² Ubicación: Cabo San Lucas, Baja California Sur, México Precio de venta: $417,261 USD Especificaciones: 2 habitaciones2 baños completosCocina de diseño modernoSala y comedorTerraza con vistas al mar de 17.72 m²Estacionamiento subterráneoSeguridad 24/7Descripción:Disfruta de la exclusividad y el confort en Panorama Residences, situado en un enclave privilegiado de",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/departamento-en-venta-en-sunset-los-cabos/,Playa del Carmen; Baja California Sur; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/departamento-en-skytown-villas-and-condos-los-cabos-2/,"Departamento en SkyTown Villas and Condos, Los Cabos - Cantú Real Estate",Condo/Apartment,295000.00,USD,2,2,129.19,m2,"Residencia de Lujo en SkyTown Villas and Condos Área: 129.19 m² Ubicación: Calle Cabo San Lucas & 12 de Octubre, San José del Cabo, BCS, México Precio de venta: $295,000 USD Especificaciones: 2 habitaciones2 baños completosCocina ampliaSala y comedorTerraza de 19 m² Descripción:Descubre el encanto y la exclusividad en SkyTown Villas and Condos, ubicado en",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/departamento-en-skytown-villas-and-condos-los-cabos-2/,Playa del Carmen; Baja California Sur; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/departamento-en-venta-en-cumbre-del-tezal-cabo-san-lucas-kc0331/,"Departamento en Venta en Cumbre del Tezal, Cabo San Lucas | KC0331 - Cantú Real Estate",Land/Lot,7640000.00,USD,2,2,129,m2,"Departamento en Venta en Cumbre del Tezal, Cabo San Lucas Ubicado en una de las zonas más exclusivas de Los Cabos, este departamento de 129 m² en Cumbre del Tezal ofrece el balance perfecto entre lujo, comodidad y plusvalía. Con un diseño moderno y acabados de alta calidad, esta propiedad es ideal tanto para residencia",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/departamento-en-venta-en-cumbre-del-tezal-cabo-san-lucas-kc0331/,Playa del Carmen; Baja California Sur; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/departamento-en-venta-en-loma-del-cabo-los-cabos-2/,"Departamento en venta en Loma Del Cabo, Los Cabos - Cantú Real Estate",Condo/Apartment,5300000.00,USD,2,2,108.47,m2,"Residencia Premium en Loma del Cabo Área: 108.47 m² Ubicación: Fraccionamiento Loma del Cabo, a 6 minutos de La Marina, Cabo San Lucas, BCS Precio de venta: $5,300,000 mxn Especificaciones: Patio de 29.42 m²2 habitaciones2 baños completosCocina de lujoSala y comedorBodega Descripción:Descubre un oasis de lujo en Loma del Cabo, con esta impresionante residencia de",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/departamento-en-venta-en-loma-del-cabo-los-cabos-2/,Playa del Carmen; Baja California Sur; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/casa-en-venta-en-cumbre-tezal-cabo-san-lucas-kc0332/,"Casa en Venta en Cumbre Tezal, Cabo San Lucas | KC0332 - Cantú Real Estate",House,10300000.00,USD,3,3,237,m2,"Descubre el equilibrio perfecto entre privacidad, lujo y comodidad en esta exclusiva residencia en Cumbre del Tezal, Cabo San Lucas. Ubicada en una de las zonas de mayor crecimiento y plusvalía en Los Cabos, esta casa ha sido diseñada para ofrecer un estilo de vida sofisticado y funcional, con espacios cuidadosamente planeados y materiales de",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Cancún,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/casa-en-venta-en-cumbre-tezal-cabo-san-lucas-kc0332/,Cancun; Baja California Sur; Other Riviera Maya
