Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/presale-opportunity-ocean-view-3-bedrooms-condo-in-puerto-cancun/,Ocean View 3 Bedrooms Condo in Puerto Cancún Luxury - Riviera Maya Realtor,Land/Lot,36649071,MXN,3,3,,,"Discover this stunning Ocean View 3 Bedrooms Condo in Puerto Cancún, featuring modern amenities and breathtaking sea views.",https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/presale-opportunity-ocean-view-3-bedrooms-condo-in-puerto-cancun/,Cancun; Tulum; Other Riviera Maya
Adoquin Inmobiliaria,https://www.adoquininmobiliaria.com/,Tokko Broker,https://www.adoquininmobiliaria.com/p/6406236-Oficina-en-Venta-en-Playa-del-Carmen-VENTA-OFICINAS-FRENTE-A-PLAZA-LAS-AMERICAS-HUMANA-WORKCENTER,Oficina en Venta en Playa del Carmen - VENTA OFICINAS FRENTE A PLAZA LAS AMERICAS HUMANA WORKCENTER,Commercial,2500000,MXN,,1,36,m2,"Ubicadas frente a Plaza las Américas en Playa del Carmen , se encuentra el mejor edificio corporativo de la región. Zona con transporte público, rodeada de autoservicios, restaurantes, bancos, y muy cerca de la carretera que conecta a Tulum con Playa del Carmen y Cancún. Area Comercial Salas de juntas Area Lounge Area de Café / Bar Terraza Vistas panorámicas de Playa del Carmen Coworking Ideal para hacer networking Seguridad incluida en el mantenimiento Agua incluida y amenidades Precio mas iva Listas para escriturar y entregar",https://static.tokkobroker.com/sm_pics/87246808_og.jpg,Mexico,Quintana Roo,Tulum,,,Sale,1,Adoquin Inmobiliaria,https://www.adoquininmobiliaria.com/p/6406236-Oficina-en-Venta-en-Playa-del-Carmen-VENTA-OFICINAS-FRENTE-A-PLAZA-LAS-AMERICAS-HUMANA-WORKCENTER,Cancun; Playa del Carmen; Tulum; Other Riviera Maya
Alberto,https://www.mayamirealestatemx.com/en,,https://the-cancun-6eadf810-mayamirealestate.wix-site-host.com/property-valuation-cancun/,A More Useful Cancun Property Valuation,House,,,,,,,"Request a Cancun property valuation based on relevant competition, condition, location and current market evidence.",,Mexico,Quintana Roo,Tulum,,,Sale,1,Alberto,https://the-cancun-6eadf810-mayamirealestate.wix-site-host.com/property-valuation-cancun/,Cancun; Tulum; Other Riviera Maya
Angely Machado Galindez,https://www.topinvestments.mx/,,https://www.topinvestments.mx/propiedad/terrenos-en-venta-en-chemuyil-tulum/,Tulum Heights: Terrenos en venta en zona de Cenotes Chemuyil - Tulum,House,191000,USD,12,,575464,m2,"A sólo 900m de la carretera federal Cancún-Tulum, a 3km de la nueva parada del Tren Maya y 35 minutos del nuevo aeropuerto encontramos Chemuyil, un pequeño pero creciente pueblito con una ubicación…",https://www.topinvestments.mx/wp-content/uploads/2022/03/cropped-logo-topinv-face.jpeg,Mexico,Quintana Roo,Tulum,,,Sale,1,Angely Machado Galindez,https://www.topinvestments.mx/propiedad/terrenos-en-venta-en-chemuyil-tulum/,Cancun; Tulum; Other Riviera Maya
Angely Machado Galindez,https://www.topinvestments.mx/,,https://www.topinvestments.mx/propiedad/macrolotes-en-venta-en-corasol-playa-del-carmen/,"Macrolotes en venta en Corasol, Playa del Carmen",House,2464249,USD,3,,25114.99,m2,"La Riviera Maya recibe más de 30 millones de turistas al año solamente a través del Aeropuerto Internacional de Cancún y con su alta tasa de ocupación hotelera (75.7% anual), es el mercado de segunda…",https://www.topinvestments.mx/wp-content/uploads/2022/03/cropped-logo-topinv-face.jpeg,Mexico,Quintana Roo,Tulum,,,Sale,1,Angely Machado Galindez,https://www.topinvestments.mx/propiedad/macrolotes-en-venta-en-corasol-playa-del-carmen/,Cancun; Playa del Carmen; Tulum; Other Riviera Maya
Aniela Mendiburu,https://www.tipibienesraices.com/,EasyBroker,https://www.tipibienesraices.com/properties/commercial-storage-unit-type?sort_by=price-asc,Ventas,Land/Lot,2890000,USD,,10,170,m2,,https://s3.amazonaws.com/assets.moveglobally.com/organization_files/22411/logo2.png; https://www.tipibienesraices.com/themes/merida/built_in_images/img-merida.png; https://assets.easybroker.com/property_images/5028305/102067051/EB-SH8305.jpeg?height=300&version=1771446347&width=450; https://assets.easybroker.com/property_images/5358163/92528309/EB-TO8163.jpeg?height=300&version=1766012017&width=450; https://assets.easybroker.com/property_images/6134668/108778786/EB-WO4668.jpg?height=300&version=1785222776&width=450; https://assets.easybroker.com/property_images/6139580/108881685/EB-WO9580.jpg?height=300&version=1785393671&width=450; https://assets.easybroker.com/property_images/5040066/93050228/EB-SJ0066.jpeg?height=300&version=1771948745&width=450; https://assets.easybroker.com/property_images/5357600/92521392/EB-TO7600.png?height=300&version=1771445905&width=450,Mexico,Quintana Roo,Cancún,,,Sale,1,Aniela Mendiburu,https://www.tipibienesraices.com/properties/commercial-storage-unit-type?sort_by=price-asc,Cancun; Other Riviera Maya
Aniela Mendiburu,https://www.tipibienesraices.com/,EasyBroker,https://www.tipibienesraices.com/properties/industrial-warehouse-type?sort_by=price-asc,Ventas,Land/Lot,3200000,USD,,10,200,m2,,https://s3.amazonaws.com/assets.moveglobally.com/organization_files/22411/logo2.png; https://www.tipibienesraices.com/themes/merida/built_in_images/img-merida.png; https://assets.easybroker.com/property_images/5032228/99155587/EB-SI2228.jpeg?height=300&version=1766012033&width=450; https://assets.easybroker.com/property_images/5040037/93050025/EB-SJ0037.jpeg?height=300&version=1771948555&width=450; https://assets.easybroker.com/property_images/5014326/85941358/EB-SG4326.jpeg?height=300&version=1739311762&width=450; https://assets.easybroker.com/property_images/4326692/83261618/EB-PP6692.JPG?height=300&version=1733329681&width=450; https://assets.easybroker.com/property_images/5027653/102066945/EB-SH7653.jpeg?height=300&version=1771446289&width=450; https://assets.easybroker.com/property_images/5498319/102066886/EB-UC8319.jpeg?height=300&version=1771446227&width=450,Mexico,Quintana Roo,Cancún,,,Sale,1,Aniela Mendiburu,https://www.tipibienesraices.com/properties/industrial-warehouse-type?sort_by=price-asc,Cancun; Other Riviera Maya
Aniela Mendiburu,https://www.tipibienesraices.com/,EasyBroker,https://www.tipibienesraices.com/property/lotes-industriales-en-venta-carretera-merida-cancun,"LOTES INDUSTRIALES EN VENTA , CARRETERA MÉRIDA-CANCUN",Land/Lot,190000,USD,1,1,1000,m2,"Ciudad Industrial Oriente es encuentra a 9km de la zona industrial consolidada del Oriente de Mérida, y se expande sobre la carretera federal Mérida-Cancún. DESCRIPCIÓN: lotes industriales modulare...",https://assets.easybroker.com/property_images/5736328/100366033/EB-VA6328.JPG?height=300&version=1768329299&width=450,Mexico,Quintana Roo,Cancún,,,Sale,1,Aniela Mendiburu,https://www.tipibienesraices.com/property/lotes-industriales-en-venta-carretera-merida-cancun,Cancun; Other Riviera Maya
Aniela Mendiburu,https://www.tipibienesraices.com/,EasyBroker,https://www.tipibienesraices.com/property/loft-en-venta-en-merida-yucatan-en-acanceh,LOFT EN VENTA EN MÉRIDA YUCATÁN EN ACANCEH,Condo/Apartment,1254087,USD,1,1,63,m2,"Loft en venta en Mérida Yucatán en Acanceh, adentro de un complejo conformado de una Hacienda y casa Club, a tan solo 600 mts. de la carretera Mérida- Cancún. El proyecto consiste en un desarrollo ...",https://assets.easybroker.com/property_images/5364420/97716350/EB-TP4420.jpeg?height=300&version=1761673962&width=450,Mexico,Quintana Roo,Cancún,,,Sale,1,Aniela Mendiburu,https://www.tipibienesraices.com/property/loft-en-venta-en-merida-yucatan-en-acanceh,Cancun; Other Riviera Maya
Apotema Bienes Raíces,https://www.apotema.com.mx/,EasyBroker,https://www.apotema.com.mx/property/departamento-en-venta-torre-maralogo-cancun,"DEPARTAMENTO VENTA, MARALAGO CANCÚN",Condo/Apartment,18900000,USD,2,2,184,m2,"Departamento en Venta, Cancún Torre Maralago. Cuenta con 2 recámaras, 2 baños. Mantenimiento incluido y climas. *La disponibilidad y precio de esta propiedad están sujetos a cambio sin previo aviso...",https://assets.easybroker.com/property_images/6030698/106544735/EB-WE0698.jpeg?height=300&version=1780351909&width=450,Mexico,Quintana Roo,Cancún,,,Sale,1,Apotema Bienes Raíces,https://www.apotema.com.mx/property/departamento-en-venta-torre-maralogo-cancun,Cancun; Other Riviera Maya
