Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
CENTURY 21 De La Torre,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628878_departamento-de-2-recamaras-en-venta-en-venustiano-carranza,Departamento de 2 Recámaras en Venta en Venustiano Carranza,Departamento,1260000,MXN,2,1,46.77,m2,"Departamento en venta de 46.77 m² con distribución integrada por estancia, comedor, cocineta, 2 recámaras, 1 baño completo y área de lavado. Se encuentra dentro de un edificio habitacional de 5 niveles y cuenta con espacios destinados a las actividades de vivienda y servicio.
El departamento es interior y está equipado con estufa, calentador de agua (boiler), lavadero, instalación para lavadora, cancelería en baño, gas estacionario y contrato de energía eléctrica con CFE. El edificio dispone de cisterna, tinacos y acceso mediante escaleras.
Su ubicación permite conexión con Metro Oceanía, Metro Romero Rubio, Circuito Interior, Avenida Ingeniero Eduardo Molina y distintas vialidades de la alcaldía Venustiano Carranza. 
En el entorno se encuentran puntos de comercio, transporte y servicios, entre ellos Centro Comercial Encuentro Oceanía e IKEA a aproximadamente 100 metros, Metro Oceanía a 1 km, Metro Romero Rubio a 1.3 km, Aeropuerto Internacional de la Ciudad de México a 1.3 km, Bosques de Aragón a 3 km, Circuito Interior a 4 km y Avenida Ingeniero Eduardo Molina a 5 km. Las distancias y tiempos de traslado son aproximados y deberán verificarse.
Formas de pago
Se aceptan recursos propios y créditos hipotecarios bancarios y de instituciones públicas y privadas, sujetos a las políticas y aprobación de cada institución.
Documentación disponible
• Escritura Pública.
• Constancia de Folio Real actual.
• Boleta predial.
• Boleta de agua.
• Boleta de luz.
Información documental disponible en oficina previa cita.
Precio, disponibilidad, medidas, superficies, características y documentación sujetos a confirmación.
El envío de esta información no compromete a las partes a la celebración de contrato alguno.
Información PROFECO
Contrato de Adhesión de Intermediación para la compraventa de inmuebles, registrado ante la Procuraduría Federal del Consumidor (PROFECO) bajo el número 8747-2023, de fecha 06 de octubre de 2023.
Las imágenes pueden incluir ambientación, ajustes de iluminación, color o edición digital con fines ilustrativos. El inmueble se comercializa conforme a sus características físicas y documentales.",https://cdn.21online.lat/mexico/cache/awsTest1/rc/R0QUGQuV/uploads/434/propiedades/628878/6a83868202aa5.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Ec8A2dKd/uploads/434/propiedades/628878/6a8386864511c.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/5dCcTDdD/uploads/434/propiedades/628878/6a83869ea4240.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Sr31uDPw/uploads/434/propiedades/628878/6a8386a0bcfb5.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/eFxT8a9e/uploads/434/propiedades/628878/6a838693c2402.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/71wqIQop/uploads/434/propiedades/628878/6a8386a6b5749.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/8yXqXosm/uploads/434/propiedades/628878/6a83868bee1c5.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/OxE6PcZW/uploads/434/propiedades/628878/6a83869c6d08a.jpg,México,Ciudad De México,Venustiano Carranza,19.4391626,-99.0959912,Sale
CENTURY 21 ARALBE,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628829_pent-house-en-venta,PENT-HOUSE EN VENTA,Penthouse,2300000,MXN,1,1,63,m2,"¡Pent-house en venta sobre Viaducto Miguel Alemán!
Excelente oportunidad de inversión o para vivir en una ubicación céntrica y de fácil acceso en la Ciudad de México.
El departamento se encuentra en Viaducto Miguel Alemán No. 256 y cuenta con una distribución práctica y funcional:
- 1 recámara
- 1 baño completo
- Cocina
- Espacios ideales para una persona o pareja
- Ubicación con excelentes vías de comunicación y acceso a diferentes zonas de la ciudad
- No cuenta con estacionamiento
Por su ubicación y características, es una excelente opción tanto para habitar como para inversión, especialmente para quienes buscan un inmueble bien conectado y cercano a importantes avenidas y servicios.
¡Agenda una cita y conoce esta oportunidad!",https://cdn.21online.lat/mexico/cache/awsTest1/rc/TiJwrUVG/uploads/287/propiedades/628829/6a835952ccb52.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/cr2xSf50/uploads/287/propiedades/628829/6a835950baa9e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/akNLzC8t/uploads/287/propiedades/628829/6a83595b11e49.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/54WReLup/uploads/287/propiedades/628829/6a835958b952d.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/7OtAI5pu/uploads/287/propiedades/628829/6a8359644af55.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/QeLheTUJ/uploads/287/propiedades/628829/6a8359630381c.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/lFXDqktR/uploads/287/propiedades/628829/6a83595dabc14.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/BIhyTZzh/uploads/287/propiedades/628829/6a835960238a1.jpg,México,Ciudad De México,Cuauhtémoc,19.403748,-99.13569989999999,Sale
CENTURY 21 Félix & Asociados,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628759_casa-en-venta-colonia-plutarco-elias-calles-miguel-hidalgo-ciudad-de-mexico,"Casa en Venta, Colonia Plutarco Elías Calles, Miguel Hidalgo, Ciudad De México",Casa,6200000,MXN,4,2,225,m2,"Planta Baja
• Sala
• Comedor
• Cocina Integral
• 1 Baño Completo de Visita
• Area de Lavado
• Desayunador
• Despensa
• Patio de Tendido
• 2 Estacionamientos (frente a la casa)
Planta Alta
• 4 Recamaras con Closet
• 1 Baño Completo
Características:
• Terreno: 126 M2 Aproximadamente
• Construcción: 225 M2 Aproximadamente
• Edad: 55 años aproximadamente
• Closets
• Tanque de Gas Estacionario
Documentación con la que se cuenta:
- Boleta de agua
- Boleta predial
Forma de Pago: Se aceptan pagos con recursos propios y créditos hipotecarios bancarios y de instituciones públicas y privadas (la aprobación de los créditos está sujeto a las políticas de cada institución).
Servicios de la Zona: SACMEX (Agua), CFE, Drenaje, Servicios de la alcaldía, Transporte Publico.
Contrato de Adhesión de Intermediación para la compraventa de inmuebles.
Registrado en la Procuraduría Federal del Consumidor bajo el número 6538-22, de fecha 25 de Octubre de 2022",https://cdn.21online.lat/mexico/cache/awsTest1/rc/M1eLH66Z/uploads/207/propiedades/628759/6a80ba41ec8cf.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/9dERElKi/uploads/207/propiedades/628759/6a80ba3511efe.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/fMyBydGm/uploads/207/propiedades/628759/6a80ba3793188.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/ml2ophk6/uploads/207/propiedades/628759/6a80ba3361b09.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/EbbzDHNt/uploads/207/propiedades/628759/6a80ba49c16fa.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/iKhT9HPI/uploads/207/propiedades/628759/6a80ba43d2575.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/sgJZNGfT/uploads/207/propiedades/628759/6a80ba4ab9070.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/syHm0S2z/uploads/207/propiedades/628759/6a80ba3e37d57.jpg,México,Ciudad De México,Miguel Hidalgo,19.4564088128743,-99.170254628207,Sale
CENTURY 21 Massada,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/619688_venta-casa-de-diseno-contemporaneo-en-coapa,VENTA CASA DE DISEÑO CONTEMPORÁNEO EN COAPA,Casa_En_Condominio,10190000,MXN,5,3,307,m2,"Ubicada dentro de un exclusivo condominio de únicamente 19 residencias y a tan solo unos pasos de Galerías Coapa, esta propiedad destaca por su diseño arquitectónico, amplitud, excelente estado de conservación y espacios cuidadosamente diseñados para disfrutar la vida familiar con comodidad y privacidad.
Desde su acceso principal, entra a un agradable vestíbulo de bienvenida que conduce a una amplia estancia de doble altura, uno de los espacios más atractivos de la propiedad. 
La combinación de luz natural, amplitud visual y detalles arquitectónicos genera una atmósfera elegante y contemporánea que distingue a esta propiedad del resto de las opciones disponibles en la zona.
La cocina, de diseño moderno y funcional, cuenta con isla central, amplias superficies de trabajo, cubiertas de granito, horno empotrado, 
gran capacidad de almacenamiento y una amplia alacena, convirtiéndose en el corazón de la casa.
Como un valor agregado, la propiedad cuenta con un espacio ideal para el entretenimiento, integrado por una elegante cava para vinos con cancelería de cristal, área de bar, bodega cerrada y dos espacios multifuncionales que pueden adaptarse como despacho privado, estudio, sala de televisión, gimnasio o habitaciones adicionales.
Una agradable terraza aporta iluminación natural y ventilación a esta área, creando un ambiente ideal para reuniones o momentos de descanso.En el segundo piso se encuentra la recámara principal bastante amplia con walk-in closet y un espacioso baño equipado con tina, regadera independiente y doble lavabo.
Dos recámaras secundarias complementan el área familiar y comparten un baño completo con cancelería de cristal.
En la parte superior se encuentra el área de lavado y tendido, además de un cuarto de servicio independiente con baño completo.
Características destacadas:
• Exclusivo condominio de solo 19 casas.
• Acceso controlado.
• Ubicación privilegiada a pasos de Galerías Coapa.
• Estancia principal con espectacular doble altura.
• Cocina contemporánea con isla central.
• Cubiertas de granito.
• Amplia alacena.
• Cava para vinos con cancel de cristal.
• Área de bar.
• Bodega independiente.
• Terraza privada.
• Recámara principal tipo con Walk-in closet.
• Baño principal con tina, regadera y doble lavabo.
• Dos recámaras secundarias.
• Dos espacios adicionales ideales para despacho, estudio o sala de TV.
• Cuarto de servicio con baño completo.
• Excelente carpintería y mobiliario jo de diseño.
• Muy buen estado general de conservación.
Una casa con personalidad propia, diseñada para quienes buscan amplitud, privacidad, ubicación y espacios versátiles dentro de una de las zonas más consolidadas y mejor conectadas del sur de la Ciudad de México.",https://cdn.21online.lat/mexico/cache/awsTest1/rc/kAqvwuHR/uploads/456/propiedades/619688/6a2703cccfa2f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/R0qNmOTc/uploads/456/propiedades/619688/6a2700c50de5c.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/AZWT3NL5/uploads/456/propiedades/619688/6a27014548397.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/jvWOAJA2/uploads/456/propiedades/619688/6a27010cc451b.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/6hhhGPh5/uploads/456/propiedades/619688/6a270192edbe1.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/O3Q1hkAm/uploads/456/propiedades/619688/6a2702105dba5.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/n0QVzH5b/uploads/456/propiedades/619688/6a27023a1c8fe.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/EFDeM5kM/uploads/456/propiedades/619688/6a27029d5084d.jpg,México,Ciudad De México,Coyoacán,19.3052718,-99.1214031,Sale
CENTURY 21 Huaren,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/627921_departamento-en-venta-en-residencial-privalta-iztacalco,DEPARTAMENTO EN VENTA EN RESIDENCIAL PRIVALTA | IZTACALCO,Departamento,2600000,MXN,2,2,64.49,m2,"¡Vive cómodo, seguro y perfectamente conectado con toda la CDMX!
Si buscas un departamento moderno, funcional y dentro de un residencial con excelentes amenidades, esta puede ser una gran oportunidad.
 Francisco del Paso y Troncoso 107, Granjas México, Iztacalco, CDMX
 Precio: $2,600,000 MXN
 Tu nuevo departamento en piso 4 (interior)
 64.49 m² totales
 2 recámaras con clóset
 2 baños completos
 Balcón de 5.37 m²
 1 estacionamiento techado: El cajón se encuentra en fila, ubicado al frente de otros dos espacios, por lo que los vehículos quedan uno detrás de otro. Para retirar un vehículo ubicado al fondo, puede ser necesario mover previamente los vehículos que se encuentren delante.
La distribución está pensada para aprovechar muy bien cada espacio:
 Sala y comedor
 Cocina integral abierta con barra
 Área de lavado
 Recámara principal con clóset, baño completo y acceso al balcón
 Recámara secundaria con clóset y acceso al balcón
 Segundo baño completo 
 Y aquí viene lo mejor...
Vivir en Residencial Privalta significa tener amenidades y servicios que hacen más cómoda tu vida diaria:
Vigilancia privada 24/7
 Recepción de paquetería
 Lobby
 Circuito cerrado
 Gimnasio
 Salón de fiestas
 2 salones de usos múltiples
 Ludoteca
Jardín central
 Área de juegos infantiles
 6 elevadores
 Una ubicación que te conecta con todo
Estarás cerca de Eje 3 Oriente, Viaducto Río de la Piedad y Río Churubusco, además de contar con diversas opciones de transporte. Metro y Metrobús a pocos minutos
 Cerca del Estadio GNP Seguros
 Cerca del Autódromo Hermanos Rodríguez
 Cerca del Palacio de los Deportes
 Hospitales, bancos, supermercados, farmacias y centros comerciales en la zona. 
 ¿Por qué elegir Privalta?
Porque aquí no solo compras un departamento...
compras comodidad, seguridad, conectividad y un estilo de vida.",https://cdn.21online.lat/mexico/cache/awsTest1/rc/RYwt7685/uploads/383/propiedades/627921/6a8344548402e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/GagMQ089/uploads/383/propiedades/627921/6a8344558416e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/xiI3A5qO/uploads/383/propiedades/627921/6a8344573eeaf.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/1kRaps20/uploads/383/propiedades/627921/6a834459db7a5.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Zbuql9lp/uploads/383/propiedades/627921/6a83445b9e499.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/bYt3UAVu/uploads/383/propiedades/627921/6a83445d49342.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/dnI6JSAj/uploads/383/propiedades/627921/6a83445ecae98.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/XUowLeBb/uploads/383/propiedades/627921/6a8344608d99f.jpg,México,Ciudad De México,Iztacalco,19.4016681,-99.1133667,Sale
CENTURY 21 Garantía,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628576_departamento-en-venta-en-unid-belen-santa-fe-infonavit-alvaro-obregon-cdmx,"Departamento en venta en Unid. Belén Santa Fe Infonavit, Alvaro Obregón, CDMX",Departamento,1845000,MXN,2,1,59,m2," Estancia / Comedor.
 Cocina Integral
 1 Baño completo.
 2 Habitaciones una con closet.
 Terraza Cubierta.
ACERCA DEL INMUEBLE
 Inmueble habitacional en condominio.
 Tanque Estacionario.
 Edad: 25 años
CARACTERÍSTICAS
 Terreno: 59 m2 de área privativa
 Construcción: 59 m2
 Pisos con Loseta Cerámica.
 Cocina integral con estufa
 Boiler Automático.
 1 Estacionamiento de uso particular.
UBICACIÓN Y SERVICIOS
 Supermercado a 150 metros
 Cercano a vialidades Principales.
 Zona escolar cercana.
 Parque cercano.",https://cdn.21online.lat/mexico/cache/awsTest1/rc/VVMAEoTk/uploads/259/propiedades/628576/6a7e3cf255af3.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/cLn7nu5x/uploads/259/propiedades/628576/6a7e3d0635361.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/HznjwBhQ/uploads/259/propiedades/628576/6a7e3cf1887b2.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/6i9r7Pl7/uploads/259/propiedades/628576/6a7e3cf4521c9.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/4nFdFOYp/uploads/259/propiedades/628576/6a7e3cf383f71.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Olkl7bXT/uploads/259/propiedades/628576/6a7e3cf6f1f92.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qitw2hrU/uploads/259/propiedades/628576/6a7e3cfd25852.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/gcC2wv6e/uploads/259/propiedades/628576/6a7e3d0478328.jpg,México,Ciudad De México,Alvaro Obregón,19.386182877663728,-99.22164808493767,Sale
CENTURY 21 Kuali,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/624283_casa-en-venta-en-bosques-de-tetlameya-coyoacan-cdmx,"CASA EN VENTA EN BOSQUES DE TETLAMEYA, COYOACÁN, CDMX",Casa,11400000,MXN,3,4,297,m2,"Casa desarrollada en dos niveles, sobre un terreno de 300 m² y con aproximadamente 297.44 m² de construcción, ideal para quienes buscan amplitud, funcionalidad y una ubicación estratégica al sur de la Ciudad de México.
En planta baja cuenta con amplia sala, comedor, cocina integral con desayunador, estudio, medio baño de visitas, patio trasero, área de lavado y cuarto de servicio con baño completo.
Dispone de 2 lugares de estacionamiento dentro de la propiedad y, adicionalmente, por la configuración del frente, es posible estacionar hasta 3 vehículos más sin obstruir los accesos de los vecinos, una ventaja importante para familias con varios autos o para recibir visitas.
En la planta alta se encuentran tres recámaras. La principal cuenta con baño completo y vestidor, mientras que las recámaras secundarias ofrecen espacios amplios y acceso a baños completos. También dispone de área de TV para crear un segundo espacio de convivencia familiar.
La propiedad cuenta en total con 3 recámaras, 4 baños completos y 1 medio baño, además de espacios de almacenamiento. Entre su equipamiento destacan cisterna, sistema hidroneumático, paneles solares, conexión para carga de vehículos eléctricos, fibra óptica, closets, gas y tinaco.
Uno de sus atributos más agradables es que dentro del mismo desarrollo se cuenta con un parque, ideal para que los niños jueguen y corran, pasear a las mascotas o simplemente disfrutar de un espacio verde y mantener contacto con la naturaleza.
La ubicación suma un valor importante a la propiedad. En el entorno se encuentra Médica Sur, además de Hospital Merlos y otros servicios hospitalarios de la zona, facilitando el acceso a atención médica.
Para familias con hijos existen alternativas educativas cercanas como Colegio Gandhi S.C., Instituto Tlalpan Primaria y Secundaria y Universidad Rosario Castellanos Campus Coyoacán. También se tiene acceso por Calzada de Tlalpan al Campus Coyoacán de la UVM.
Para las compras y actividades del día a día se encuentran muy próximos Walmart Express Periférico y Soriana Súper Toriello; además de opciones comerciales y de entretenimiento como Gran Sur.
La zona también ofrece espacios abiertos como Parque de las Novias y Parque Toriello, complementando el ambiente residencial con alternativas para caminar, ejercitarse y disfrutar actividades al aire libre.
Todo esto se combina con una excelente conectividad hacia Periférico Sur, Avenida Renato Leduc y Calzada de Tlalpan, permitiendo desplazarse con facilidad hacia Coyoacán, Tlalpan, Ciudad Universitaria y otras zonas importantes del sur de la ciudad.
Una propiedad que combina espacios generosos, patio trasero, equipamiento funcional, facilidad de estacionamiento, áreas verdes y cercanía a hospitales, escuelas, universidades, supermercados y centros comerciales.
Agenda una visita y conoce personalmente la amplitud, distribución, ubicación y calidad de vida que ofrece esta casa en Bosques de Tetlameya.",https://cdn.21online.lat/mexico/cache/awsTest1/rc/Yf9Go8XG/uploads/398/propiedades/624283/6a7f5b4ae902a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/oUs6Eexk/uploads/398/propiedades/624283/6a7f5b5f6b4f7.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/F04n49t5/uploads/398/propiedades/624283/6a7f5b5e4cb23.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qERjeqcV/uploads/398/propiedades/624283/6a7f5b5d58177.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/GcrBaVI5/uploads/398/propiedades/624283/6a7f5b553153f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/1P4J8Vpq/uploads/398/propiedades/624283/6a7f5b56d3e34.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/sQ7tfoXq/uploads/398/propiedades/624283/6a7f5b4f63b92.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/dGB9lAYu/uploads/398/propiedades/624283/6a7f5b50b7a13.jpg,México,Ciudad De México,Coyoacán,19.2987904,-99.1550273,Sale
CENTURY 21 Herrera & Asociados,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628776_departamento-en-venta-en-agricola-oriental-2-recamaras-vigilancia-24-hrs,Departamento en Venta en Agrícola Oriental | 2 Recámaras | Vigilancia 24 Hrs.,Departamento,1750000,MXN,2,1,43.82,m2,"Departamento en venta en Agrícola Oriental, Iztacalco, ubicado en Oriente 229, dentro de un condominio construido en 2016 con vigilancia las 24 horas y acceso biométrico.
Cuenta con 43.82 m² de construcción, distribuidos en 2 recámaras, 1 baño completo, sala-comedor, cocineta y cuarto de lavado/zotehuela. Se encuentra en tercer piso y está en buenas condiciones generales.
El condominio cuenta con áreas verdes y salón de usos múltiples, además de control de acceso para mayor seguridad.
Una opción funcional para quienes buscan un departamento de 2 recámaras en Iztacalco, con seguridad, amenidades y una distribución práctica para la vida cotidiana.
Importante: el edificio no cuenta con elevador.",https://cdn.21online.lat/mexico/cache/awsTest1/rc/VJMq9zBc/uploads/289/propiedades/628776/6a820f5f7e546.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/y3CEx1IF/uploads/289/propiedades/628776/6a821052e1858.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/OnvhEv2E/uploads/289/propiedades/628776/6a820f6d0ab23.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/lv5Fdcv8/uploads/289/propiedades/628776/6a820f4b74dec.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/h3dvBoQW/uploads/289/propiedades/628776/6a820f4cc2c71.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/3MIaccIo/uploads/289/propiedades/628776/6a820f4acbeb9.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/oxwaGpKW/uploads/289/propiedades/628776/6a820fad5d1b7.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/6zeWzOZA/uploads/289/propiedades/628776/6a820fae09f3e.jpg,México,Ciudad De México,Iztacalco,19.4046848,-99.07745489999999,Sale
CENTURY 21 Promozur + Angel,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628645_casa-en-venta-en-playa-tecolutla-militar-marte,"Casa en Venta en Playa Tecolutla, Militar Marte",Casa,9750000,MXN,6,4,453,m2,"Excelente propiedad ubicada en Playa Tecolutla, colonia Militar Marte, ideal para familia grande, vivienda multifamiliar, inversión o para combinar casa-habitación con espacios independientes para oficina, consultorio o negocio.
La propiedad cuenta con 230 m² de terreno y aproximadamente 453m² de construcción, distribuidos en varios niveles y con espacios amplios y funcionales.
Distribución
Planta baja:
* Estancia de acceso.
* 2 recámaras de buen tamaño.
* Una de las recámaras cuenta con baño completo.
* Pequeño jardín.
* Acceso independiente a un espacio tipo consultorio/oficina de aproximadamente 30 m², dividido en dos secciones.
* El consultorio cuenta con sala de espera y medio baño.
Segundo nivel:
* Amplia cocina integral.
* Sala y comedor.
* Espacio para sala de televisión.
* Recámara principal de aproximadamente 45 m², con baño completo y vestidor.
* Recámara secundaria.
* Tercera recámara.
* Baño completo para dar servicio a la estancia, sala y recámaras secundarias.
Tercer nivel:
* Área de lavado.
* Espacio para bodega.
* Cuarto de servicio.
* Jaula de tendido.
* Mini departamento independiente de aproximadamente 50 m², ideal para visitas, familiar, renta o como espacio privado.
* El departamento cuenta con baño completo y tinaco propio.
Estacionamiento
La propiedad cuenta con:
* 2 lugares de estacionamiento dentro de la propiedad.
* Posibilidad de estacionar 2 vehículos adicionales en el exterior, dependiendo de las condiciones de la calle.
Una propiedad con múltiples posibilidades
Por su distribución y cantidad de espacios, esta casa representa una excelente oportunidad para quienes buscan una residencia amplia con áreas independientes, así como para quienes desean generar ingresos mediante renta de alguno de sus espacios.
Su distribución permite utilizar diferentes áreas como vivienda, oficina, consultorio, estudio, cuarto de servicio o departamento independiente.
Una propiedad única por sus dimensiones, distribución y posibilidades de aprovechamiento. Ideal para familias grandes o inversionistas que buscan una propiedad versátil en Militar Marte.",https://cdn.21online.lat/mexico/cache/awsTest1/rc/5xctltXX/uploads/511/propiedades/628645/6a80b519a169f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/GQh3MD5N/uploads/511/propiedades/628645/6a80b15223924.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/ArWYy46W/uploads/511/propiedades/628645/6a80b15417a78.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/JwjoOgfF/uploads/511/propiedades/628645/6a80b1550072c.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/gCuwxk4x/uploads/511/propiedades/628645/6a80b157a91c2.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/KvSDmVzy/uploads/511/propiedades/628645/6a80b17348f8f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/VjHSMfFi/uploads/511/propiedades/628645/6a80b158af222.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/J93iIgvQ/uploads/511/propiedades/628645/6a80b155d4763.jpg,México,Ciudad De México,Iztacalco,19.3817088,-99.1259001,Sale
CENTURY 21 Imagina,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628503_departamento-en-venta-col-guerrero-cuauhtemoc,"Departamento en Venta – Col. Guerrero, Cuauhtémoc",Departamento,2900000,MXN,3,1,81.6,m2,"Departamento ubicado en:
Eje Central Lázaro Cárdenas No. 7, Col. Guerrero, Alcaldía Cuauhtémoc, C.P. 06300, Ciudad de México.
Características del inmueble
Concepto	Descripción
Tipo	Departamento
Superficie	88 m²
Recámaras	3
Baños	1 completo
Estacionamiento	1 cajón
Cocina	Sí
Patio de servicio	Sí
Jaula de tendido	Sí
Nivel	4° Piso
Extras	Balcón cerrado en una recámara
Forma de pago
• Recursos propios.
• Créditos hipotecarios bancarios y de instituciones públicas y privadas, sujetos a aprobación y políticas de cada institución.
Servicios de la zona
• Agua
• CFE
• Drenaje
• Gas
• Servicios municipales
• Transporte público
Vialidades
• Eje Central Lázaro Cárdenas
• Paseo de la Reforma
• Eje 1 Norte
• Avenida Hidalgo
• Eje 2 Norte
A 1 km a la redonda
• Metro Garibaldi/Lagunilla
• Plaza Garibaldi
• Mercado de La Lagunilla
• Mercado San Camilito
• Comercios, restaurantes y servicios
• Transporte público y Metrobús
• Centro Histórico y Paseo de la Reforma",https://cdn.21online.lat/mexico/cache/awsTest1/rc/EtRLutuK/uploads/292/propiedades/628503/6a8363c423bf2.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/WceijNaL/uploads/292/propiedades/628503/6a7fa5bc76f59.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/f32crWmT/uploads/292/propiedades/628503/6a7fa5d476b42.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/JV7ALS0p/uploads/292/propiedades/628503/6a7fa5c2d52ad.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/xS3Y7c1W/uploads/292/propiedades/628503/6a7fa5caa8f97.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/9TKPP6op/uploads/292/propiedades/628503/6a7fa5c56d44a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/UTtJjMPb/uploads/292/propiedades/628503/6a7fa5c73ce3b.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/FiofF1yY/uploads/292/propiedades/628503/6a7fa5cc5dec7.jpg,México,Ciudad De México,Cuauhtémoc,19.449055411917726,-99.13857263065798,Sale
