Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
M&L CANCUN REAL ESTATE,https://www.inmuebles24.com/inmobiliarias/m-l-cancun-real-estate_654866-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-cancun-jardines-del-sur-4-150240087.html,"Departamento en Renta en Cancún, Jardines del Sur 4, Penthouse de 3 Recámaras con Roof Top",Penthouse,14000,MXN,3,2,123.0,m2,"Muy bonito departamento con Roof Garden en renta sin muebles. Jardines del Sur calle Urano. Puede llegar por la Avenida Cancún y la Avenida 135, pasando Wal Mart y SorianaLo más nuevo en concepto residencial y con una maravillosa urbanización en el Polígono Sur. Doble seguridad con tarjeta magnética y huella digital, calles anchas, servicios subterráneos, áreas de recreación, cancha de futbol, área para niños, área para mascotas, gimnasio, áreas verdes muy jardinadas, y estacionamiento para visi...",https://img10.naventcdn.com/avisos/18/01/50/24/00/87/720x532/1613966757.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/24/00/87/720x532/1613966764.jpg; https://img10.naventcdn.com/avisos/18/01/50/24/00/87/720x532/1613966753.jpg; https://img10.naventcdn.com/avisos/18/01/50/24/00/87/720x532/1613966765.jpg; https://img10.naventcdn.com/avisos/18/01/50/24/00/87/720x532/1613966748.jpg; https://img10.naventcdn.com/avisos/18/01/50/24/00/87/720x532/1613966760.jpg; https://img10.naventcdn.com/avisos/18/01/50/24/00/87/720x532/1613966678.jpg; https://img10.naventcdn.com/avisos/18/01/50/24/00/87/720x532/1613966761.jpg,Mexico,Quintana Roo,Cancún,21.110472024,-86.8830270529,Rent
BEST HOME RIVIERA,https://www.inmuebles24.com/inmobiliarias/best-home-riviera_50199879-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-de-departamento-centrico-en-cancun-sm-17-av-150672167.html,"Renta de Departamento Centrico en Cancún, Sm 17, Av Nizuc",Condo/Apartment,17500,MXN,1,1,80.0,m2,"Departamento en renta - sm 17, cancún. Se renta departamento en Planta Bajadentro de propiedad de tres niveles, ubicado en una de las zonas más céntricas y mejor conectadas de Cancún. Renta mensual: $17, 500. Características del departamento: 1 recámara. 2 Camas. 1. 5 baños. Cocina equipada. 1 minisplits. vista a la alberca. Áreas comunes: Alberca. Jardín amplio. Zona de lavandería. Estacionamiento. Ubicación privilegiada: Costco y Soriana a 5 minutos caminando. Hospital emered a 2 minutos camin...",https://img10.naventcdn.com/avisos/18/01/50/67/21/67/720x532/1623100920.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/67/21/67/720x532/1623100938.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/21/67/720x532/1623100863.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/21/67/720x532/1623100919.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/21/67/720x532/1623100866.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/21/67/720x532/1623100917.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/21/67/720x532/1623100891.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/21/67/720x532/1623100929.jpg,Mexico,Quintana Roo,Cancún,21.1457477,-86.83339389999999,Rent
Samuel Ortiz Gonzalez,https://www.inmuebles24.com/inmobiliarias/samuel-ortiz-gonzalez_51297244-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-penthouse-sin-muebles-en-sm-12-av-acanceh-146044323.html,Renta Penthouse Sin Muebles en Sm 12 Av Acanceh,Penthouse,38500,MXN,3,3,160.0,m2,"Penthouse de lujo en renta – zona premium, centro de cancún. 38, 500 mxn/ mes – Contrato por un año. Vive con exclusividad y comodidad en este espectacular Penthouse sin muebles en el corazón de Cancún. Con una ubicación privilegiada, a espaldas del Hospital Galenia y a minutos de Plaza Las Américas, este departamento es ideal para quienes buscan lujo, amplitud y una excelente conectividad. Características del Penthouse: Superficie total: 246. 3 m² (160. 72 m² interiores 85. 58 m² de rooftop) 3 ...",https://img10.naventcdn.com/avisos/18/01/46/04/43/23/720x532/1522241293.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/46/04/43/23/720x532/1522241291.jpg; https://img10.naventcdn.com/avisos/18/01/46/04/43/23/720x532/1522241299.jpg; https://img10.naventcdn.com/avisos/18/01/46/04/43/23/720x532/1522241301.jpg; https://img10.naventcdn.com/avisos/18/01/46/04/43/23/720x532/1522241298.jpg; https://img10.naventcdn.com/avisos/18/01/46/04/43/23/720x532/1522241300.jpg; https://img10.naventcdn.com/avisos/18/01/46/04/43/23/720x532/1522241294.jpg; https://img10.naventcdn.com/avisos/18/01/46/04/43/23/720x532/1522241286.jpg,Mexico,Quintana Roo,Cancún,21.1372546,-86.8280932,Rent
Caribe Realty México,https://www.inmuebles24.com/inmobiliarias/caribe-realty-mexico_102242145-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-sls-amueblado-en-renta-150463782.html,Departamento Sls Amueblado en Renta,Condo/Apartment,200000,MXN,4,4,385.0,m2,"Departamento completamente amueblado en sls Harbour en Renta Espectacular departamento de lujo de 4 Recámaras totalmente amueblado, y equipado con unas impactantes vistas al mar caribe y a los canales de Puerto Cancún. Sls cuenta con amenidades de primer nivel: gimnasio, albercas, cine, kids club, spa etc.. Superficie: 345 m2 Características: *4 Recámaras *4. 5 Baños *Amplia estancia *Terraza con vista al mar y canales *Tv room *Cuarto de servicio con baño completo *3 cajones techados *Bodega Pr...",https://img10.naventcdn.com/avisos/18/01/50/46/37/82/720x532/1618630605.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/46/37/82/720x532/1618630612.jpg; https://img10.naventcdn.com/avisos/18/01/50/46/37/82/720x532/1618630625.jpg; https://img10.naventcdn.com/avisos/18/01/50/46/37/82/720x532/1618630580.jpg; https://img10.naventcdn.com/avisos/18/01/50/46/37/82/720x532/1618630608.jpg; https://img10.naventcdn.com/avisos/18/01/50/46/37/82/720x532/1618630613.jpg; https://img10.naventcdn.com/avisos/18/01/50/46/37/82/720x532/1618630572.jpg; https://img10.naventcdn.com/avisos/18/01/50/46/37/82/720x532/1618630631.jpg,Mexico,Quintana Roo,Cancún,21.1676734,-86.8061194,Rent
The Realtors Co.,https://www.inmuebles24.com/inmobiliarias/the-realtors-co._102688663-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-hermoso-loft-de-2-niveles-en-av-colegios-150737269.html,Hermoso Loft de 2 Niveles en Av Colegios,Unknown,17000,MXN,1,1,67.0,m2,"¡Tu nuevo hogar en el paraíso te espera! Descubre este espectacular loft de 2 niveles en el exclusivo condominio Manta Style Living, Cancún. Con un diseño moderno y fresco, este espacio ofrece 2 habitaciones, acabado industrial moderno y una distribución que combina confort y estilo en cada detalle. Características del loft: 2 niveles distribuidos en 67 m2Totalmente amuebladoEn planta baja: Cocina integral bien distribuida. Sala y barra con diseño contemporáneo, medio baño, espacio para centro d...",https://img10.naventcdn.com/avisos/18/01/50/73/72/69/720x532/1624394186.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/73/72/69/720x532/1624394291.jpg; https://img10.naventcdn.com/avisos/18/01/50/73/72/69/720x532/1624394190.jpg; https://img10.naventcdn.com/avisos/18/01/50/73/72/69/720x532/1624394153.jpg; https://img10.naventcdn.com/avisos/18/01/50/73/72/69/720x532/1624394168.jpg; https://img10.naventcdn.com/avisos/18/01/50/73/72/69/720x532/1624394167.jpg; https://img10.naventcdn.com/avisos/18/01/50/73/72/69/720x532/1624394162.jpg; https://img10.naventcdn.com/avisos/18/01/50/73/72/69/720x532/1624394200.jpg,Mexico,Quintana Roo,Cancún,21.096434,-86.8514695,Rent
A & A BIENES RAICES REALTY SOLUTIONS ,https://www.inmuebles24.com/inmobiliarias/a-a-bienes-raices-realty-solutions_50254707-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-penthouse-en-renta-2-recamaras-150619081.html,"Departamento Penthouse en Renta, 2 Recámaras, Amueblado/equipado, Malecón Américas, Cancún",Penthouse,48350,MXN,3,3,230.0,m2,"Departamento penthouse en Renta, 3 Recámaras, amueblado/equipado, Malecón Américas, Cancún. Vive la exclusividad en un penthouse de lujo – Malecón Américas, Torre Montevideo, Cancún Si lo que buscas es lujo, ubicación y comodidad, este Penthouse amueblado en Malecón Américas lo tiene todo: Una vista panorámica privilegiada de Cancún que podrás disfrutar todos los días. Espacios modernos, cómodos y perfectamente distribuidos. Características: 3 Recámaras con A/A (principal con baño completo) 3 ba...",https://img10.naventcdn.com/avisos/18/01/50/61/90/81/720x532/1621977360.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/61/90/81/720x532/1621977363.jpg; https://img10.naventcdn.com/avisos/18/01/50/61/90/81/720x532/1621977329.jpg; https://img10.naventcdn.com/avisos/18/01/50/61/90/81/720x532/1621977366.jpg; https://img10.naventcdn.com/avisos/18/01/50/61/90/81/720x532/1621977344.jpg; https://img10.naventcdn.com/avisos/18/01/50/61/90/81/720x532/1621977314.jpg; https://img10.naventcdn.com/avisos/18/01/50/61/90/81/720x532/1621977325.jpg; https://img10.naventcdn.com/avisos/18/01/50/61/90/81/720x532/1621977372.jpg,Mexico,Quintana Roo,Cancún,21.1447222,-86.8219444,Rent
Cancunpropiedades,https://www.inmuebles24.com/inmobiliarias/cancunpropiedades_50909666-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-nuevo-en-via-cumbres-150689155.html,Departamento Nuevo en Vía Cumbres,Condo/Apartment,17000,MXN,1,2,73.0,m2,"¡Estrena departamento en Vía Cumbres! Unidad en nivel 4 frente al parque, con 73m2 de construcción. Cuenta con una recámara con closet y baño completo, más un estudio u oficina y dos baños, estancia con cocina y terraza. Equipado con ventiladores, aires acondicionados mini split, cortinas traslúcidas y black-out, closets e iluminación led. Excelentes acabados, muchas amenidades y alta seguridad. Vía Cumbres cuenta con casa club, canchas de padel, alberca de natación, parques y juegos infantiles....",https://img10.naventcdn.com/avisos/18/01/50/68/91/55/720x532/1623438390.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/68/91/55/720x532/1623438385.jpg; https://img10.naventcdn.com/avisos/18/01/50/68/91/55/720x532/1623438392.jpg; https://img10.naventcdn.com/avisos/18/01/50/68/91/55/720x532/1623438399.jpg; https://img10.naventcdn.com/avisos/18/01/50/68/91/55/720x532/1623445497.jpg; https://img10.naventcdn.com/avisos/18/01/50/68/91/55/720x532/1623445496.jpg; https://img10.naventcdn.com/avisos/18/01/50/68/91/55/720x532/1623438383.jpg; https://img10.naventcdn.com/avisos/18/01/50/68/91/55/720x532/1623438391.jpg,Mexico,Quintana Roo,Cancún,21.0844521,-86.87416499999999,Rent
NORIA & SOLORZANO REALTY GROUP,https://www.inmuebles24.com/inmobiliarias/noria-solorzano-realty-group_50960425-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-residencial-amara-150572468.html,Departamento en Renta en Residencial Amara,Condo/Apartment,42000,MXN,3,4,120.0,m2,"Pent garden amueblado en renta en amara cancún | frente al mar | acceso directo A la playarenta Mensual: $42, 000 mxndisfruta de un estilo de vida exclusivo en Amara Cancún, uno de los desarrollos residenciales frente al mar con mayor prestigio de la ciudad. Ubicado en una zona privilegiada, este hermoso Pent Garden completamente amueblado ofrece acceso directo a la playa, amplios espacios interiores y una espectacular terraza privada para disfrutar del clima y la tranquilidad del Caribe Mexican...",https://img10.naventcdn.com/avisos/18/01/50/57/24/68/720x532/1621068550.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/57/24/68/720x532/1621068574.jpg; https://img10.naventcdn.com/avisos/18/01/50/57/24/68/720x532/1621068604.jpg; https://img10.naventcdn.com/avisos/18/01/50/57/24/68/720x532/1621068557.jpg; https://img10.naventcdn.com/avisos/18/01/50/57/24/68/720x532/1621068546.jpg; https://img10.naventcdn.com/avisos/18/01/50/57/24/68/720x532/1621068579.jpg; https://img10.naventcdn.com/avisos/18/01/50/57/24/68/720x532/1621068554.jpg; https://img10.naventcdn.com/avisos/18/01/50/57/24/68/720x532/1621068581.jpg,Mexico,Quintana Roo,Cancún,21.1813616,-86.8091829,Rent
CDMX DESARROLADORES,https://www.inmuebles24.com/inmobiliarias/cdmx-desarroladores_51150565-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-cancun-centro-150590789.html,Departamento Amueblado en Renta en Cancún Centro,Condo/Apartment,21200,MXN,1,1,60.0,m2,"Departamento de lujo en renta en Cancún centro, Quintana Roo. Características: * 1 habitación. * 1 baño completo. * 1 cajón de E. * Amueblado. * Comedor. * Cocina equipada. * Cuarto de lavado* Sala. Amenidades: * Alberca. * Canchas de Padel. * Elevador. * Terraza. * Vigilancia 24 hrs. Metros totales: 60 m². Envíame un mensaje para conocer más acerca de este increíble departamento.",https://img10.naventcdn.com/avisos/18/01/50/59/07/89/720x532/1621428768.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/59/07/89/720x532/1621428775.jpg; https://img10.naventcdn.com/avisos/18/01/50/59/07/89/720x532/1621428763.jpg; https://img10.naventcdn.com/avisos/18/01/50/59/07/89/720x532/1621428767.jpg; https://img10.naventcdn.com/avisos/18/01/50/59/07/89/720x532/1621428785.jpg; https://img10.naventcdn.com/avisos/18/01/50/59/07/89/720x532/1621428778.jpg; https://img10.naventcdn.com/avisos/18/01/50/59/07/89/720x532/1621428777.jpg; https://img10.naventcdn.com/avisos/18/01/50/59/07/89/720x532/1621428770.jpg,Mexico,Quintana Roo,Cancún,21.111614,-86.8553369,Rent
MARHEN LUXURY REAL ESTATE,https://www.inmuebles24.com/inmobiliarias/marhen-luxury-real-estate_102845374-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-depto-la-vela-puerto-cancun-147221231.html,Renta Depto La Vela Puerto Cancun,Condo/Apartment,155000,MXN,4,5,400.0,m2,"En Renta amplio departamento en el desarrollo la vela en Puerto Cancun. Con frente y vista inigualable a canal y campo de golf. Cuenta con 400 m2 amplia terraza, 4 recamaras con baño y walking closet, Family room, cuarto de juegos u oficina. Adicional cuenta con, amplio cuarto de lavado y cuarto de servicio completo. Acceso directo del elevador. Este desarrollo cuanta con 3 albercas, gimnasio, cabinas de masaje, yacuzzi, ludoteca, salon para eventos, jardin y juegos para niños. Adicional tiene r...",https://img10.naventcdn.com/avisos/18/01/47/22/12/31/720x532/1551062680.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/47/22/12/31/720x532/1551062673.jpg; https://img10.naventcdn.com/avisos/18/01/47/22/12/31/720x532/1551062672.jpg; https://img10.naventcdn.com/avisos/18/01/47/22/12/31/720x532/1551062675.jpg; https://img10.naventcdn.com/avisos/18/01/47/22/12/31/720x532/1551062678.jpg; https://img10.naventcdn.com/avisos/18/01/47/22/12/31/720x532/1551062668.jpg; https://img10.naventcdn.com/avisos/18/01/47/22/12/31/720x532/1551062669.jpg; https://img10.naventcdn.com/avisos/18/01/47/22/12/31/720x532/1551062667.jpg,Mexico,Quintana Roo,Cancún,21.1632991,-86.8128655,Rent
