Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
Riğa Bosques,https://www.inmuebles24.com/inmobiliarias/ri-a-bosques_102423242-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/desarrollo/ememvein-ri-a-bosques-renta-y-estrena-nuestros-depas.-loft-1-141933064.html,"Riğa Bosques Renta y Estrena Nuestros Depas. (Loft, 1 y 2 Recámaras)",Unknown,23500,MXN,,,,m2,"Renta sin Aval en 24 horas. Proceso ágil y flexible. / Lease without guarantor with agile and flexible processes in 24 hours. Opción de departamentos amueblados por Bo-Concept. / Furnished apartments by Bo-Concept available. Todos los departamentos incluyen electrodomésticos. (microondas, lava-secadora, Refrigerador, estufa con horno, lavavajillas) persianas / canceles. All apartments include appliances. (microwave, washer-dryer, refrigerator, stove with oven, dishwasher) blinds / gates. ! estre...",https://img10.naventcdn.com/avisos/18/01/41/93/30/64/720x532/1140574192.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/41/93/30/64/720x532/1140574173.jpg; https://img10.naventcdn.com/avisos/18/01/41/93/30/64/720x532/1140574170.jpg; https://img10.naventcdn.com/avisos/18/01/41/93/30/64/720x532/1140574164.jpg; https://img10.naventcdn.com/avisos/18/01/41/93/30/64/720x532/1140574165.jpg; https://img10.naventcdn.com/avisos/18/01/41/93/30/64/720x532/1140574178.jpg; https://img10.naventcdn.com/avisos/18/01/41/93/30/64/720x532/1140574175.jpg; https://img10.naventcdn.com/avisos/18/01/41/93/30/64/720x532/1140574167.jpg,Mexico,Ciudad de México,Cuajimalpa de Morelos,19.3376089,-99.31138159999999,Rent
InterCapital Realty,https://www.inmuebles24.com/inmobiliarias/intercapital-realty_102536653-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-nautico-marina-150834891.html,Departamento Amueblado en Renta – Náutico Marina Vallarta,Condo/Apartment,35000,MXN,2,2,100.0,m2,"Departamento de 100 m² ubicado en Náutico Marina Vallarta, una zona residencial con excelente ubicación y fácil acceso a servicios, restaurantes, supermercados y áreas recreativas. La propiedad se e ntrega **amueblada y equipada**, por lo que está lista para ocupar. **Características: **- 100 m²- 2 recámaras- 2 baños completos- Sala y comedor- Cocina integral equipada- Terraza- 1 cajón de estacionamiento- Aire acondicionado- Amueblado y equipado- Distribución funcional**Áreas comunes y servicios...",https://img10.naventcdn.com/avisos/18/01/50/83/48/91/720x532/1626429677.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/83/48/91/720x532/1626430003.jpg; https://img10.naventcdn.com/avisos/18/01/50/83/48/91/720x532/1626429639.jpg; https://img10.naventcdn.com/avisos/18/01/50/83/48/91/720x532/1626428945.jpg; https://img10.naventcdn.com/avisos/18/01/50/83/48/91/720x532/1626429823.jpg; https://img10.naventcdn.com/avisos/18/01/50/83/48/91/720x532/1626429778.jpg; https://img10.naventcdn.com/avisos/18/01/50/83/48/91/720x532/1626429008.jpg; https://img10.naventcdn.com/avisos/18/01/50/83/48/91/720x532/1626429554.jpg,Mexico,Jalisco,Puerto Vallarta,20.6639696,-105.2531258,Rent
LUCRISA CONSTRUCCIONES,https://www.inmuebles24.com/inmobiliarias/lucrisa-construcciones_102274228-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/desarrollo/ememvein-the-view-penthouse-en-queretaro-148670711.html,The View // Penthouse en Querétaro,Penthouse,55000,MXN,,,,m2,"Cuenta oficial del desarrollador. Evita intermediarios. Trato directo. Información real y disponibilidad actualizada. Exclusividad real en la zona más privilegiada de Querétaro. The View es una torre residencial de Penthouses ubicada en Zona Campanario que redefine el concepto de lujo, privacidad y estilo de vida en la ciudad. Solo 31 departamentos de 280 m² Entrega inmediata. 23 amenidades aaa tipo resort. Acabados europeos de alto lujo. Trato directo con desarrollador. Diseñado para quienes bu...",https://img10.naventcdn.com/avisos/18/01/48/67/07/11/720x532/1581938155.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/48/67/07/11/720x532/1581937109.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/07/11/720x532/1589504200.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/07/11/720x532/1581935296.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/07/11/720x532/1581937111.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/07/11/720x532/1581937108.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/07/11/720x532/1581935304.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/07/11/720x532/1581938157.jpg,Mexico,Querétaro,Querétaro,20.6085332,-100.3710016,Rent
Easy Rent & Sell,https://www.inmuebles24.com/inmobiliarias/easy-rent-sell_50016790-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/veclapin-renta-departamento-en-polanco-con-balcon-150480281.html,Renta Departamento en Polanco con Balcón,Condo/Apartment,20000000,MXN,3,3,200.0,m2,"Imagina vivir en una de las calles más tranquilas de Polanco, con vista arbolada y a pasos de Masaryk y Campos Elíseos. - Amplia sala comedor con balcón y entorno verde. - Cocina independiente con antecomedor. - Recámara principal con baño, walking closet y tina. - Solo 8 departamentos en edificio. - Dos estacionamientos fijos. - Cuarto de servicio con baño. Disfrutas privacidad y silencio gracias a su ubicación, en una calle de tránsito local. El edificio cuenta con elevador, vigilancia 24/7, c...",https://img10.naventcdn.com/avisos/18/01/50/48/02/81/720x532/1624864335.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/48/02/81/720x532/1624864328.jpg; https://img10.naventcdn.com/avisos/18/01/50/48/02/81/720x532/1624864338.jpg; https://img10.naventcdn.com/avisos/18/01/50/48/02/81/720x532/1624864334.jpg; https://img10.naventcdn.com/avisos/18/01/50/48/02/81/720x532/1624864331.jpg; https://img10.naventcdn.com/avisos/18/01/50/48/02/81/720x532/1624864341.jpg; https://img10.naventcdn.com/avisos/18/01/50/48/02/81/720x532/1624864343.jpg; https://img10.naventcdn.com/avisos/18/01/50/48/02/81/720x532/1624864336.jpg,Mexico,Ciudad de México,Miguel Hidalgo,19.4336394,-99.1871364,Rent
Blueground (Premier),https://www.inmuebles24.com/inmobiliarias/blueground-premier_102309610-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/desarrollo/ememvein-renta-departamento-amueblado-en-polanco-2-recaramas-148293070.html,"Renta Departamento Amueblado en Polanco - 2 Recaramas, 2 Baños",Condo/Apartment,65000,MXN,,,,m2,"Llega y empieza a vivir desde el primer día en Mexico City con este encantador Apartamento Blueground de dos dormitorios. Te encantará volver a casa a este apartamento cuidadosamente amueblado, bellamente diseñado y totalmente equipado en Polanco. Diseñado pensando en ti: Precioso mobiliario, cocina totalmente equipada, smart tv y grandes ventanas que llenan el departamento de luz natural. Idealmente situado en Mexico City, encontrarás mucho para disfrutar. Cuando estés listo para relajarte, te ...",https://img10.naventcdn.com/avisos/18/01/48/29/30/70/720x532/1576770255.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/48/29/30/70/720x532/1576770253.jpg; https://img10.naventcdn.com/avisos/18/01/48/29/30/70/720x532/1576770256.jpg; https://img10.naventcdn.com/avisos/18/01/48/29/30/70/720x532/1576805980.jpg; https://img10.naventcdn.com/avisos/18/01/48/29/30/70/720x532/1576805978.jpg; https://img10.naventcdn.com/avisos/18/01/48/29/30/70/720x532/1576805987.jpg; https://img10.naventcdn.com/avisos/18/01/48/29/30/70/720x532/1576805974.jpg; https://img10.naventcdn.com/avisos/18/01/48/29/30/70/720x532/1576805985.jpg,Mexico,Ciudad de México,Miguel Hidalgo,19.4349757,-99.2084026,Rent
RAIZ 11 ALIANZA INMOBILIARIA ,https://www.inmuebles24.com/inmobiliarias/raiz-11-alianza-inmobiliaria_102962438-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-sodzil-norte-de-merida-150497816.html,"Departamento Amueblado en Sodzil, Norte de Merida, Cerca del Mayabus 2 Recamaras",Condo/Apartment,12800,MXN,2,2,84.0,m2,"Depa súper acogedor, ideal para estudiantes por su ubicación y cercanía con las paradas del va y ven y Mayabus. El departamento se ubica en un complejo de 8 unidades en total, está completamente amueblado e incluye internet básico. La unidad disponible está en planta baja, por lo que podrás disfrutar de su bella terraza techada. Distribución; 2 recámaras. 2 baños completos (uno dentro de una de las recámaras) Sala y comedor. Barra desayunador con bancos altos. Cocina equipada con parrilla y refr...",https://img10.naventcdn.com/avisos/18/01/50/49/78/16/720x532/1619589397.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/49/78/16/720x532/1619589401.jpg; https://img10.naventcdn.com/avisos/18/01/50/49/78/16/720x532/1619589398.jpg; https://img10.naventcdn.com/avisos/18/01/50/49/78/16/720x532/1619589402.jpg; https://img10.naventcdn.com/avisos/18/01/50/49/78/16/720x532/1619589404.jpg; https://img10.naventcdn.com/avisos/18/01/50/49/78/16/720x532/1619589396.jpg; https://img10.naventcdn.com/avisos/18/01/50/49/78/16/720x532/1619589403.jpg; https://img10.naventcdn.com/avisos/18/01/50/49/78/16/720x532/1619589405.jpg,Mexico,Yucatán,Mérida,21.041053,-89.6242785,Rent
REMAX Grand,https://www.inmuebles24.com/inmobiliarias/remax-grand_721715-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-zona-urbana-rio-tijuana-b.-c.-150724149.html,Departamento en Renta en Zona Urbana Rio Tijuana B. C. - (4),Condo/Apartment,18000,MXN,2,2,74.0,m2,"Te ofrecemos departamento en renta ubicado en Zona Urbana Río Tijuana, en zona de fácil acceso y cerca de varios puntos de interés como la Preparatoria Lázaro Cárdenas, plazas comerciales y restaurantes. Fácil acceso a avenidas principales. El conjunto de condominios cuenta con salón de eventos, acceso controlado, elevador y seguridad 24/7. A solo minutos de la garita de San Ysidro. El departamento en sexto piso #603, cuenta con: - 2 recámaras. - 2 baños completos. - comedor. - cocina equipada c...",https://img10.naventcdn.com/avisos/18/01/50/72/41/49/720x532/1624136267.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/72/41/49/720x532/1624136208.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/41/49/720x532/1624136342.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/41/49/720x532/1624136188.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/41/49/720x532/1624136217.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/41/49/720x532/1624136296.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/41/49/720x532/1624136252.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/41/49/720x532/1624136307.jpg,Mexico,Baja California Norte,Tijuana,32.519,-117.006,Rent
Century 21 EVO,https://www.inmuebles24.com/inmobiliarias/century-21-evo_102789556-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-ombu-av-huayacan-150548905.html,Departamento Amueblado en Renta en Ombu - Av Huayacán,Condo/Apartment,18500,MXN,2,2,87.0,m2,"Departamento amueblado en renta en ombú – Confort y ubicación en un solo lugar. Renta mensual: $18, 500 mxn. Ubicación: Residencial Ombú Av. Huayacán. Vive la experiencia de llegar a casa y tenerlo todo listo para disfrutar. Este departamento totalmente amueblado en ombú combina comodidad, funcionalidad y una ubicación estratégica, ideal para quienes buscan practicidad sin renunciar a un entorno agradable y seguro. Diseñado para aprovechar cada espacio, el departamento ofrece un ambiente acogedo...",https://img10.naventcdn.com/avisos/18/01/50/54/89/05/720x532/1620600081.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/54/89/05/720x532/1620600099.jpg; https://img10.naventcdn.com/avisos/18/01/50/54/89/05/720x532/1620600087.jpg; https://img10.naventcdn.com/avisos/18/01/50/54/89/05/720x532/1620600052.jpg; https://img10.naventcdn.com/avisos/18/01/50/54/89/05/720x532/1620600079.jpg; https://img10.naventcdn.com/avisos/18/01/50/54/89/05/720x532/1620600072.jpg; https://img10.naventcdn.com/avisos/18/01/50/54/89/05/720x532/1620600056.jpg; https://img10.naventcdn.com/avisos/18/01/50/54/89/05/720x532/1620600104.jpg,Mexico,Quintana Roo,Benito Juárez,21.090444867436315,-86.87575721506956,Rent
A & A BIENES RAICES REALTY SOLUTIONS ,https://www.inmuebles24.com/inmobiliarias/a-a-bienes-raices-realty-solutions_50254707-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-loft-en-renta-1-recamara-150675963.html,"Departamento Loft en Renta, 1 Recámara, Amueblado/equipado, Mali Loft, Las Américas, Cancún",Condo/Apartment,16987,MXN,1,1,85.0,m2,"Departamento loft en Renta, 1 Recámara, amueblado/equipado, Mali loft, Las Américas, Cancún. Residencial Mali Lofts El departamento cuenta con: 1 Recámara Sala, Comedor, Cocina, 1 1/2 Baños, Cuarto de lavado, 2 lugares de estacionamiento techados Amueblado y Equipado: cama king size, alacenas, gavetas, refrigerador, estufa, campana extractora, horno micro, ventiladores de techo, calentador, lavasecadora, batea, aires acondicionados, smart tv en sala. Cortinas black out. Jacuzzis en roof garden• ...",https://img10.naventcdn.com/avisos/18/01/50/67/59/63/720x532/1623179211.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/67/59/63/720x532/1623179222.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/59/63/720x532/1623179218.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/59/63/720x532/1623179204.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/59/63/720x532/1623179207.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/59/63/720x532/1623179216.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/59/63/720x532/1623179225.jpg; https://img10.naventcdn.com/avisos/18/01/50/67/59/63/720x532/1623179198.jpg,Mexico,Quintana Roo,Benito Juárez,21.1265507,-86.8330918,Rent
Juan Pablo Carrión,https://www.inmuebles24.com/inmobiliarias/juan-pablo-carrion_50331998-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-carso-nuevo-polanco-y-granada-150514696.html,Departamento en Renta en Carso Nuevo Polanco y Granada Torre Moliere,Condo/Apartment,100000,MXN,3,3,165.0,m2,"Departamento en renta amueblado – 3 recámaras. Disfruta del espacio y el estilo en este departamento de 165m² en Residencial Carso, Polanco, Torre Moliere. Este amplio departamento está ubicado en una de las áreas más dinámicas y bien conectadas de la ciudad. Un lugar ideal para quienes valoran el confort, la elegancia y un estilo de vida activo y cosmopolita. + Tipo de operación: Departamento en renta amueblado. + Ubicación: Torre Moliere, Carso, Nuevo Polanco. Características: · Metraje: 165m2...",https://img10.naventcdn.com/avisos/18/01/50/51/46/96/720x532/1619935583.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/51/46/96/720x532/1619935553.jpg; https://img10.naventcdn.com/avisos/18/01/50/51/46/96/720x532/1619935585.jpg; https://img10.naventcdn.com/avisos/18/01/50/51/46/96/720x532/1619935581.jpg; https://img10.naventcdn.com/avisos/18/01/50/51/46/96/720x532/1619935567.jpg; https://img10.naventcdn.com/avisos/18/01/50/51/46/96/720x532/1619935570.jpg; https://img10.naventcdn.com/avisos/18/01/50/51/46/96/720x532/1619935572.jpg; https://img10.naventcdn.com/avisos/18/01/50/51/46/96/720x532/1619935513.jpg,Mexico,Ciudad de México,Miguel Hidalgo,19.4410253,-99.2003325,Rent
