Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
Inmobiliaria Punto Origen,https://www.inmuebles24.com/inmobiliarias/inmobiliaria-punto-origen_696034-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-makou-montebello-merida-yucatan-150772264.html,Departamento en Makou Montebello Merida Yucatan,Condo/Apartment,22500,MXN,2,2,160.0,m2,"Este departamento se encuentra a una calle de la avenida garcia lavin, donde encontrarás restaurantes de la mas alta calidad, escuelas, farmacias, hospitales, etc. A demas de tener una vista de toda la ciudad su iluminación por la noche es muy bonita. Sus amenidades como la piscina, área de Barbacue, bar con servicio disponible se encuentran en el roof top lo cual hace que disfrutes de los atardeceres y de la brisa que corre por las tardes noches. Modelo. 2 recamaras. 2 baños. cocina equipada co...",https://img10.naventcdn.com/avisos/18/01/50/77/22/64/720x532/1625128716.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/77/22/64/720x532/1625128863.jpg; https://img10.naventcdn.com/avisos/18/01/50/77/22/64/720x532/1625128958.jpg; https://img10.naventcdn.com/avisos/18/01/50/77/22/64/720x532/1625129019.jpg; https://img10.naventcdn.com/avisos/18/01/50/77/22/64/720x532/1625128953.jpg; https://img10.naventcdn.com/avisos/18/01/50/77/22/64/720x532/1625128907.jpg; https://img10.naventcdn.com/avisos/18/01/50/77/22/64/720x532/1625128868.jpg; https://img10.naventcdn.com/avisos/18/01/50/77/22/64/720x532/1625128694.jpg,Mexico,Yucatán,Oncán,21.0295899,-89.6032047,Rent
XIMENA,https://www.inmuebles24.com/inmobiliarias/ximena_102908555-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-lomas-del-tecnologico-150190791.html,Departamento en Renta en Lomas del Tecnologico,Condo/Apartment,24000,MXN,3,2,145.0,m2,Disfruta de este amplio departamento en una zona exclusiva Y con alrededores de zonas comerciales A 5 minutos A pie de la plaza san luis. recamara principal con baño Y closet. 2 recamaras con closet. baño completo. closet de blancos. sala. comedor. cocina con barra en granito Y desayunador en barra. lavanderia. bodega,https://img10.naventcdn.com/avisos/18/01/50/19/07/91/720x532/1613019702.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/19/07/91/720x532/1613019710.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/07/91/720x532/1613019698.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/07/91/720x532/1613019707.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/07/91/720x532/1613019705.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/07/91/720x532/1613019712.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/07/91/720x532/1613019711.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/07/91/720x532/1613019700.jpg,Mexico,San luis Potosí,San Luis Potosí,22.122602731964214,-101.02818712167358,Rent
Lidia Lopez Aguirre,https://www.inmuebles24.com/inmobiliarias/lidia-lopez-aguirre_51163807-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-centro-historico-mesones-148678706.html,Renta Departamento Centro Historico Mesones,Condo/Apartment,18000,MXN,1,1,70.0,m2,"Departamento en renta en el corazón del Centro Histórico, ideal para quien busca comodidad y funcionalidad. Este inmueble de 70 m² ofrece un espacio bien distribuido con excelente iluminación natural. Cuenta con 1 recámara con clóset, 1 baño completo y un medio baño adicional. La cocina integral está equipada para facilitar tus actividades diarias. Disfruta de 2 balcones y una terraza, perfectos para relajarte al aire libre. Además, cuenta con 1 lugar de estacionamiento y acceso para personas co...",https://img10.naventcdn.com/avisos/18/01/48/67/87/06/720x532/1591258596.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/48/67/87/06/720x532/1591258582.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/87/06/720x532/1591258601.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/87/06/720x532/1591258591.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/87/06/720x532/1591258589.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/87/06/720x532/1591258585.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/87/06/720x532/1591258598.jpg; https://img10.naventcdn.com/avisos/18/01/48/67/87/06/720x532/1591258581.jpg,Mexico,Ciudad de México,Cuauhtémoc,19.428459179130545,-99.1352379891632,Rent
PUBLICO EN GENERAL,https://www.inmuebles24.com/inmobiliarias/publico-en-general_50974416-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-cholula-62486961.html,Departamento Renta Cholula,Condo/Apartment,16900,MXN,4,2,145.0,m2,"Departamento tipo loft renta cholula. Loft estilo industrial, Nolita Park es un concepto único y exclusivo en Puebla de departamentos tipo loft estilo neoyorquino con la esencia del barrio de Little Italy en Manhattan Nueva York. Cuenta con amenidades como gym, salon de eventos, áreas verdes, roof garden entre muchas más. (Se renta sin muebles) Su diseño arquitectónico destaca con acabados de lujo y amenidades que lo convierten en un proyecto único en la ciudad. Ubicado sobre la Radial, un boule...",https://img10.naventcdn.com/avisos/18/00/62/48/69/61/720x532/283835792.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/00/62/48/69/61/720x532/283835791.jpg; https://img10.naventcdn.com/avisos/18/00/62/48/69/61/720x532/283835794.jpg; https://img10.naventcdn.com/avisos/18/00/62/48/69/61/720x532/283835787.jpg; https://img10.naventcdn.com/avisos/18/00/62/48/69/61/720x532/283835789.jpg; https://img10.naventcdn.com/avisos/18/00/62/48/69/61/720x532/283835788.jpg; https://img10.naventcdn.com/avisos/18/00/62/48/69/61/720x532/283835790.jpg; https://img10.naventcdn.com/avisos/18/00/62/48/69/61/720x532/283835793.jpg,Mexico,Puebla,San Andrés Cholula,19.0401001,-98.277484,Rent
Rene Gonzalez,https://www.inmuebles24.com/inmobiliarias/rene-gonzalez_50310091-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-depa-100-remodelado-zona-centro-tijuana-149517016.html,"Depa 100% Remodelado | Zona Centro, Tijuana",Condo/Apartment,10000,MXN,1,1,40.0,m2,"¿Trabajas en la Zona Centro o cruzas diario a San Ysidro y estás harto de perder horas en el tráfico o de rentar departamentos viejos con tuberías que fallan? Dale un refresh a tu estilo de vida. Este departamento en Zona Centro acaba de ser totalmente remodelado. Aquí no vienes a lidiar con problemas de mantenimiento; vienes a estrenar acabados modernos desde que abres la puerta: Estrena Todo: Todo el departamento cuenta con piso de loseta tipo madera, iluminación led empotrada y ventiladores d...",https://img10.naventcdn.com/avisos/18/01/49/51/70/16/720x532/1599082105.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/51/70/16/720x532/1599082102.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/70/16/720x532/1599082104.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/70/16/720x532/1599082097.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/70/16/720x532/1599082095.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/70/16/720x532/1599082100.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/70/16/720x532/1599082101.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/70/16/720x532/1599082094.jpg,Mexico,Baja California Norte,Tijuana,32.5301511,-117.0631202,Rent
LUXXU,https://www.inmuebles24.com/inmobiliarias/luxxu_50084464-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-se-renta-departamento-de-3-recamaras-en-roma-norte-150316838.html,Se Renta Departamento de 3 Recamaras en Roma Norte,Condo/Apartment,52000,MXN,3,2,171.0,m2,"Espectacular Departamento con Hermosa Terraza – ¡Mantenimiento Incluido! Se renta amplio y luminoso departamento sin amueblar, ideal para quienes buscan comodidad, excelente distribución y una ubicación privilegiada. Con sus 171m2, ofrece espacios generosos perfectos para la vida familiar o ejecutiva. Precio de renta: $52, 000 mxn mensuales (Mantenimiento ya incluido en el precio) Características Principales: Superficie total: 171m2. Ubicación: Piso 3. Estado: Sin muebles (¡Listo para que lo dec...",https://img10.naventcdn.com/avisos/18/01/50/31/68/38/720x532/1615557870.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/31/68/38/720x532/1615557868.jpg; https://img10.naventcdn.com/avisos/18/01/50/31/68/38/720x532/1615557867.jpg; https://img10.naventcdn.com/avisos/18/01/50/31/68/38/720x532/1615557832.jpg; https://img10.naventcdn.com/avisos/18/01/50/31/68/38/720x532/1615557834.jpg; https://img10.naventcdn.com/avisos/18/01/50/31/68/38/720x532/1615557871.jpg; https://img10.naventcdn.com/avisos/18/01/50/31/68/38/720x532/1615557835.jpg; https://img10.naventcdn.com/avisos/18/01/50/31/68/38/720x532/1615557843.jpg,Mexico,Ciudad de México,Cuauhtémoc,19.4150065,-99.1631372,Rent
Delego SA de CV,https://www.inmuebles24.com/inmobiliarias/delego-sa-de-cv_50277073-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-av-santa-fe-city-santa-fe-departamento-amueblado-en-150819113.html,Av Santa Fe City Santa Fe Departamento Amueblado en Renta,Condo/Apartment,55000,MXN,2,2,140.0,m2,"Frente al parque la Mexicana en Avenida Santa Fe se encuentra este amplio departamento completamente amueblado y equipado de 140m2 pisos de madera con excelente vista y muy iluminado. Dos recámaras, dos baños completos, dos estacionamientos y recámara de incluido. Pet friendly.",https://img10.naventcdn.com/avisos/18/01/50/81/91/13/720x532/1626114036.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/81/91/13/720x532/1626114070.jpg; https://img10.naventcdn.com/avisos/18/01/50/81/91/13/720x532/1626114038.jpg; https://img10.naventcdn.com/avisos/18/01/50/81/91/13/720x532/1626114058.jpg; https://img10.naventcdn.com/avisos/18/01/50/81/91/13/720x532/1626114063.jpg; https://img10.naventcdn.com/avisos/18/01/50/81/91/13/720x532/1626114065.jpg; https://img10.naventcdn.com/avisos/18/01/50/81/91/13/720x532/1626114050.jpg; https://img10.naventcdn.com/avisos/18/01/50/81/91/13/720x532/1626114061.jpg,Mexico,Ciudad de México,Cuajimalpa de Morelos,19.3591035,-99.27028999999999,Rent
ALEJANDRA RIVERA,https://www.inmuebles24.com/inmobiliarias/alejandra-rivera_51094916-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-moderno-departamento-en-renta-145016340.html,Moderno Departamento en Renta,Condo/Apartment,1850,USD,2,2,154.0,m2,Amplio departamento en Renta. - Amueblado. - Contrato anual. - 2 Recamaras ( La principal con vestidor y baño) - 2 baños completos con regadera de techo y también tipo teléfono. - Clóset de blancos. - Amplia Sala Comedor. - Cuarto de lavado. - Cuarto bodega. - Cocina Integral con cajones y alacenas superiores e inferiores. - Amplia terraza con vista al área común. - Aires acondicionado en las 2 habitaciones y en Sala / Comedor Tipo mini split Inverter de la marca Trane. - Sensor de Gas y Humo co...,https://img10.naventcdn.com/avisos/18/01/45/01/63/40/720x532/1495351787.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/45/01/63/40/720x532/1495351773.jpg; https://img10.naventcdn.com/avisos/18/01/45/01/63/40/720x532/1495351763.jpg; https://img10.naventcdn.com/avisos/18/01/45/01/63/40/720x532/1495351770.jpg; https://img10.naventcdn.com/avisos/18/01/45/01/63/40/720x532/1495351771.jpg; https://img10.naventcdn.com/avisos/18/01/45/01/63/40/720x532/1495351767.jpg; https://img10.naventcdn.com/avisos/18/01/45/01/63/40/720x532/1495351768.jpg; https://img10.naventcdn.com/avisos/18/01/45/01/63/40/720x532/1495351775.jpg,Mexico,Quintana Roo,Solidaridad,20.673787854562065,-87.03851737669066,Rent
Grand Home Bienes Raices.,https://www.inmuebles24.com/inmobiliarias/grand-home-bienes-raices._50160689-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-hermoso-departamento-sin-muebles-con-una-vista-148318609.html,Renta Hermoso Departamento Sin Muebles con Una Vista Privilegiada a Reforma,Condo/Apartment,35000,MXN,2,2,135.0,m2,"Descripción. Amplio y luminoso departamento de 135 m², diseñado con un estilo contemporáneo. Cuenta con sala y comedor de gran amplitud, conectados a una cocina integral abierta que aporta sensación de armonía y modernidad. Dispone de 2 recámaras; la principal incluye baño completo y vestidor, mientras que la recámara secundaria tiene acceso a otro baño completo. Área de lavandería y cuarto de servicio con baño integrados para mayor comodidad. El departamento ofrece 2 lugares de estacionamiento ...",https://img10.naventcdn.com/avisos/18/01/48/31/86/09/720x532/1574771818.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/48/31/86/09/720x532/1574771817.jpg; https://img10.naventcdn.com/avisos/18/01/48/31/86/09/720x532/1574771824.jpg; https://img10.naventcdn.com/avisos/18/01/48/31/86/09/720x532/1574771814.jpg; https://img10.naventcdn.com/avisos/18/01/48/31/86/09/720x532/1574771800.jpg; https://img10.naventcdn.com/avisos/18/01/48/31/86/09/720x532/1574771799.jpg; https://img10.naventcdn.com/avisos/18/01/48/31/86/09/720x532/1574771798.jpg; https://img10.naventcdn.com/avisos/18/01/48/31/86/09/720x532/1574771811.jpg,Mexico,Ciudad de México,Cuauhtémoc,19.4336999,-99.15504209999999,Rent
Raíz Urbana,https://www.inmuebles24.com/inmobiliarias/raiz-urbana_51198244-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-semiamueblado-en-renta-en-merida-temozon-150326909.html,"Departamento Semiamueblado en Renta en Mérida, Temozón Norte",Condo/Apartment,16000,MXN,2,2,98.0,m2,"Disfruta de la comodidad de vivir en Temozón Norte, en un complejo de solo 3 departamentos. Este departamento en planta baja combina funcionalidad, buena distribución y detalles que marcan la diferencia. El departamento se encuentra semiamueblado. Caracteristicas: -Sala. -Comedor. -Cocina equipada con barra, estufa de gas y campana. -1/2 Baño de visitas. -Jardín interior que brinda luz natural y ventilación. -Recámara principal con closet vestidor y baño. -Recámara secundaria con closet de pared...",https://img10.naventcdn.com/avisos/18/01/50/32/69/09/720x532/1615861408.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/32/69/09/720x532/1620320483.jpg; https://img10.naventcdn.com/avisos/18/01/50/32/69/09/720x532/1620320485.jpg; https://img10.naventcdn.com/avisos/18/01/50/32/69/09/720x532/1615861407.jpg; https://img10.naventcdn.com/avisos/18/01/50/32/69/09/720x532/1615861398.jpg; https://img10.naventcdn.com/avisos/18/01/50/32/69/09/720x532/1615861411.jpg; https://img10.naventcdn.com/avisos/18/01/50/32/69/09/720x532/1615861409.jpg; https://img10.naventcdn.com/avisos/18/01/50/32/69/09/720x532/1615861410.jpg,Mexico,Yucatán,Mérida,21.0742170102,-89.6136969224,Rent
