Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
HIGHLINE MEXICO,https://www.inmuebles24.com/inmobiliarias/highline-mexico_50988118-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-de-2-habitaciones-en-renta-a-largo-plazo-150190580.html,"Departamento de 2 Habitaciones en Renta a Largo Plazo/ Excelente Ubicacion, Amenidades.",Condo/Apartment,22000,MXN,2,2,120.0,m2,"Departamento ubicado en Playacar Fase 2, muy cercano a los accesos y a pocos minutos de la 5ta avenida y el mar. Renta a largo plazo, 6/12 meses. -2 Recamaras-2 Baños-Sala comedor-Cocina equipada-Area de lavado-Renta amueblado-$22. 000 mxn. Mensuales + servicios. -Mes de deposito $22. 000 mxn. -Contrato: $1500. Mxn Solo personas responsables, limpias y que tengan como comprobar ingresos. Si quieres saber mas, y agendar una visita a la propiedad, contactame. hlm-dpg2R.",https://img10.naventcdn.com/avisos/18/01/50/19/05/80/720x532/1615753483.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/19/05/80/720x532/1615753562.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/05/80/720x532/1615753243.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/05/80/720x532/1615753642.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/05/80/720x532/1615753429.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/05/80/720x532/1615753611.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/05/80/720x532/1615753319.jpg; https://img10.naventcdn.com/avisos/18/01/50/19/05/80/720x532/1615753585.jpg,Mexico,Quintana Roo,Solidaridad,20.6154216479,-87.0905121662,Rent
Samuel Ortiz Gonzalez,https://www.inmuebles24.com/inmobiliarias/samuel-ortiz-gonzalez_51297244-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-departamento-amueblado-en-selvamar-playa-del-147446224.html,Renta Departamento Amueblado en Selvamar Playa del Carmen,Condo/Apartment,22000,MXN,1,1,129.0,m2,"Departamento Amueblado en Renta en Selvamar Playa del Carmen. Ubicado en Residencial Selvamar, un exclusivo complejo rodeado de naturaleza, árboles y selva, ideal para quienes buscan privacidad, tranquilidad y un ambiente natural. Características del departamento: 1 recámara con walk-in clóset y baño propio. Sala y comedor con excelente iluminación. Cocina equipada. Área de lavado equipada. Ubicado en segundo nivel. 1 lugar de estacionamiento. Amenidades del residencial: Seguridad 24/7 y acceso ...",https://img10.naventcdn.com/avisos/18/01/47/44/62/24/720x532/1556595862.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/47/44/62/24/720x532/1556595861.jpg; https://img10.naventcdn.com/avisos/18/01/47/44/62/24/720x532/1556595865.jpg; https://img10.naventcdn.com/avisos/18/01/47/44/62/24/720x532/1556595851.jpg; https://img10.naventcdn.com/avisos/18/01/47/44/62/24/720x532/1556595863.jpg; https://img10.naventcdn.com/avisos/18/01/47/44/62/24/720x532/1556595852.jpg; https://img10.naventcdn.com/avisos/18/01/47/44/62/24/720x532/1556595867.jpg; https://img10.naventcdn.com/avisos/18/01/47/44/62/24/720x532/1556595857.jpg,Mexico,Quintana Roo,Solidaridad,20.6488,-87.08193,Rent
.Haus Real Estate.,https://www.inmuebles24.com/inmobiliarias/.haus-real-estate._50264678-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-renta-playa-del-carmen-lagunas-ciudad-146065059.html,Departamento Renta Playa del Carmen Lagunas Ciudad Mayakoba,Condo/Apartment,38000,MXN,3,3,143.0,m2,"Hermoso departamento, en renta completamente amueblado y equipado, ubicado en Lagunas de Ciudad Mayakoba. Contrato por un año, no se acepta mascota. Lagunas Ciudad Mayakoba es un desarrollo nuevo con una ubicación privilegiada en uno de los fraccionamientos más exclusivos y privados de Playa del Carmen. Ofrece a sus residentes un estilo de vida en medio de lagunas de agua cristalina, diseño arquitectónico de punta y áreas verdes. Un lugar privilegiado cerca de las mas bellas playas de la Riviera...",https://img10.naventcdn.com/avisos/18/01/46/06/50/59/720x532/1522756470.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/46/06/50/59/720x532/1522756472.jpg; https://img10.naventcdn.com/avisos/18/01/46/06/50/59/720x532/1522756474.jpg; https://img10.naventcdn.com/avisos/18/01/46/06/50/59/720x532/1522756471.jpg; https://img10.naventcdn.com/avisos/18/01/46/06/50/59/720x532/1522756475.jpg; https://img10.naventcdn.com/avisos/18/01/46/06/50/59/720x532/1522756477.jpg; https://img10.naventcdn.com/avisos/18/01/46/06/50/59/720x532/1522756468.jpg; https://img10.naventcdn.com/avisos/18/01/46/06/50/59/720x532/1522756479.jpg,Mexico,Quintana Roo,Solidaridad,20.6898331,-87.03625319999999,Rent
A & A BIENES RAICES REALTY SOLUTIONS ,https://www.inmuebles24.com/inmobiliarias/a-a-bienes-raices-realty-solutions_50254707-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-1-recamara-amueblado-equipado-148491876.html,"Departamento en Renta, 1 Recámara, Amueblado/equipado, Lagunas Mayakobá, Playa del Carmen",Condo/Apartment,18000,MXN,1,1,80.0,m2,"Departamento en Renta, 1 Recámara, amueblado/equipado, Lagunas Mayakobá, Playa del CarmenDepartamento totalmente equipado y amueblado. En privada con doble caseta de seguridad en Playa del Carmen, Quintana Roo, ofrece un entorno seguro y cómodo para vivir en uno de los lugares más hermosos de Playa del Carmen. - 1 recámara-Renta: 18, 000 pesos - 1 baño completo- Espacio de sala y comedor- Cocina- Cuarto de lavado- Terraza- Persianas- Lavadora secadora- 1 cajón de estacionamiento sin techarCon in...",https://img10.naventcdn.com/avisos/18/01/48/49/18/76/720x532/1578279144.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/48/49/18/76/720x532/1578279154.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/76/720x532/1578279145.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/76/720x532/1578279173.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/76/720x532/1578279158.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/76/720x532/1578279150.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/76/720x532/1578279157.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/76/720x532/1578279143.jpg,Mexico,Quintana Roo,Solidaridad,20.705704,-87.0703388,Rent
Asesor Inmobiliario Certificado,https://www.inmuebles24.com/inmobiliarias/asesor-inmobiliario-certificado_102564201-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-ciudad-mayakoba-playa-del-145640253.html,Departamento en Renta en Ciudad Mayakobá Playa del Carmen,Condo/Apartment,9000,MXN,2,1,49.0,m2,"Promoción renta mensual pagando puntual: 9, 000 mxm Precio mensual 9, 800 mxn. Ideal para adultos mayores, parejas y familia pequeña, planta baja. Terraza privada, Minisplits, cocina integral, persianas, estacionamiento frente a tu puerta. Con una ubicación privilegiada en planta baja, a unos pasos del parque. Amenidades. Alberca con palapa y asadores para reuniones. Vigilancia 24/7 y acceso controlado a mayakobá para tu seguridad. Ubicación Estratégica: Rodeado de naturaleza, con acceso a todos...",https://img10.naventcdn.com/avisos/18/01/45/64/02/53/720x532/1509167546.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/45/64/02/53/720x532/1509178040.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/02/53/720x532/1509178041.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/02/53/720x532/1509167543.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/02/53/720x532/1509167555.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/02/53/720x532/1509167540.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/02/53/720x532/1525785394.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/02/53/720x532/1509167548.jpg,Mexico,Quintana Roo,Solidaridad,,,Rent
Octopus Real Estate ,https://www.inmuebles24.com/inmobiliarias/octopus-real-estate_50293518-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-playa-del-carmen-centro-150721130.html,Departamento en Playa del Carmen Centro,Condo/Apartment,15000,MXN,1,1,40.0,m2,"Estudio en Renta en el Centro de Playa del Carmen | Totalmente Amueblado y EquipadoDisfruta de un moderno estudio listo para habitar, completamente amueblado, decorado y equipado. Ubicado en una de las zonas con mayor demanda de Playa del Carmen, ofrece comodidad, excelente ubicación y amenidades ideales para quienes buscan vivir cerca de todo. Características: Estudio completamente amueblado, decorado y equipado. Vista interior hacia la fuente. Roof top con vista al mar. Lobby con seguridad 24 ...",https://img10.naventcdn.com/avisos/18/01/50/72/11/30/720x532/1624076325.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/72/11/30/720x532/1624076316.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/11/30/720x532/1624076328.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/11/30/720x532/1624076332.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/11/30/720x532/1624076318.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/11/30/720x532/1624076321.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/11/30/720x532/1624076311.jpg; https://img10.naventcdn.com/avisos/18/01/50/72/11/30/720x532/1624076314.jpg,Mexico,Quintana Roo,Solidaridad,20.6266929859,-87.077438281,Rent
A & A BIENES RAICES REALTY SOLUTIONS ,https://www.inmuebles24.com/inmobiliarias/a-a-bienes-raices-realty-solutions_50254707-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-2-recamaras-amueblado-148491846.html,"Departamento en Renta, 2 Recámaras, Amueblado, Bosques, Ciudad Mayakobá, Playa del Carmen",Condo/Apartment,23000,MXN,2,2,95.0,m2,"Departamento en Renta, 2 Recámaras, amueblado, Bosques, Ciudad Mayakobá, Playa del CarmenDepartamento en privada con doble caseta de seguridad. Ubicado en la preciosa selva de Playa del Carmen rodeada de tranquilidad, naturaleza flora y fauna, hermosos senderos para caminar, hacer jogging, bicicleta, con de zonas para descansar, parque con juegos para niños, ideal para caminar con mascotas, ubicación de plaza comercial con servicios disponibles, así como tiendas de conveniencia seven eleven y Ox...",https://img10.naventcdn.com/avisos/18/01/48/49/18/46/720x532/1578278442.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/48/49/18/46/720x532/1578278439.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/46/720x532/1578278433.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/46/720x532/1578278429.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/46/720x532/1578278430.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/46/720x532/1578278428.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/46/720x532/1578278444.jpg; https://img10.naventcdn.com/avisos/18/01/48/49/18/46/720x532/1578278438.jpg,Mexico,Quintana Roo,Solidaridad,20.705704,-87.0703388,Rent
Octopus Real Estate ,https://www.inmuebles24.com/inmobiliarias/octopus-real-estate_50293518-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-playa-del-carmen-centro-150712510.html,Departamento en Playa del Carmen Centro,Condo/Apartment,14000,MXN,,1,40.0,m2,"Renta de Estudio en el Corazón de Playa del CarmenVive la experiencia caribeña con todo el confort que mereces. Este moderno estudio totalmente amueblado, equipado y decorado ha sido recientemente remodelado para ofrecerte un espacio con estilo, comodidad y una ubicación inmejorable. -Características del edificio: Alberca en rooftop con impresionante vista al mar CaribeÁrea social con barra de alimentos y zona de descansoLobby 24 horas y acceso controlado con claveElevador y estacionamiento subt...",https://img10.naventcdn.com/avisos/18/01/50/71/25/10/720x532/1623892980.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/71/25/10/720x532/1623892998.jpg; https://img10.naventcdn.com/avisos/18/01/50/71/25/10/720x532/1623892997.jpg; https://img10.naventcdn.com/avisos/18/01/50/71/25/10/720x532/1623892983.jpg; https://img10.naventcdn.com/avisos/18/01/50/71/25/10/720x532/1623892979.jpg; https://img10.naventcdn.com/avisos/18/01/50/71/25/10/720x532/1623892996.jpg; https://img10.naventcdn.com/avisos/18/01/50/71/25/10/720x532/1623892986.jpg; https://img10.naventcdn.com/avisos/18/01/50/71/25/10/720x532/1623892977.jpg,Mexico,Quintana Roo,Solidaridad,20.6270131436,-87.077209981,Rent
Octopus Real Estate ,https://www.inmuebles24.com/inmobiliarias/octopus-real-estate_50293518-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-roof-top-vista-al-mar-estacionamiento-techado-loft-149558556.html,"Roof Top Vista Al Mar, Estacionamiento Techado, Loft con Domótica",Unknown,15000,MXN,,1,40.0,m2,"Loft en Renta | Centro de Playa del Carmen – ¡Disponibilidad Limitada! Promocion $15, 000. 00Ubicado en el corazón de Playa del Carmen, a solo media cuadra de la 5ta Avenida, este exclusivo loft destaca por su increíble rooftop con vista al Mar Caribe. Se encuentra en primer nivel, con excelente iluminación natural y un ambiente tranquilo. Se renta completamente amueblado y equipado: cocina integral, cama king size, sala y aire acondicionado. ¡Listo para habitarse de inmediato! Amenidades premiu...",https://img10.naventcdn.com/avisos/18/01/49/55/85/56/720x532/1606368120.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/55/85/56/720x532/1600037084.jpg; https://img10.naventcdn.com/avisos/18/01/49/55/85/56/720x532/1606368157.jpg; https://img10.naventcdn.com/avisos/18/01/49/55/85/56/720x532/1600037088.jpg; https://img10.naventcdn.com/avisos/18/01/49/55/85/56/720x532/1600037086.jpg; https://img10.naventcdn.com/avisos/18/01/49/55/85/56/720x532/1600037137.jpg; https://img10.naventcdn.com/avisos/18/01/49/55/85/56/720x532/1600037082.jpg; https://img10.naventcdn.com/avisos/18/01/49/55/85/56/720x532/1600037094.jpg,Mexico,Quintana Roo,Solidaridad,20.633657786,-87.0679378589,Rent
Octopus Real Estate ,https://www.inmuebles24.com/inmobiliarias/octopus-real-estate_50293518-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-estudio-con-roof-top-privado-a-precio-de-oportunidad-149512268.html,Estudio con Roof Top Privado a Precio de Oportunidad,Penthouse,17500,MXN,,1,70.0,m2,"Renta de estudio penthouse con jacuzzi privadoeste estudio ph se encuentra ubicado en una zona privilegiada de Playa del Carmen, a solo cuatro cuadras de la famosa 5ta Avenida y de todos los servicios. El edificio cuenta con seguridad 24 horas, piscina y terraza con vista parcial al mar. Amplio y luminoso, el estudio tiene una superficie de 40 m2, distribuidos en una sala-comedor, una cocina equipada, un baño completo y una habitación con cama king size. El área de la terraza es de 30 m2 y cuent...",https://img10.naventcdn.com/avisos/18/01/49/51/22/68/720x532/1606367345.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/51/22/68/720x532/1606367356.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/22/68/720x532/1606367269.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/22/68/720x532/1606367337.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/22/68/720x532/1606367225.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/22/68/720x532/1606367219.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/22/68/720x532/1606367295.jpg; https://img10.naventcdn.com/avisos/18/01/49/51/22/68/720x532/1606367282.jpg,Mexico,Quintana Roo,Solidaridad,20.6270948844,-87.07719036,Rent
