Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
CGC BIENES RAICES..,https://www.inmuebles24.com/inmobiliarias/cgc-bienes-raices.._50329781-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-loft-aldea-zama-tulum-con-amenidades-de-lujo-147067867.html,Loft Aldea Zama Tulum con Amenidades de Lujo,Condo/Apartment,8000,MXN,1,1,32.0,m2,"¡Bienvenido al paraíso en la tierra! Te presentamos un sueño hecho realidad: un departamento tipo loft completamente amueblado y equipado en el increíble destino turístico de Tulum. Prepárate para ser cautivado por la belleza natural y la tranquilidad absoluta que este lugar ofrece. Imagina despertar cada mañana en medio de exuberantes paisajes verdes que rodean el departamento aislándote del sol, el calor y la contaminación visual.. Aquí, el ruido del tráfico y el bullicio de la ciudad quedan o...",https://img10.naventcdn.com/avisos/18/01/47/06/78/67/720x532/1576130003.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/47/06/78/67/720x532/1576129992.jpg; https://img10.naventcdn.com/avisos/18/01/47/06/78/67/720x532/1576129999.jpg; https://img10.naventcdn.com/avisos/18/01/47/06/78/67/720x532/1576129988.jpg; https://img10.naventcdn.com/avisos/18/01/47/06/78/67/720x532/1576129994.jpg; https://img10.naventcdn.com/avisos/18/01/47/06/78/67/720x532/1576130001.jpg; https://img10.naventcdn.com/avisos/18/01/47/06/78/67/720x532/1576129998.jpg; https://img10.naventcdn.com/avisos/18/01/47/06/78/67/720x532/1576129995.jpg,Mexico,Quintana Roo,Tulum,20.197292,-87.45083,Rent
.Haus Real Estate.,https://www.inmuebles24.com/inmobiliarias/.haus-real-estate._50264678-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-tulum-149389651.html,Departamento en Renta Tulum,Condo/Apartment,15000,MXN,1,1,66.0,m2,"Vive la experiencia de tulum desde este hermoso departamento en renta! Ubicado en una de las Zonas más céntricas Y seguras de Tulum, aldea zama. No se aceptan mascotas. Amplio y hermoso departamento con terraza, completamente equipado y decorado. Descripción: -1 recamara. -1 baños completos. -Terraza de privada. -Incluye mantenimiento. -Se aceptan mascotas. amenidades: -Lobby. -Alberca. -Jacuzzi. -Gimnasio. -Sauna. -Co-working. -Area de juegos infantiles. -Fogateros. -Sala de juegos. -Estacionam...",https://img10.naventcdn.com/avisos/18/01/49/38/96/51/720x532/1596438178.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/38/96/51/720x532/1596438175.jpg; https://img10.naventcdn.com/avisos/18/01/49/38/96/51/720x532/1596438158.jpg; https://img10.naventcdn.com/avisos/18/01/49/38/96/51/720x532/1596438182.jpg; https://img10.naventcdn.com/avisos/18/01/49/38/96/51/720x532/1596438169.jpg; https://img10.naventcdn.com/avisos/18/01/49/38/96/51/720x532/1596438161.jpg; https://img10.naventcdn.com/avisos/18/01/49/38/96/51/720x532/1596438166.jpg; https://img10.naventcdn.com/avisos/18/01/49/38/96/51/720x532/1596438170.jpg,Mexico,Quintana Roo,Tulum,20.199336191968662,-87.46071534282224,Rent
Select Realty Mexico,https://www.inmuebles24.com/inmobiliarias/select-realty-mexico_50902121-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-yaxluum-tulum-renta-150344526.html,Departamento en Yaxluum - Tulum - Renta,Condo/Apartment,28000,MXN,2,2,123.0,m2,"Vive rodeado de naturaleza, comodidad y tranquilidad en este hermoso departamento amueblado y equipado, ubicado en planta baja dentro del exclusivo desarrollo Yaaxlum, Tulum. Características: - 2 recámaras. - 2 baños completos. - Planta baja. - Unidad con lock-off, ideal para mayor privacidad o flexibilidad de uso. - Totalmente amueblado y equipado. - Mantenimiento incluido. - Se aceptan mascotas pequeñas. Amenidades del desarrollo: - Alberca. - Jacuzzi. - Gimnasio. - Estacionamiento subterráneo...",https://img10.naventcdn.com/avisos/18/01/50/34/45/26/720x532/1616235502.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/34/45/26/720x532/1616235508.jpg; https://img10.naventcdn.com/avisos/18/01/50/34/45/26/720x532/1616235505.jpg; https://img10.naventcdn.com/avisos/18/01/50/34/45/26/720x532/1616235498.jpg; https://img10.naventcdn.com/avisos/18/01/50/34/45/26/720x532/1616235513.jpg; https://img10.naventcdn.com/avisos/18/01/50/34/45/26/720x532/1616235510.jpg; https://img10.naventcdn.com/avisos/18/01/50/34/45/26/720x532/1616235501.jpg; https://img10.naventcdn.com/avisos/18/01/50/34/45/26/720x532/1616235503.jpg,Mexico,Quintana Roo,Tulum,20.1956609,-87.4747991,Rent
Octopus Real Estate ,https://www.inmuebles24.com/inmobiliarias/octopus-real-estate_50293518-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-ph-2-recamaras-aldea-savia-tulum-150076983.html,"PH 2 Recamaras Aldea Savia, Tulum",Condo/Apartment,20000,MXN,2,2,80.0,m2,"Departamento amueblado Y totalmente equipado en aldea savia, tulumdisfruta de la comodidad y tranquilidad de vivir en Aldea Savia, una de las comunidades residenciales más apreciadas por las familias en Tulum gracias a su seguridad, excelentes amenidades y ubicación estratégica. Este departamento de 2 recámaras y 2 baños completos se encuentra completamente amueblado y equipado, listo para habitar. Características del departamento: • 2 recámaras • 2 baños completos• Cocina totalmente equipada• C...",https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586306.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586322.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586317.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586338.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586308.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586329.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586324.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586334.jpg,Mexico,Quintana Roo,Tulum,20.2176992,-87.4507998,Rent
A & A BIENES RAICES REALTY SOLUTIONS ,https://www.inmuebles24.com/inmobiliarias/a-a-bienes-raices-realty-solutions_50254707-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-penthouse-en-venta-2-recamaras-roof-150696131.html,"Departamento Penthouse en Venta, 2 Recámaras, Roof Top, Edif. Alquimia, And. Kambul Aldea Zama, Tulum",Penthouse,25000,MXN,2,2,167.0,m2,"Departamento Penthouse en Venta, 2 Recámaras, Roof Top, Edif. Alquimia, And. Kambul Aldea Zama, Tulum. Luminoso y amplios espacios con una decoración exquisita harán que disfrutes una confortable estadía. amueblado Y equipaso con 2 recamaras con 2 baños, Una reecámara con lock off y cocineta, para que rentes independiente. recámara principal: Cama King Size Almohadas y cobijas adicionales, , Aire acondicionado, Caja fuerte, Espacio para guardar ropa, Ganchos, Plancha, Ropa de cama Televisiónreec...",https://img10.naventcdn.com/avisos/18/01/50/69/61/31/720x532/1623573776.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/69/61/31/720x532/1623573817.jpg; https://img10.naventcdn.com/avisos/18/01/50/69/61/31/720x532/1623573795.jpg; https://img10.naventcdn.com/avisos/18/01/50/69/61/31/720x532/1623573791.jpg; https://img10.naventcdn.com/avisos/18/01/50/69/61/31/720x532/1623573803.jpg; https://img10.naventcdn.com/avisos/18/01/50/69/61/31/720x532/1623573778.jpg; https://img10.naventcdn.com/avisos/18/01/50/69/61/31/720x532/1623573810.jpg; https://img10.naventcdn.com/avisos/18/01/50/69/61/31/720x532/1623573807.jpg,Mexico,Quintana Roo,Tulum,20.1972599,-87.4629898,Rent
GRUPO INÉVITA,https://www.inmuebles24.com/inmobiliarias/grupo-inevita_50203492-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-la-veleta-tulum-quintana-roo-145699428.html,Departamento en Renta en La Veleta Tulum Quintana Roo,Condo/Apartment,15000,MXN,1,1,71.0,m2,"Eterna Residences es un proyecto único en su clase, ubicado en el corazón de la Veleta a tan solo 12 minutos de la zona hotelera en Tulum México. Este Increíble departamento de 3 niveles cuenta con terraza privada, una amplia recámara completamente amueblado, decorado y equipado listo para ser utilizado como renta vacacional. El departamento incluye cosas como: Muebles, decoración, cortinas, blancos, cubiertos, lámparas, cafetera, frigobar, microondas, muebles de exterior, cuadros. Contamos con ...",https://img10.naventcdn.com/avisos/18/01/45/69/94/28/720x532/1511470645.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/45/69/94/28/720x532/1511470712.jpg; https://img10.naventcdn.com/avisos/18/01/45/69/94/28/720x532/1511470736.jpg; https://img10.naventcdn.com/avisos/18/01/45/69/94/28/720x532/1511470658.jpg; https://img10.naventcdn.com/avisos/18/01/45/69/94/28/720x532/1511470651.jpg; https://img10.naventcdn.com/avisos/18/01/45/69/94/28/720x532/1511470735.jpg; https://img10.naventcdn.com/avisos/18/01/45/69/94/28/720x532/1511470646.jpg; https://img10.naventcdn.com/avisos/18/01/45/69/94/28/720x532/1511470642.jpg,Mexico,Quintana Roo,Tulum,20.205751,-87.4758774,Rent
CGC BIENES RAICES..,https://www.inmuebles24.com/inmobiliarias/cgc-bienes-raices.._50329781-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-estrene-departamento-en-tulum-quintana-roo-150210383.html,Estrene Departamento en Tulum Quintana Roo,Condo/Apartment,9000,MXN,1,1,38.0,m2,"Ophelia es un desarrollo junto a Aldea Zamá en Tulum que es uno de los lugares con mayor exclusividad y plusvalía en la nueva y super Ciudad de Tulum y en crecimiento con un potencial turístico a los niveles más exclusivos para turistas jóvenes con fuertes recursos para gastar en uno de los lugares mas costosos en la actualidad a nivel mundial, generando rentas vacacionales con ingresos extraordinarios. Este lugar paradisiaco cuenta con alberca, jacuzzis, gym, restaurante, bar, loby, bicicletas ...",https://img10.naventcdn.com/avisos/18/01/50/21/03/83/720x532/1613399916.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/21/03/83/720x532/1613399922.jpg; https://img10.naventcdn.com/avisos/18/01/50/21/03/83/720x532/1613399925.jpg; https://img10.naventcdn.com/avisos/18/01/50/21/03/83/720x532/1613399909.jpg; https://img10.naventcdn.com/avisos/18/01/50/21/03/83/720x532/1613399923.jpg; https://img10.naventcdn.com/avisos/18/01/50/21/03/83/720x532/1613399918.jpg; https://img10.naventcdn.com/avisos/18/01/50/21/03/83/720x532/1613399914.jpg; https://img10.naventcdn.com/avisos/18/01/50/21/03/83/720x532/1613399915.jpg,Mexico,Quintana Roo,Tulum,20.2114185,-87.46535019999999,Rent
Caleb Osollo,https://www.inmuebles24.com/inmobiliarias/caleb-osollo_51278937-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-bonito-departamento-en-aldea-tulum-planta-baja-acceso-145948443.html,Bonito Departamento en Aldea Tulum Planta Baja Acceso Alberca Vista Jardin,Condo/Apartment,1099000,MXN,2,1,49.0,m2,"Te presento un encantador departamento en venta en Aldea Tulum con acceso A alberca y vista al jardín. Este departamento incluye cocina, closets, muebles, colchones, cortinas, muebles, aires acondicionados ya instalados. Recuerda que el costo de instalar aires acondicionados en un departamento de Planta Baja puede ser hasta 4 veces el de un departamento en el cuarto piso por los materiales requeridos. Esta joya inmobiliaria combina un bajo costo de tener una propiedad a minutos de una de las pla...",https://img10.naventcdn.com/avisos/18/01/45/94/84/43/720x532/1520009462.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/45/94/84/43/720x532/1590841126.jpg; https://img10.naventcdn.com/avisos/18/01/45/94/84/43/720x532/1519946058.jpg; https://img10.naventcdn.com/avisos/18/01/45/94/84/43/720x532/1519952758.jpg; https://img10.naventcdn.com/avisos/18/01/45/94/84/43/720x532/1519946045.jpg; https://img10.naventcdn.com/avisos/18/01/45/94/84/43/720x532/1519946046.jpg; https://img10.naventcdn.com/avisos/18/01/45/94/84/43/720x532/1590841136.jpg; https://img10.naventcdn.com/avisos/18/01/45/94/84/43/720x532/1548876849.jpg,Mexico,Quintana Roo,Tulum,,,Rent
CASA MANAAKI,https://www.inmuebles24.com/inmobiliarias/casa-manaaki_102777148-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-zel-va-tulum-departamento-con-patio-privado-y-145798488.html,Zel - Va Tulum Departamento con Patio Privado y Piscina,Condo/Apartment,9000,MXN,1,1,72.0,m2,"Departamento de 72 mts2 totalmente equipado en planta baja con balcón y patio privado. Vive Tulum en zel-va, un condominio nuevo con todas las comodidades. Tiene un balcón de entrada con mesa y sillas, sala con sofá y una tv giratoria que también puedes ver desde la habitación. Cama king size, closet, caja de seguridad y secador de cabello. Comedor para 4 personas y cocina totalmente equipada: refrigerador, estufa eléctrica, horno/microondas, cafetera y utensilios de cocina. Baño completo con du...",https://img10.naventcdn.com/avisos/18/01/45/79/84/88/720x532/1551016382.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/45/79/84/88/720x532/1514929635.jpg; https://img10.naventcdn.com/avisos/18/01/45/79/84/88/720x532/1551016394.jpg; https://img10.naventcdn.com/avisos/18/01/45/79/84/88/720x532/1551016386.jpg; https://img10.naventcdn.com/avisos/18/01/45/79/84/88/720x532/1551016379.jpg; https://img10.naventcdn.com/avisos/18/01/45/79/84/88/720x532/1551016391.jpg; https://img10.naventcdn.com/avisos/18/01/45/79/84/88/720x532/1551016366.jpg; https://img10.naventcdn.com/avisos/18/01/45/79/84/88/720x532/1551016388.jpg,Mexico,Quintana Roo,Tulum,20.1949099,-87.4754328,Rent
housebuy.mx,https://www.inmuebles24.com/inmobiliarias/housebuy.mx_102957938-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-en-tulum-quintana-roo-150293355.html,"Departamento en Renta en Tulum, Quintana Roo",Condo/Apartment,10000,MXN,1,1,46.0,m2,"(English below) ¡precio súper reducido! Tul090. Departamento de 1 recámara “llave en mano” de una recámara en venta en Tulum. Ubicación: Condominio Rama, La Veleta, Tulum. Referencias: A 37 minutos del Aeropuerto Internacional de Tulum, 20 minutos de la playa, 10 minutos del centro. Piso en el que se encuentra: 3. Número de unidades en edificio: 21. Construcción: 46. 4 m2 // 489. 98 SqFt. Recámaras: Estudio. Baños: 1. Amueblado: Sí Estatus: Cesión de derechos. Año de construcción: 2021. hoa fee:...",https://img10.naventcdn.com/avisos/18/01/50/29/33/55/720x532/1615069902.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/29/33/55/720x532/1615069898.jpg; https://img10.naventcdn.com/avisos/18/01/50/29/33/55/720x532/1615069913.jpg; https://img10.naventcdn.com/avisos/18/01/50/29/33/55/720x532/1615069905.jpg; https://img10.naventcdn.com/avisos/18/01/50/29/33/55/720x532/1615069912.jpg; https://img10.naventcdn.com/avisos/18/01/50/29/33/55/720x532/1615069900.jpg; https://img10.naventcdn.com/avisos/18/01/50/29/33/55/720x532/1615069895.jpg; https://img10.naventcdn.com/avisos/18/01/50/29/33/55/720x532/1615069906.jpg,Mexico,Quintana Roo,Tulum,20.2025963,-87.4727791,Rent
