Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
7117 Grupo inmobiliario,https://www.7117.com.mx/,Tokko Broker,"https://www.7117.com.mx/p/7756495-Casa-en-Venta-en-Fraccionamiento-Flores-Del-Valle--Fracc.-Flores-del-Valle,-Veracruz",Casa en Venta en Fraccionamiento Flores Del Valle - Fraccionamiento Flores Del Valle,Land/Lot,2150000,MXN,3,3,160,m2,"Casa en Flores del Valle 2,150,000 Casa de una planta en Fracc. Flores del Valle, Veracruz CARACTERÍSTICAS: - Terreno: 170 m2- Construcción: 160 m2- Sala- Comedor- Cocina- Área de lavado- Patio- 3 recámaras- Baño completo- La principal con tina y vestidor- Garage para un auto 7117 Grupo Inmobiliario",https://static.tokkobroker.com/pictures/7756495_13430435299667267674208511035410495804131537447668376695585088516160694171900.jpg,Mexico,,,,,Sale,1,7117 Grupo inmobiliario,"https://www.7117.com.mx/p/7756495-Casa-en-Venta-en-Fraccionamiento-Flores-Del-Valle--Fracc.-Flores-del-Valle,-Veracruz",Mexico City
ATMOBA ECOSISTEMA INMOBILIARIA,https://atmoba.com/,,https://atmoba.com/properties/exclusiva-casa-en-venta-en-la-asuncion-san-joaquin-058-cvme-laj/,"Exclusiva Casa en Venta en La Asunción, San Joaquín, 058-CVME-LAJ – hacked by trenggalek6etar",House,28000000,USD,1,,,,"Residencia La Asunción, Metepec Ponemos a tu disposición esta exclusiva residencia ubicada en Privada Paseo San Joaquín, C.P. 52143 (Blvd. Condado del Valle 3214 oriente, 52143 Metepec, Méx.). Una propiedad con diseño sofisticado, recién remodelada y equipada con los más altos estándares de calidad, tecnología y confort. Se encuentra disponible con o sin amueblar. Precio de Venta: $28,000,000 MXN Estatus: Libre Mantenimiento: $2,500 MXN Programa Arquitectónico: Recámaras: 1 recámara principal y 3 secundarias (todas cuentan con baño y vestidor). Áreas Sociales y de Convivencia: Sala, comedor, r",https://atmoba.com/wp-content/uploads/2026/07/Imagen4-2.png,Mexico,,,,,Sale,1,ATMOBA ECOSISTEMA INMOBILIARIA,https://atmoba.com/properties/exclusiva-casa-en-venta-en-la-asuncion-san-joaquin-058-cvme-laj/,Mexico City
ATMOBA ECOSISTEMA INMOBILIARIA,https://atmoba.com/,,https://atmoba.com/properties/casa-en-altea-condado-del-valle-055-cvme-cva/,"Casa en Altea, Condado del Valle, 055-CVME-CVA – hacked by trenggalek6etar",House,6480000,USD,3,,200,m2,"Casa en Venta: Altea Condado del Valle, Metepec Descripción General Presentamos esta casa nueva ubicada en el exclusivo desarrollo de Altea Condado del Valle, Metepec. Esta propiedad representa una excelente oportunidad para quienes buscan estrenar un hogar con acabados actuales y una distribución pensada para la comodidad familiar. Características del Inmueble La residencia cuenta con un diseño arquitectónico completo y funcional: Áreas Sociales: Sala, comedor y cocina integral equipada. Espacios Adicionales: Sala de TV y un agradable roof garden para reuniones. Recámaras: 3 recámaras, cada u",https://atmoba.com/wp-content/uploads/2026/07/e1c89819-88a2-4adb-ad9a-a4d579371805.jpg,Mexico,,,,,Sale,1,ATMOBA ECOSISTEMA INMOBILIARIA,https://atmoba.com/properties/casa-en-altea-condado-del-valle-055-cvme-cva/,Mexico City
ATMOBA ECOSISTEMA INMOBILIARIA,https://atmoba.com/,,https://atmoba.com/properties/casa-en-venta-en-bakeira-condado-del-valle-29-056-cvme-cva/,"Casa en Venta en Bakeira, Condado del Valle 29, 056-CVME-CVA – hacked by trenggalek6etar",House,7350000,USD,3,,260,m2,"Descubre tu próximo hogar en una de las zonas con mayor exclusividad y plusvalía. Esta magnífica casa a estrenar combina diseño contemporáneo, amplitud y acabados ideales para disfrutar de un estilo de vida único. Precio: $7,350,000.00 MXN Ubicación: Blvd. Condado del Valle 3214 oriente, 52143 Metepec, Méx. Superficie: 260 m² de terreno y 205 m² de construcción. Programa Arquitectónico: 3 recámaras, cada una equipada con su propio baño y vestidor. Área de home office, perfecta para trabajar o estudiar desde casa con total comodidad. Sala a doble altura, que aporta una excelente iluminación nat",https://atmoba.com/wp-content/uploads/2026/07/f2d58211-fe57-465f-aeff-feb577a21bb3.jpg,Mexico,,,,,Sale,1,ATMOBA ECOSISTEMA INMOBILIARIA,https://atmoba.com/properties/casa-en-venta-en-bakeira-condado-del-valle-29-056-cvme-cva/,Mexico City
Ab real estate,https://www.realestateab.com.mx/,EasyBroker,https://www.realestateab.com.mx/property/departamento-en-renta-armorada-benito-juarez-norte,"DEPARTAMENTO EN RENTA ARMORADA, BENITO JUAREZ NORTE",Condo/Apartment,25000,USD,3,3,142.58,m2,"Vive en una zona exclusiva, sobre BENITO JUAREZ NORTE. Avenida céntrica, en una de las mejores ubicaciones de MÉRIDA, YUCATÁN. Con acceso a un amplio número de plazas comerciales, restaurantes, esc...",https://assets.easybroker.com/property_images/4815387/81628854/EB-RM5387.jpeg?height=300&version=1729720696&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Ab real estate,https://www.realestateab.com.mx/property/departamento-en-renta-armorada-benito-juarez-norte,Tulum; Mexico City; Other Riviera Maya
Adoquin Inmobiliaria,https://www.adoquininmobiliaria.com/,Tokko Broker,https://www.adoquininmobiliaria.com/p/7990306-Casa-en-Venta-en-Fraccionamiento-Santa-Fe-del-Carmen-Santa-Fe-Playa-del-Carmen-1,Casa en Venta en Fraccionamiento Santa Fe del Carmen - Santa Fe Playa del Carmen 1,Land/Lot,3550000,MXN,3,3,90,m2,"Casa en venta en Santa Fe, Playa del Carmen, ideal para familias o inversión. Propiedad funcional y bien distribuida, con espacios amplios y excelente iluminación natural. Cuenta con 3 recámaras (una en planta baja), todas con clóset, lo que la hace muy cómoda para quienes buscan practicidad y accesibilidad. En planta baja encontrarás sala, comedor y cocina integral con barra desayunadora, además de un medio baño. En la parte trasera, un amplio patio perfecto para adaptar jardín, área social o expansión. La propiedad incluye: 3 recámaras 1.5 baños 1 cajón de estacionamiento 120.96 m² de constr",https://static.tokkobroker.com/sm_pics/122254628_og.jpg,Mexico,Quintana Roo,Tulum,,,Sale,1,Adoquin Inmobiliaria,https://www.adoquininmobiliaria.com/p/7990306-Casa-en-Venta-en-Fraccionamiento-Santa-Fe-del-Carmen-Santa-Fe-Playa-del-Carmen-1,Playa del Carmen; Tulum; Mexico City; Other Riviera Maya
Alur bienes raices,https://www.alurrealestate.mx/,EasyBroker,https://www.alurrealestate.mx/property/venta-de-terrenos-comerciales-los-huertos,Venta de terrenos comerciales Condesa,Land/Lot,3400,USD,2,2,816.3,m2,Venta de terrenos comerciales,https://assets.easybroker.com/property_images/5931741/104463542/EB-VU1741.png?height=300&version=1776210893&width=450; https://assets.easybroker.com/organization_files/45865/LOGO_ALUR__real_estate___7_.png,Mexico,Yucatán,Mérida,,,Sale,1,Alur bienes raices,https://www.alurrealestate.mx/property/venta-de-terrenos-comerciales-los-huertos,Mexico City
Alur bienes raices,https://www.alurrealestate.mx/,EasyBroker,https://www.alurrealestate.mx/property/terreno-industrial-en-venta-en-valle-condesa-juarez-n-l,"Terreno INDUSTRIAL en venta en Valle Condesa, Juarez, N.L.",Land/Lot,3502000,USD,2,2,1030,m2,"Terreno industrial en Valle Condesa, Macroproyecto en el Oriente de Nuevo León, se destaca por su urbanismo integral de uso mixto. Ofrece hasta 14 hectáreas con privacidad, ubicación estratégica y ...",https://assets.easybroker.com/property_images/5607123/97592842/EB-UN7123.jpg?height=300&version=1761352267&width=450; https://assets.easybroker.com/organization_files/45865/LOGO_ALUR__real_estate___7_.png,Mexico,Quintana Roo,Tulum,,,Sale,1,Alur bienes raices,https://www.alurrealestate.mx/property/terreno-industrial-en-venta-en-valle-condesa-juarez-n-l,Tulum; Mexico City; Other Riviera Maya
Alur bienes raices,https://www.alurrealestate.mx/,EasyBroker,https://www.alurrealestate.mx/property/departamentos-venta-en-pedregal-de-la-huasteca-santa-catarina-pedregal-de-la-huasteca,"Departamentos Venta en Pedregal de la Huasteca, Santa Catarina",Condo/Apartment,3992770,USD,2,2,83.28,m2,"Departamentos en VENTA en Santa Catarina en desarrollo de tres torres de departamentos y locales comerciales, ubicado en una zona de alta plusvalía en Santa Catarina, Nuevo León. Situado a menos de...",https://assets.easybroker.com/property_images/5444957/94260081/EB-TX4957.jpg?height=300&version=1755024818&width=450; https://assets.easybroker.com/organization_files/45865/LOGO_ALUR__real_estate___7_.png,Mexico,,,,,Sale,1,Alur bienes raices,https://www.alurrealestate.mx/property/departamentos-venta-en-pedregal-de-la-huasteca-santa-catarina-pedregal-de-la-huasteca,Mexico City
Alur bienes raices,https://www.alurrealestate.mx/,EasyBroker,https://www.alurrealestate.mx/property/departamentos-venta-en-pedregal-de-la-huasteca-santa-catarina,"Departamentos Venta en Pedregal de la Huasteca, Santa Catarina",Condo/Apartment,3367119,USD,2,2,66.39,m2,"Departamentos en VENTA en Santa Catarina en desarrollo de tres torres de departamentos y locales comerciales, ubicado en una zona de alta plusvalía en Santa Catarina, Nuevo León. Situado a menos de...",https://assets.easybroker.com/property_images/5444943/94259868/EB-TX4943.jpg?height=300&version=1755024642&width=450; https://assets.easybroker.com/organization_files/45865/LOGO_ALUR__real_estate___7_.png,Mexico,Quintana Roo,Tulum,,,Sale,1,Alur bienes raices,https://www.alurrealestate.mx/property/departamentos-venta-en-pedregal-de-la-huasteca-santa-catarina,Tulum; Mexico City; Other Riviera Maya
