Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/luxury-3-bedroom-penthouse-for-sale-in-playa-del-carmen-with-private-terraces-el-cielo/,Penthouse for Sale in Playa del Carmen Fully Furnished - Riviera Maya Realtor,Land/Lot,395000,USD,3,3,,,"Find a stunning penthouse for sale in Playa del Carmen with three bedrooms, ideal for those seeking privacy and elegance.",https://storage.googleapis.com/rivieramayarealtor/2025/10/Andrew-foto-Perfil-1761693869079.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/luxury-3-bedroom-penthouse-for-sale-in-playa-del-carmen-with-private-terraces-el-cielo/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/3-bedroom-hacienda-style-home-for-sale-in-el-cielo-playa-del-carmen/,Hacienda Style Home in Playa del Carmen for Sale - Riviera Maya Realtor,Land/Lot,449000,USD,3,3,,,"Discover your dream 3 bedroom Hacienda Style Home for Sale in El Cielo Playa del Carmen, featuring 3.5 baths and luxury living.",https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/3-bedroom-hacienda-style-home-for-sale-in-el-cielo-playa-del-carmen/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/3-bedroom-3-bathroom-house-for-sale-in-playa-del-carmen/,3 Bedroom 3 Bathroom House for Sale in Playa del Carmen - Riviera Maya Realtor,Land/Lot,3020480,MXN,3,3,,,Discover your dream home! This 3 Bedroom 3 Bathroom House for Sale in Playa del Carmen is perfect for families and investors.,https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/3-bedroom-3-bathroom-house-for-sale-in-playa-del-carmen/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/modern-3-bedroom-2-5-bathroom-house-for-sale-in-playa-del-carmen/,3 Bedroom 2.5 Bathroom House for Sale in Playa del Carmen - Riviera Maya Realtor,Land/Lot,3700000,MXN,3,2.5,,,Discover this stunning 3 Bedroom 2.5 Bathroom House for sale in Playa del Carmen. Perfect for families seeking modern living.,https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/modern-3-bedroom-2-5-bathroom-house-for-sale-in-playa-del-carmen/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/3-bedroom-2-bath-condo-for-sale-in-playa-del-carmen-immediate-delivery/,3 Bedroom 2 Bath Condo for Sale in Playa del Carmen - Riviera Maya Realtor,Land/Lot,2420000,MXN,3,2,101,m2,Invest in a beautiful 3 bedroom 2 bath condo for sale in Playa del Carmen. Enjoy resort-style amenities and tranquility.,https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/3-bedroom-2-bath-condo-for-sale-in-playa-del-carmen-immediate-delivery/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/lot-for-sale-in-senderos-mayakoba-playa-del-carmen/,Lot for sale in Senderos Mayakoba Playa del Carmen - Riviera Maya Realtor,Land/Lot,2200000,MXN,4,,301.46,m2,"Discover this prime Lot for sale in Senderos Mayakoba Playa del Carmen, an ideal investment for your dream home or project.",https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/lot-for-sale-in-senderos-mayakoba-playa-del-carmen/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/hacienda-style-2-bed-2-bath-condo-for-sale-in-el-cielo-gated-community-playa-del-carmen/,Hacienda style 2 bed 2 bath condo for sale in El Cielo gated community Playa del Carmen - Riviera Maya Realtor,Land/Lot,249999,USD,2,2,,,"Discover a stunning Hacienda style condo for sale in El Cielo, Playa del Carmen. Enjoy 2 beds, 2 baths, and luxury living!",https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/hacienda-style-2-bed-2-bath-condo-for-sale-in-el-cielo-gated-community-playa-del-carmen/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/3-bedroom-3-5-bath-house-for-sale-in-a-gated-community-in-playa-del-carmen/,3 bedroom 3.5 bath house for sale in a gated community in Playa del Carmen - Riviera Maya Realtor,Land/Lot,7259547,MXN,3,3.5,,,"Discover this stunning 3 bedroom 3.5 bath house for sale in Playa del Carmen, located in a secure gated community.",https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/3-bedroom-3-5-bath-house-for-sale-in-a-gated-community-in-playa-del-carmen/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/3-bedrooms-3-bath-house-for-sale-in-ciudad-mayakoba-playa-del-carmen/,3 Bedrooms 3 Bath House for Sale in Senderos de Mayakoba - Riviera Maya Realtor,Land/Lot,8500000,MXN,3,3,,,Discover this stunning 3 bedrooms 3 bath house for sale in Ciudad Mayakoba Playa del Carmen. Perfect for your dream home!,https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/3-bedrooms-3-bath-house-for-sale-in-ciudad-mayakoba-playa-del-carmen/,Playa del Carmen; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/1-bed-1-bath-condo-for-sale-in-downtown-playa-del-carmen/,1 bed 1 bath condo for sale in Downtown Playa del Carmen - Riviera Maya Realtor,Land/Lot,4000000,MXN,1,1,,,Discover a charming 1 bed 1 bath condo for sale in Downtown Playa del Carmen. Perfect for your next investment or vacation home!,https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/1-bed-1-bath-condo-for-sale-in-downtown-playa-del-carmen/,Playa del Carmen; Tulum; Other Riviera Maya
