Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/casa-cangrejo-oceanside-home-in-beachfront-community,Casa Cangrejo Oceanside Home in Beachfront Community,Land/Lot,7300000,USD,2,2,150,m2,Casa Cangrejo is situated between Puerto Escondido and Costa Chica (Mazunte - Zipolite - Puerto Ángel) with a 30-40 minute drive in either direction. The house is nearly beachfront and boasts an im...,https://assets.easybroker.com/property_images/5769046/101061922/EB-VD9046.jpg?height=300&version=1769476844&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/casa-cangrejo-oceanside-home-in-beachfront-community,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/oceanview-condo-in-puerto-escondido-hills-with-private-pool-and-2-bedrooms,Oceanview Condo in Puerto Escondido Hills with Private Pool and 2 Bedrooms,Condo/Apartment,3700000,USD,2,2,89,m2,Excellent opportunity to own a two bedroom condo with ocean views in a small boutique building in Emiliano Zapata located in the Puerto Escondido Hills overlooking the sea. There are only 3 units a...,https://assets.easybroker.com/property_images/5907950/103979248/EB-VR7950.jpeg?height=300&version=1775160751&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/oceanview-condo-in-puerto-escondido-hills-with-private-pool-and-2-bedrooms,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/puerto-escondido-penthouse-with-oceanviews-steps-from-la-barra-beach,Puerto Escondido Penthouse with Oceanviews Steps from La Barra Beach,Penthouse,6052500,USD,2,2,51,m2,"Boutique residence a 5-minute walk to Puerto Escondido’s La Barra beach and luxury restaurant and hotel Casona Sforza. Designed to combine comfort, local materials and energy efficiency. This is a ...",https://assets.easybroker.com/property_images/5902388/103855666/EB-VR2388.png?height=300&version=1774969979&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/puerto-escondido-penthouse-with-oceanviews-steps-from-la-barra-beach,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/puerto-escondido-townhouse-with-lofted-bedroom-sunken-living-room-and-private-p,"Puerto Escondido Townhouse with Lofted Bedroom, Sunken Living Room and Private P",Condo/Apartment,2668700,USD,1,1,51,m2,"Boutique residence a 5-minute walk to Puerto Escondido’s La Barra beach and luxury restaurant and hotel Casona Sforza. Designed to combine comfort, local materials and energy efficiency. This is a ...",https://assets.easybroker.com/property_images/5901216/103842162/EB-VR1216.jpg?height=300&version=1774969892&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/puerto-escondido-townhouse-with-lofted-bedroom-sunken-living-room-and-private-p,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/puerto-escondido-designer-beachfront-home,Puerto Escondido Designer Beachfront Home,Land/Lot,15000000,USD,3,3,205,m2,"Introducing a revolutionary coastal residential project in the heart of Puerto Escondido. Designed by a renowned architecture firm this project consists of four private homes on a 1,125 M2 beachfro...",https://assets.easybroker.com/property_images/5802513/101754164/EB-VH2513.jpg?height=300&version=1770820630&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/puerto-escondido-designer-beachfront-home,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/exclusive-oceanfront-penthouse-with-expansive-terrace-in-premier-puerto-angel,Exclusive Oceanfront Penthouse with Expansive Terrace in Premier Puerto Angel,Penthouse,379000,USD,2,2,137,m2,"Ascend to the pinnacle of luxury at Viewpoint Puerto Angel. This top-floor, 2-bedroom, 2-bathroom penthouse is not just a condo; it is a private sanctuary boasting the most commanding views in the ...",https://assets.easybroker.com/property_images/5708054/99763594/EB-UX8054.png?height=300&version=1766160502&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/exclusive-oceanfront-penthouse-with-expansive-terrace-in-premier-puerto-angel,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/panoramic-oceanfront-2-bed-with-270-degree-views-in-puerto-angel,Panoramic Oceanfront 2-Bed with 270-Degree Views in Puerto Angel,Condo/Apartment,368000,USD,2,2,119.01,m2,"Experience the essence of coastal living in this exceptional 1,281-square-foot, 2-bedroom, 2-bathroom condo at the coveted Viewpoint complex in Puerto Angel, Oaxaca. Positioned on a private rocky p...",https://assets.easybroker.com/property_images/5708015/99762476/EB-UX8015.jpg?height=300&version=1766158286&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/panoramic-oceanfront-2-bed-with-270-degree-views-in-puerto-angel,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/la-punta-oceanview-penthouse-in-puerto-escondido,La Punta Oceanview Penthouse in Puerto Escondido,Penthouse,5500000,USD,2,2,100,m2,"Panoramic Penthouse with Circular Architecture, Puerto Escondido Ascend to the pinnacle of luxury and design in this stunning penthouse residence, This top-floor unit showcases the full expression ...",https://assets.easybroker.com/property_images/5662099/98806348/EB-UT2099.jpg?height=300&version=1764002204&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/la-punta-oceanview-penthouse-in-puerto-escondido,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/curved-architecture-and-ocean-views-in-la-punta-puerto-escondido,Curved Architecture and Ocean Views in La Punta Puerto Escondido,Condo/Apartment,5200000,USD,2,2,100,m2,Experience exceptional value and visionary design in this second-floor luxury apartment. This residence is part of a unique development featuring organic curved volumes that provide panoramic ocean...,https://assets.easybroker.com/property_images/5662077/98805949/EB-UT2077.jpg?height=300&version=1764001886&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/curved-architecture-and-ocean-views-in-la-punta-puerto-escondido,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/la-punta-puerto-escondido-garden-house-with-private-garden,La Punta Puerto Escondido Garden House with Private Garden,Condo/Apartment,5700000,USD,2,2,100,m2,"Architectural Gem with Circular Design, Ground Floor Apartment with Private Garden in Puerto Escondido This ground floor residence is part of an exclusive collection defined by its stunning organic...",https://assets.easybroker.com/property_images/5662047/98805602/EB-UT2047.jpg?height=300&version=1764001497&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/la-punta-puerto-escondido-garden-house-with-private-garden,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/playa-manzanillo-oceanview-1-bedroom-in-puerto-escondido,Playa Manzanillo Oceanview 1 Bedroom In Puerto Escondido,Land/Lot,4538300,USD,1,1,69.82,m2,"Oceanview Condos with Private Pool steps from Playa Manzanillo 9 Unit boutique building Ocean views from middle, top floor, and rooftop Low HOA fees Price List (pesos MXN) Ground Floor: 2 bed corne...",https://assets.easybroker.com/property_images/5640271/98338179/EB-UR0271.jpg?height=300&version=1762892357&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/playa-manzanillo-oceanview-1-bedroom-in-puerto-escondido,Tulum; Other Riviera Maya; Puerto Escondido
Philip Glen,https://www.philipglen.com/,EasyBroker,https://www.philipglen.com/property/puerto-escondido-2-bedroom-with-oceanview-pool,Puerto Escondido 2 Bedroom with Oceanview Pool,Condo/Apartment,5400000,USD,2,2,110,m2,"Discover Casa Naliuu: an exclusive collection of 12 private residences, where sophisticated design meets the raw beauty of the Oaxacan coast. Unit 7 is a two bedroom two bathroom apartment with a p...",https://assets.easybroker.com/property_images/5640168/98335976/EB-UR0168.png?height=300&version=1762890386&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Philip Glen,https://www.philipglen.com/property/puerto-escondido-2-bedroom-with-oceanview-pool,Tulum; Other Riviera Maya; Puerto Escondido
