Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/beachfront-3-bedroom-condo-for-sale-in-puerto-morelos/,Beachfront 3 bedroom condo for sale in Puerto Morelos - Riviera Maya Realtor,Land/Lot,20131855,MXN,3,3,,,Discover the perfect Beachfront 3 bedroom condo for sale in Puerto Morelos. Enjoy luxury living by the sea today!,https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/beachfront-3-bedroom-condo-for-sale-in-puerto-morelos/,Puerto Morelos; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/2-bedroom-2-bath-condo-for-sale-in-puerto-morelos/,2 Bedroom 2 Bath condo for sale in Puerto Morelos - Riviera Maya Realtor,Land/Lot,2985000,MXN,2,2,,,"Discover the perfect 2 Bedroom 2 Bath condo for sale in Puerto Morelos. Enjoy beach access, vibrant culture, and modern amenities.",https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/2-bedroom-2-bath-condo-for-sale-in-puerto-morelos/,Puerto Morelos; Tulum; Other Riviera Maya
ASAEL ALEX,https://rivieramayarealtor.com/,,https://rivieramayarealtor.com/real-estate/stunning-beachfront-villa-for-sale-near-puerto-morelos/,Stunning Beachfront Villa for Sale near Puerto Morelos - Riviera Maya Realtor,Land/Lot,3599000,USD,,5,,,"Discover this Stunning Beachfront Villa for sale near Puerto Morelos. 5 beds, 5.5 baths, recently reduced for you!",https://storage.googleapis.com/rivieramayarealtor/2024/07/Asael.jpg.webp,Mexico,Quintana Roo,Tulum,,,Sale,1,ASAEL ALEX,https://rivieramayarealtor.com/real-estate/stunning-beachfront-villa-for-sale-near-puerto-morelos/,Puerto Morelos; Tulum; Other Riviera Maya
Ab real estate,https://www.realestateab.com.mx/,EasyBroker,https://www.realestateab.com.mx/property/lotes-en-venta-en-privada-residencial-tenerife-puerto-morelos,LOTES EN VENTA EN PRIVADA RESIDENCIAL TENERIFE PUERTO MORELOS.,Land/Lot,1231230,USD,1,1,300.3,m2,"TENERIFE PRIVADA RESIDENCIAL Desarrollo de terrenos residenciales y comerciales en Puerto Morelos, Quintana Roo. PUERTO MORELOS Es conocido como el nuevo destino del Caribe Mexicano en pleno crecim...",https://assets.easybroker.com/property_images/4926241/83951328/EB-RX6241.jpg?height=300&version=1734806236&width=450,Mexico,Quintana Roo,Tulum,,,Sale,1,Ab real estate,https://www.realestateab.com.mx/property/lotes-en-venta-en-privada-residencial-tenerife-puerto-morelos,Puerto Morelos; Tulum; Other Riviera Maya
Asesora Inmobiliaria Blanca Magdaleno,https://www.tu-nuevo-hogar.com.mx/,Tokko Broker,"https://www.tu-nuevo-hogar.com.mx/p/6302909-Terreno-en-Venta-en-Puerto-Morelos-SE-VENDEN-TERRENOS-RESIDENCIALES-EN-PUERTO-MORELOS,-QUINTANA-ROO",Terreno en Venta en Puerto Morelos - Puerto Morelos,Land/Lot,960000,MXN,,,200,m2,"Desarrollo de terrenos residenciales y comerciales en Puerto Morelos, Quintana Roo. Macroproyecto de 77 hectáreas urbanizadas con energía eléctrica, calles y avenidas pavimentadas, alumbrado público, red agua potable, drenaje pluvial y sanitario Cuenta con privadas residenciales, amplias avenidas y dos espacios para comercios ancla. Gran avenida comercial “Gran Vía del Mar” de 35 metros de ancho con dos carriles por lado, camellón, andador y ciclovía. Régimen de condominio maestro con sub-régimenes por cada una de las privadas residenciales. Ubicado en la zona residencial campestre norte en Pu",https://static.tokkobroker.com/sm_pics/85064289_og.jpg,Mexico,Quintana Roo,Tulum,,,Sale,2,Asesora Inmobiliaria Blanca Magdaleno; Ohana Real Estate,"https://www.ohanarealestate.com.mx/p/6284649-Terreno-en-Venta-en-Puerto-Ju%C3%A1rez-Cancun-; https://www.tu-nuevo-hogar.com.mx/p/6302909-Terreno-en-Venta-en-Puerto-Morelos-SE-VENDEN-TERRENOS-RESIDENCIALES-EN-PUERTO-MORELOS,-QUINTANA-ROO",Puerto Morelos; Tulum; Other Riviera Maya
B&A Caribbean Real Estate,https://www.bnacaribbeanrealestate.com/,Tokko Broker,https://www.bnacaribbeanrealestate.com/p/8030737-Terreno-en-Venta-en-Puerto-Morelos-Terreno-tur%C3%ADstico-ecol%C3%B3gico-frente-al-mar-en-Puerto-Morelos,Terreno en Venta en Puerto Morelos - Terreno turístico ecológico frente al mar en Puerto Morelos,Land/Lot,13600000,MXN,,,800,m2,"3 LOTES TURISTICOS CON FRENTE DE PLAYA $13,600,000 MXN / CADA UNO UBICACIÓN DEL PREDIO:SM-4 MZA-7 LOTES 3,4 Y 5PUERTO MORELOS, QUINTANA ROO. MEDIDAS Y COLINDANCIAS:NORESTE: 40.00 CON LOTE 2SURESTE: 57.50 CON ZONA FEDERAL MARITIMO TERRESTRENOROESTE: 57.50.00 CON CALLE SIN NOMBRESUROESTE: 40.00 CON LOTE 6SUPERFICIE TOTAL 2,389.12 M2 USO DEL SUELO:TE TURISTICO ECOLOGICO.COS 0.5 CUS 1.13 VAT (VECES AREA DEL TERRENO)DENSIDAD: 1 CABAÑA X 100 M2, 1 VIVIENDA X 200 M2TOTAL 23 CUARTOS O 12 VIVIENDAS ALTURA MAXIMA 3NIVELES CON ENTREPISOS DE 3.50 M BNA Caribbean Real Estate Tu puerta al paraíso.",https://static.tokkobroker.com/sm_pics/8030737_60047123770638485516335164652709656276723812216979559813108316083082033384472_og.jpg,Mexico,Quintana Roo,Puerto Morelos,,,Sale,1,B&A Caribbean Real Estate,https://www.bnacaribbeanrealestate.com/p/8030737-Terreno-en-Venta-en-Puerto-Morelos-Terreno-tur%C3%ADstico-ecol%C3%B3gico-frente-al-mar-en-Puerto-Morelos,Puerto Morelos; Other Riviera Maya
B&A Caribbean Real Estate,https://www.bnacaribbeanrealestate.com/,Tokko Broker,https://www.bnacaribbeanrealestate.com/p/8492166-Terreno-en-Venta-en-Puerto-Morelos-PASEO-AURINKO--ALDEA-KING,Terreno en Venta en Puerto Morelos - PASEO AURINKO  ALDEA KING,Land/Lot,950000,MXN,,,160,m2,"Terreno en Venta en Aldea Kiin, Puerto Morelos Invierte en tu futuro en el Caribe Mexicano. Excelente terreno de 160m² en el exclusivo desarrollo Aldea Kiin, Puerto Morelos. Con uso de suelo residencial, ubicación estratégica a solo 90 metros del ingreso principal ya escasos minutos del mar. El espacio perfecto para inversionistas, familias o parejas jóvenes que buscan construir la casa de sus sueños o un proyecto con alta plusvalía en la Riviera Maya . Características Principales: Tipo de Propiedad: Terreno / Lote residencialSuperficie: 160 metros cuadrados Uso de suelo: Unifamiliar (listo pa",https://static.tokkobroker.com/sm_pics/8492166_48201336144655348522983523368688402247413492589695010807223324477866826321576_og.jpg,Mexico,Quintana Roo,Puerto Morelos,,,Sale,2,B&A Caribbean Real Estate,https://www.bnacaribbeanrealestate.com/p/8487158-Terreno-en-Venta-en-Puerto-Morelos-PASEO-AURINKO-10--ALDEA-KING; https://www.bnacaribbeanrealestate.com/p/8492166-Terreno-en-Venta-en-Puerto-Morelos-PASEO-AURINKO--ALDEA-KING,Puerto Morelos; Other Riviera Maya
BUSTAMANTE GROUP REAL ESTATE,https://www.bustamantegrouprealestate.com/,Tokko Broker,https://www.bustamantegrouprealestate.com/p/8055545-Terreno-en-Venta-en-Puerto-Morelos-Terreno-en-Venta-en-Puerto-Morelo-Aldea-UMM,Terreno en Venta en Puerto Morelos - Terreno en Venta en Puerto Morelo Aldea UMM,Land/Lot,890000,MXN,,,160,m2,"Ubicado en Aldea Umm, Puerto Morelos, Quintana Roo, este terreno se encuentra dentro de una zona residencial de crecimiento y plusvalía en el corredor Cancún–Tulum, una de las áreas con mayor desarrollo inmobiliario de la Riviera Maya. Su estratégica ubicación permite una conexión aproximada de 15 minutos al Aeropuerto Internacional de Cancún, 23 minutos a Cancún y 20 minutos a Playa del Carmen, además de encontrarse rodeado de desarrollos residenciales, áreas naturales y servicios en expansión. El entorno combina privacidad, naturaleza y conectividad, convirtiéndose en una excelente opción pa",https://static.tokkobroker.com/sm_pics/8055545_84932246656834092472379950401647133180164886943792152954319740641521924981180_og.jpg,Mexico,Quintana Roo,Tulum,,,Sale,1,BUSTAMANTE GROUP REAL ESTATE,https://www.bustamantegrouprealestate.com/p/8055545-Terreno-en-Venta-en-Puerto-Morelos-Terreno-en-Venta-en-Puerto-Morelo-Aldea-UMM,Cancun; Playa del Carmen; Puerto Morelos; Tulum; Other Riviera Maya
BUSTAMANTE GROUP REAL ESTATE,https://www.bustamantegrouprealestate.com/,Tokko Broker,https://www.bustamantegrouprealestate.com/p/7848405-Terreno-en-Venta-en-Puerto-Morelos-Terreno-en-Venta-en-Puerto-Morelos-en-Aldea-Ha,Terreno en Venta en Puerto Morelos - Terreno en Venta en Puerto Morelos en Aldea Ha,Land/Lot,900000,MXN,4,4,163,m2,"Ubicación: Ubicado en el exclusivo fraccionamiento Aldea Ha, en Puerto Morelos, Quintana Roo. Situado estratégicamente entre Cancún y Playa del Carmen, a pocos minutos de las playas y con fácil acceso a la carretera federal y al Aeropuerto Internacional de Cancún. - - DETALLES DE LA PROPIEDAD: Dos terrenos disponibles con superficies de 163.65 m² y 165.38 m², con un precio de $900,000 MXN cada uno. Ambos están listos para construir e incluyen, sin costo extra, un proyecto arquitectónico de 270 m² de construcción en tres niveles. El proyecto contempla 4 habitaciones, 4 baños completos, alberca,",https://static.tokkobroker.com/pictures/7848405_108623817426545380345452512547666668939187773797990316229196454094577959640585.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,BUSTAMANTE GROUP REAL ESTATE,https://www.bustamantegrouprealestate.com/p/7848405-Terreno-en-Venta-en-Puerto-Morelos-Terreno-en-Venta-en-Puerto-Morelos-en-Aldea-Ha,Cancun; Playa del Carmen; Puerto Morelos; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/terreno-en-venta-con-frente-de-playa-en-puerto-morelos-kc0241/,Terreno en Venta con Frente de Playa en Puerto Morelos | KC0241 - Cantú Real Estate,Land/Lot,2623068.00,USD,0,0,3747.24,m2,"Increíble Oportunidad de Inversión: Terreno Frente al Mar Caribe en la Riviera Maya Precio de Venta: $26,233,068 USD Ubicación de Ensueño: Este terreno de 3,747.24 m² se encuentra en el exclusivo Fraccionamiento Residencial Bahía Petempich, Puerto Morelos, rodeado de hoteles de lujo y desarrollos turísticos. Características Únicas: 80 metros lineales frente al Mar Caribe con",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/terreno-en-venta-con-frente-de-playa-en-puerto-morelos-kc0241/,Playa del Carmen; Puerto Morelos; Other Riviera Maya
