Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/terreno-en-venta-en-puerto-vallarta-jalisco/,Terreno en Venta en Puerto Vallarta Jalisco - Cantú Real Estate,Land/Lot,6000000.00,USD,0,0,540,m2,"Terreno en venta en puerto vallarta jalisco Se encuentra en una de las zonas más privadas y tranquilas de la bahía. El predio colinda con el río palo María, rodeado de la vegetación selvática con flora y fauna únicas y es accesible a través de senderos y Terrazas a través del barranco hasta el río,",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/terreno-en-venta-en-puerto-vallarta-jalisco/,Playa del Carmen; Puerto Vallarta; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/edificio-comercial-en-puerto-vallarta-jalisco/,Edificio Comercial en Puerto Vallarta Jalisco - Cantú Real Estate,House,2500000000.00,USD,0,0,,,Venta de inmuebles en todo México,https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/edificio-comercial-en-puerto-vallarta-jalisco/,Playa del Carmen; Puerto Vallarta; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/terreno-en-venta-en-playa-novillero-nayarit-kc0200/,Terreno en Venta en Playa Novillero Nayarit | KC0200 - Cantú Real Estate,Land/Lot,13750000.00,USD,0,0,5500,m2,"Terreno Frente al Mar en Playa Novillero, Nayarit – 5,500 m² Disponibles para Tu Proyecto de Ensueño Precio: $2,500 MXN por m². Ubicación privilegiada: Playa Novillero, conocida por ser la playa más larga de México, ideal para proyectos exclusivos. Servicios básicos: Luz y agua disponibles para iniciar tu desarrollo sin complicaciones. Oportunidad única: Perfecto para",https://secure.gravatar.com/avatar/f0e41510d4d3f0ee9a3e24c416d4dd2c8cea4715bddf37ca642457319e01afa5?s=96&d=mm&r=g,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/terreno-en-venta-en-playa-novillero-nayarit-kc0200/,Playa del Carmen; Puerto Vallarta; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/hotel-en-venta-en-puerto-vallarta-2/,Hotel en Venta en Puerto Vallarta - Cantú Real Estate,Land/Lot,65000000.00,USD,225,0,9250,m2,"HOTEL FRENTE AL MAR EN VENTAPUERTO VALLARTA, ZONA HOTELERA Hotel frente al mar ubicado en la zona hotelera de Puerto Vallarta, frente a la Bahía de Banderas, dentro de uno de los corredores turísticos más consolidados del Pacífico mexicano. La zona se caracteriza por una alta afluencia turística nacional e internacional durante todo el año,",https://canturealestate.com.mx/wp-content/uploads/2026/03/7846629_109016554382013487411960011193507279618631276050562680725164543628506938781668.jpg,Mexico,Quintana Roo,Cancún,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/hotel-en-venta-en-puerto-vallarta-2/,Cancun; Puerto Vallarta; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/terreno-en-bahia-de-banderas/,Terreno en Bahía de Banderas - Cantú Real Estate,Land/Lot,1300000000.00,USD,0,0,2460000,m2,"Terreno en venta en Bahía de Banderas, Nayarit, MéxicoPrecioUSD $ 1,300,000,000.00Un Mil Trescientos Millones de Dólares Americanos Financiamiento propio desde el 25% de Engancheo Aportación al 75% Terreno Localizado en Bahía de Banderas Nayarit Localizado a solo 4.7 kms de la Cruz de Huanacaxtle Entre los Hoteles Arena Blanca y Marival Harmony https://maps.app.goo.g l/38zxyPXp8Qcd91XPA Superficie",https://canturealestate.com.mx/wp-content/uploads/2025/11/7560543_64138390846725878969777272051768339246332779611170534243649295368118811126724.jpg,Mexico,Quintana Roo,Playa del Carmen,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/terreno-en-bahia-de-banderas/,Playa del Carmen; Puerto Vallarta; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/hotel-en-venta-en-nuevo-vallarta/,Hotel en Venta en Nuevo Vallarta - Cantú Real Estate,House,28000000.00,USD,108,0,,,"HOTEL BUSINESS CLASS EN VENTANuevo Vallarta, Nayarit – México Hotel de categoría Business Class de 4 estrellas, ubicado estratégicamente sobre la Carretera Federal 200 en Nuevo Vallarta, uno de los destinos turísticos con mayor crecimiento en la Riviera Nayarit. La propiedad opera bajo una marca internacional de gran prestigio, lo que garantiza estándares globales de",https://canturealestate.com.mx/wp-content/uploads/2026/03/7846664_14509278615627197350493730320749828630992337501230292035728193118054788867606.jpg,Mexico,Quintana Roo,Cancún,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/hotel-en-venta-en-nuevo-vallarta/,Cancun; Puerto Vallarta; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/hotel-en-puerto-vallarta-2/,Hotel en Puerto Vallarta - Cantú Real Estate,Land/Lot,45000000.00,USD,86,0,390.58,m2,"HOTEL FRENTE AL MAR – PUERTO VALLARTAZona Romántica | Playa Los Muertos Descripción general Hotel frente al mar ubicado en una de las zonas turísticas más consolidadas de Puerto Vallarta, en la reconocida Zona Romántica y con acceso directo a Playa Los Muertos. La propiedad se encuentra en un entorno rodeado de restaurantes, galerías, comercios",https://canturealestate.com.mx/wp-content/uploads/2026/03/7846718_21811072145158871177123215922857674297528042750706580108699685885346650845149.jpg,Mexico,Quintana Roo,Cancún,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/hotel-en-puerto-vallarta-2/,Cancun; Puerto Vallarta; Other Riviera Maya
Cantu Real Estate,https://canturealestate.com.mx/,,https://canturealestate.com.mx/property/hotel-en-venta-en-puerto-vallarta/,Hotel en Venta en Puerto Vallarta - Cantú Real Estate,Land/Lot,66000000.00,USD,0,0,8000,m2,"Gran oportunidad Hotelero y Residencial de Alta Gama en Puerto Vallarta Exclusivo complejo que integra hospitalidad y residencias de lujo, concebido como un activo inmobiliario de alto valor dentro del segmento turístico y residencial premium.El desarrollo combina suites hoteleras, residencias privadas y una reserva estratégica de terreno que permite futuras expansiones, consolidando una oportunidad única",https://canturealestate.com.mx/wp-content/uploads/2026/03/7846585_96984704371788586969751536359212738151123589143634867698470106186316415868044.jpg,Mexico,Quintana Roo,Cancún,,,Sale,1,Cantu Real Estate,https://canturealestate.com.mx/property/hotel-en-venta-en-puerto-vallarta/,Cancun; Puerto Vallarta; Other Riviera Maya
G&V Bienes Raices,https://www.gvbienesraices.com/,Tokko Broker,"https://www.gvbienesraices.com/p/8597152-Terreno-en-Venta-en-Puerto-Morelos-Calle-Vallarta,-Privada-8","Terreno en Venta en Puerto Morelos - Calle Vallarta, Privada 8",Land/Lot,5000000,MXN,,,2200,m2,"Terreno en venta en Puerto Morelos 2,200 m² con construcción y doble acceso Terreno ubicado en la zona urbana de Puerto Morelos, ideal para desarrollar un proyecto habitacional, comercial o de inversión. Gracias a su amplio frente, construcción existente y dos accesos independientes, ofrece una excelente oportunidad en una de las zonas con mayor crecimiento de Quintana Roo. Precio:$5,000,000 MXN Medidas y tipología2,200 m² de terreno.Construcción existente de 200 m² (casa de un nivel). Características * Terreno de 2,200 m²* Casa de un nivel de 200 m²* Dos accesos independientes con portones* B",https://static.tokkobroker.com/sm_pics/8597152_43750063247184346502538919499118621377638619049404520208797243170317777845190_og.jpg,Mexico,Quintana Roo,Puerto Morelos,,,Sale,1,G&V Bienes Raices,"https://www.gvbienesraices.com/p/8597152-Terreno-en-Venta-en-Puerto-Morelos-Calle-Vallarta,-Privada-8",Puerto Morelos; Puerto Vallarta; Other Riviera Maya
INMUEBLES HAHN,https://www.inmuebleshahn.com.mx/,EasyBroker,https://www.inmuebleshahn.com.mx/property/san-jose-del-valle-nayarit-terreno-en-venta,San Jose Del Valle Nayarit Terreno En Venta,Land/Lot,34197000,USD,2,2,53432.81,m2,"ENTREGA INMEDIATA PREVA CITA TERRENO EN VENTA – SAN JOSÉ DEL VALLE, NAYARIT Excelente oportunidad de inversión en una de las zonas con mayor crecimiento en la región. Ubicación: San José del Valle,...",https://assets.easybroker.com/property_images/6107901/108201953/EB-WL7901.png?height=300&version=1783975537&width=450,Mexico,Yucatán,Mérida,,,Sale,1,INMUEBLES HAHN,https://www.inmuebleshahn.com.mx/property/san-jose-del-valle-nayarit-terreno-en-venta,Puerto Vallarta
