Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
We Book Realty,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/departamento-en-venta-en-paseo-de-la-reforma--juárez-cdmx-6a0d1cbbe51a0f90d31d1931,"Departamento en VENTA en Paseo de la Reforma, Juárez CDMX",Departamento,9954189,MXN,1,1,44.21,m2,"Desarrollo residencial de lujo en Paseo de la Reforma, CDMX. Ubicado en la colonia Juárez, este edificio ofrece una inigualable oportunidad de inversión y residencia. Equipado con amenidades de primera clase y ubicado cerca de puntos de interés importantes. Unidades disponibles para entrega inmediata y en preventa. Financiamiento disponible.",https://images.pulppo.com/property/6a0d1cbbe51a0f90d31d1931/picture_b494a9ff86074a6a937545a95b963f69.png; https://images.pulppo.com/property/6a0d1cbbe51a0f90d31d1931/picture_f566c7a896674e859fece9393b689463.png; https://images.pulppo.com/property/6a0d1cbbe51a0f90d31d1931/picture_b269c0ab179b4527968337d4623ca083.png; https://images.pulppo.com/property/6a0d1cbbe51a0f90d31d1931/picture_3f8e644a5f8249b08973267f31914c2a.png; https://images.pulppo.com/property/6a0d1cbbe51a0f90d31d1931/picture_3f9b3d8fea2f4f9eb78aceeb2c6707c8.png; https://images.pulppo.com/property/6a0d1cbbe51a0f90d31d1931/picture_6a3ac5f7764c42eeb4be223f4a88061b.png; https://images.pulppo.com/property/6a0d1cbbe51a0f90d31d1931/picture_32844ea938c44603a8b6c0023c3eb659.png; https://images.pulppo.com/property/6a0d1cbbe51a0f90d31d1931/picture_2d26760c6f5f429a82fb74232032a840.jpg,Mexico,Ciudad de México,Cuauhtémoc,19.4299711,-99.1581626,Sale
We Book Realty,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/departamento-en-venta-en-paseo-de-la-reforma--juárez-cdmx-6a0d066048913247df0ae004,"Departamento en VENTA en Paseo de la Reforma, Juárez CDMX",Departamento,14742531,MXN,1,1,69.03,m2,"Este desarrollo residencial es perfecto para inversionistas y clientes que buscan vivir en un lugar premium en una de las áreas más prestigiosas de la Ciudad de México. Con unidades disponibles para entrega inmediata y esquema de preventa en sus últimos pisos, la torre ya está en operación. El precio de venta es de $14,742,531.00 MXN con un área de construcción total de 69.03 m2.",https://images.pulppo.com/property/6a0d066048913247df0ae004/picture_3340562e3f2f48149ef297e5aaf2fb85.png; https://images.pulppo.com/property/6a0d066048913247df0ae004/picture_ed62b3331a264d6895136571c57e2750.png; https://images.pulppo.com/property/6a0d066048913247df0ae004/picture_a0213500c4ca4919a3823409c3534df9.png; https://images.pulppo.com/property/6a0d066048913247df0ae004/picture_fd8eb26480f1497798d007c5ca08d373.png; https://images.pulppo.com/property/6a0d066048913247df0ae004/picture_8c92fd639ca24c56a240aaef922e695f.png; https://images.pulppo.com/property/6a0d066048913247df0ae004/picture_423b2f3299fc41e9846731bc92e66da7.png; https://images.pulppo.com/property/6a0d066048913247df0ae004/picture_47b7b161176a4f89bf61e9ae0c5c8afe.png; https://images.pulppo.com/property/6a0d066048913247df0ae004/picture_7aa39613bceb45509e56c25a4316c45e.png,Mexico,Ciudad de México,Cuauhtémoc,19.4299711,-99.1581626,Sale
We Book Realty,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/departamento-en-venta-en-paseo-de-la-reforma--juárez-cdmx-6a0e2b936f22e95e95e07e4f,"Departamento en VENTA en Paseo de la Reforma, Juárez CDMX",Departamento,16294220,MXN,2,2,72.84,m2,"Invierte o vive en este exclusivo desarrollo residencial en Paseo de la Reforma, una ubicación privilegiada en la Ciudad de México. Con unidades disponibles para entrega inmediata y preventa en sus últimos pisos, esta torre ya en operación ofrece una alta rentabilidad y apreciación de capital. Con un área de construcción total de 72.84 m2, cada unidad cuenta con 2 recámaras, 2 baños y 1 cajón de estacionamiento. Además, ofrece una amplia gama de amenidades y servicios a la carta.",https://images.pulppo.com/property/6a0e2b936f22e95e95e07e4f/picture_f6d748f0c9474c678a50c3300a55f326.png; https://images.pulppo.com/property/6a0e2b936f22e95e95e07e4f/picture_492a49b2230c4d1ca562213ee96cf8d2.png; https://images.pulppo.com/property/6a0e2b936f22e95e95e07e4f/picture_ee5f400d964b43228333a2a3bb7429f9.png; https://images.pulppo.com/property/6a0e2b936f22e95e95e07e4f/picture_9accf64072004b76842e017a63765aa4.png; https://images.pulppo.com/property/6a0e2b936f22e95e95e07e4f/picture_5ed783a8fe8f4b3eb346975cc4b14e09.png; https://images.pulppo.com/property/6a0e2b936f22e95e95e07e4f/picture_a4400c2ed63649b2b430a62c877aa7b9.png; https://images.pulppo.com/property/6a0e2b936f22e95e95e07e4f/picture_d0653293e31b45ec9c6e67bb84d2b220.png; https://images.pulppo.com/property/6a0e2b936f22e95e95e07e4f/picture_a79469dd705447ab9125e3af83e0a189.png,Mexico,Ciudad de México,Cuauhtémoc,19.4299711,-99.1581626,Sale
We Book Realty,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/departamento-en-venta-en-paseo-de-la-reforma--juárez-cdmx-6a0e24f06f22e95e95dcdc2c,"Departamento en VENTA en Paseo de la Reforma, Juárez CDMX",Departamento,15137044,MXN,2,1,66.7,m2,"Departamento en venta en Juárez, Cuauhtémoc. 2 recámaras, 1 baños, 1 estacionamientos, 66 m². MXN 15,137,044. Invierte o vive en el desarrollo residencial…",https://images.pulppo.com/property/6a0e24f06f22e95e95dcdc2c/picture_e6411342278e4e108df83e5bde35a2be.png; https://images.pulppo.com/property/6a0e24f06f22e95e95dcdc2c/picture_94498cfca8d24f348e56e7f09519a9b9.png; https://images.pulppo.com/property/6a0e24f06f22e95e95dcdc2c/picture_c8a232909e8d430ca6b9b28f5350e57f.png; https://images.pulppo.com/property/6a0e24f06f22e95e95dcdc2c/picture_0f34a11d355a4ef6bd272afb06045e27.png; https://images.pulppo.com/property/6a0e24f06f22e95e95dcdc2c/picture_f3fe708c8ace46fbbf64e3c4606913d9.png; https://images.pulppo.com/property/6a0e24f06f22e95e95dcdc2c/picture_6853c0a8822f4c6db4000ef398df6c9e.png; https://images.pulppo.com/property/6a0e24f06f22e95e95dcdc2c/picture_733ce258379f45f582dea38803dc4386.png; https://images.pulppo.com/property/6a0e24f06f22e95e95dcdc2c/picture_a7c427ca814047ca9a166b46d5f1f733.png,Mexico,Ciudad de México,Cuauhtémoc,19.4299711,-99.1581626,Sale
We Book Realty,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/departamento-en-venta-en-paseo-de-la-reforma--juárez-cdmx-6a0f620c0b01c1411579d681,"Departamento en VENTA en Paseo de la Reforma, Juárez CDMX",Departamento,16832243,MXN,1,2,77.78,m2,"Este desarrollo residencial de lujo ofrece una oportunidad única para vivir o invertir en una de las zonas más prestigiosas de la Ciudad de México. Con unidades listas para entregar y un esquema de preventa para los últimos pisos, la torre ya está en operación. El precio de venta es de $16,832,243.00 MXN, y el edificio ofrece una serie de comodidades y beneficios para los residentes.",https://images.pulppo.com/property/6a0f620c0b01c1411579d681/picture_c99a1abc90284d64800a5f322b60e013.png; https://images.pulppo.com/property/6a0f620c0b01c1411579d681/picture_f71994eb9a7b4703aed30412df058a06.png; https://images.pulppo.com/property/6a0f620c0b01c1411579d681/picture_d66ff611f105434c8dbe4332a909ac55.png; https://images.pulppo.com/property/6a0f620c0b01c1411579d681/picture_35a85c33da5a431ca981502c19c8341e.png; https://images.pulppo.com/property/6a0f620c0b01c1411579d681/picture_38a33239d2ce436bb1cf06fcd1e9aa91.png; https://images.pulppo.com/property/6a0f620c0b01c1411579d681/picture_5dc2dd5f0a98405994473f4183ce2054.png; https://images.pulppo.com/property/6a0f620c0b01c1411579d681/picture_04869b64671d4e86b13670028e1568be.png; https://images.pulppo.com/property/6a0f620c0b01c1411579d681/picture_b590e3bb72d4495290233c4c2d19b9c0.png,Mexico,Ciudad de México,Cuauhtémoc,19.4299711,-99.1581626,Sale
Arpa - Arquitectura y Patrimonio,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/exclusiva-casa-en-venta--lomas-de-chapultepec-69f232b6de1e6fd9f5b0f43c,Exclusiva casa en venta  Lomas de Chapultepec,Casa,53000000,MXN,3,3,850,m2,"Casa en venta en Lomas de Chapultepec, Miguel Hidalgo. 3 recámaras, 3 baños, 5 estacionamientos, 850 m². MXN 53,000,000",https://images.pulppo.com/property/69f232b6de1e6fd9f5b0f43c/picture_da77d19081d943f4aa3f9a02ff2c4e9b.jpg; https://images.pulppo.com/property/69f232b6de1e6fd9f5b0f43c/picture_d2ee56c9a1f3439e962df4b00967dc24.jpg; https://images.pulppo.com/property/69f232b6de1e6fd9f5b0f43c/picture_0b38ce899c704b94ad6fc80e9da12095.jpg; https://images.pulppo.com/property/69f232b6de1e6fd9f5b0f43c/picture_f9089573dda14f1481915973bb60d3c3.jpg; https://images.pulppo.com/property/69f232b6de1e6fd9f5b0f43c/picture_730350d727b54ae48ebf9616ac0337ed.jpg; https://images.pulppo.com/property/69f232b6de1e6fd9f5b0f43c/picture_97b997671b3847d3ba44469a940b290f.jpg; https://images.pulppo.com/property/69f232b6de1e6fd9f5b0f43c/picture_60f6b2a55cb5454f8a195d2263dfcef2.jpg; https://images.pulppo.com/property/69f232b6de1e6fd9f5b0f43c/picture_9b6edd3beff04cd1affd8a2acbe29724.jpg,Mexico,Ciudad de México,Miguel Hidalgo,19.4182538,-99.21069329999999,Sale
Inmo24,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/venta-casa-en-san-jerónimo-a-5-min-periférico-6a5840202387a66895c82125,Venta casa en San Jerónimo a 5 min Periférico,Casa,9300000,MXN,4,3,330,m2,"Esta propiedad en San Jerónimo ofrece una vista arbolada y un jardín. Cuenta con espacios funcionales y una gran personalidad, situada en una calle cerrada y tranquila. Ofrece estacionamiento para dos autos y la posibilidad de estacionamiento adicional fuera de la casa.",https://images.pulppo.com/property/6a5840202387a66895c82125/picture_775cdd205ea84670b86c60f6136e8180.jpg; https://images.pulppo.com/property/6a5840202387a66895c82125/picture_719d1afade4442e09fb4b5217db5dbc2.jpg; https://images.pulppo.com/property/6a5840202387a66895c82125/picture_602a37bda2fd4718baa108ff2fc1dbb3.jpg; https://images.pulppo.com/property/6a5840202387a66895c82125/picture_4680f62f2b314ae6b3c1da87b49787e9.jpg; https://images.pulppo.com/property/6a5840202387a66895c82125/picture_d66872cb0ab4495583ba293664835f81.jpg; https://images.pulppo.com/property/6a5840202387a66895c82125/picture_b4c3f493b74441378dd1ffe94485eeb1.jpg; https://images.pulppo.com/property/6a5840202387a66895c82125/picture_b1defb498fbb493f80c85f9c287cd821.jpg; https://images.pulppo.com/property/6a5840202387a66895c82125/picture_44c2df53eacb414e9c9ca0d4d034f2e4.jpg,Mexico,Ciudad de México,La Magdalena Contreras,19.3249005,-99.2204229,Sale
Inmo24,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/oficina-en-venta-en-bosque-de-las-lomas-69efae7ede1e6fd9f5c12cce,Oficina en venta en Bosque de las Lomas,Oficina,39000000,MXN,,,1050,m2,"Oficina en venta en Bosque de las Lomas, Miguel Hidalgo. 32 estacionamientos, 1050 m². MXN 39,000,000. Se vende oficina en en el corazón de Bosque de las…",https://images.pulppo.com/property/69efae7ede1e6fd9f5c12cce/picture_d7ebebb54a124b849159793bda6add4b.png; https://images.pulppo.com/property/69efae7ede1e6fd9f5c12cce/picture_b22cf6a2106b4305a33ceba40e71ac6f.png; https://images.pulppo.com/property/69efae7ede1e6fd9f5c12cce/picture_6f52afacc7bf4a44875473bc68941ae4.png; https://images.pulppo.com/property/69efae7ede1e6fd9f5c12cce/picture_286a48e2ec194555a81131805457ec76.png; https://images.pulppo.com/property/69efae7ede1e6fd9f5c12cce/picture_6af2e35b2b5c4e7abfad201cb3435d21.png; https://images.pulppo.com/property/69efae7ede1e6fd9f5c12cce/picture_3d72e65838204da6b81f83a8bfd64e47.png; https://images.pulppo.com/property/69efae7ede1e6fd9f5c12cce/picture_2751a7d7a56d490e99c702a0cb46aa91.png; https://images.pulppo.com/property/69efae7ede1e6fd9f5c12cce/picture_c73a5fa3022b4374bf8a9730ade869c8.png,Mexico,Ciudad de México,Miguel Hidalgo,19.4038871,-99.24175199999999,Sale
Arpa - Arquitectura y Patrimonio,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/departamento-en-venta-colonia-del-valle-norte-69168167db005c0dc67db8a7,Departamento en Venta Colonia Del Valle Norte.,Departamento,9800000,MXN,3,3,228.71,m2,"Este amplio departamento en Del Valle Norte destaca por sus generosos espacios, excelente distribución y ubicación céntrica. Cuenta con tres recámaras, la principal con vestidor y baño completo, así como una estancia de sala y comedor iluminada con acceso a balcón. Dispone de tres baños completos, medio baño adicional, tres lugares de estacionamiento y una bodega de gran tamaño.",https://images.pulppo.com/property/69168167db005c0dc67db8a7/picture_64ca203fdc3743a7a3674893fcbca127.jpg; https://images.pulppo.com/property/69168167db005c0dc67db8a7/picture_6a91eabb8ed342bdbeb53911ea84062c.jpg; https://images.pulppo.com/property/69168167db005c0dc67db8a7/picture_2f82dc1092034214be8adb0eb4dcd04a.jpeg; https://images.pulppo.com/property/69168167db005c0dc67db8a7/picture_0ff6641a042a4c82beb5bf9522b699f6.jpg; https://images.pulppo.com/property/69168167db005c0dc67db8a7/picture_a60a6a85b77e4e57b5d12a8118a1b349.jpg; https://images.pulppo.com/property/69168167db005c0dc67db8a7/picture_dda32cc98eaf4b9cacb5d69b93ee0d53.jpg; https://images.pulppo.com/property/69168167db005c0dc67db8a7/picture_363210c70c8c48a898f3deacd62ffaea.jpg; https://images.pulppo.com/property/69168167db005c0dc67db8a7/picture_a342888ee7ce49fe8f02e0050f7ce638.jpg,Mexico,Ciudad de México,Benito Juárez,19.3965658,-99.1648175,Sale
Casa 7 Real Estate,https://pulppo.com,Pulppo (native API),https://pulppo.com/propiedades/exclusiva-casa-en-venta-parque-del-pedregal-69992700a524ac971a0bc696,Exclusiva Casa en Venta Parque del Pedregal ,Casa,60000000,MXN,4,5,987.3,m2,"Casa en venta en Parque del Pedregal, Tlalpan. 4 recámaras, 5 baños, 8 estacionamientos, 887 m². MXN 60,000,000",https://images.pulppo.com/property/69992700a524ac971a0bc696/picture_023654ccee4c448ab2b77d969a5638c2.jpg; https://images.pulppo.com/property/69992700a524ac971a0bc696/picture_4a388c04f9fa48aebeb76295246bec4d.jpg; https://images.pulppo.com/property/69992700a524ac971a0bc696/picture_d4199628a4164856b50ed002c53344c3.jpeg; https://images.pulppo.com/property/69992700a524ac971a0bc696/picture_95c1b21b888347b5bd791b480532485a.jpeg; https://images.pulppo.com/property/69992700a524ac971a0bc696/picture_70dde57dc4d14d108a47b76f7a023161.jpg; https://images.pulppo.com/property/69992700a524ac971a0bc696/picture_3d6495c4446e46e2931334e6737e5d75.jpeg; https://images.pulppo.com/property/69992700a524ac971a0bc696/picture_992d98f34ccd445e814fd243b03c3626.jpeg; https://images.pulppo.com/property/69992700a524ac971a0bc696/picture_8422ee71acc64612b8cf62ba84b9cbdb.jpeg,Mexico,Ciudad de México,Tlalpan,19.2990058,-99.1933079,Sale
