Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBV686518-9,Bodega - Comercial en El Mirador,Bodega - Comercial,30567000.0,MXN,,2,885.0,m2,,https://cdn.remax.com.mx/properties/686518/f72fe5de5e73946b8ed96e5c345347b3.jpg; https://cdn.remax.com.mx/properties/686518/0df8ed1a38dddebaeebadfe58aa01486.jpeg; https://cdn.remax.com.mx/properties/686518/91e498337d74a6b7f2b49db12d43c6c3.jpeg; https://cdn.remax.com.mx/properties/686518/64e816090ed6fc7113200a62e08bccb1.jpg; https://cdn.remax.com.mx/properties/686518/a3bb145e84903edd54b2b88a031ccfb8.jpg; https://cdn.remax.com.mx/properties/686518/279f5ebf28516381ad8526c2e1b735c3.jpg; https://cdn.remax.com.mx/properties/686518/0e5a659c6a6e39f6c0144f81b22612db.jpg; https://cdn.remax.com.mx/properties/686518/33fc6b92ca318ce1ae73fabf616f642a.jpg,Mexico,Ciudad de México,Ciudad de México,,,Sale
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBV686072-7,Bodega - Comercial en Centro (Área 1),Bodega - Comercial,3999000.0,MXN,,1,121.0,m2,,https://cdn.remax.com.mx/properties/686072/4b81cbe4eae3dea911f072efd739d365.jpg; https://cdn.remax.com.mx/properties/686072/fe37017e25e35f74cec9c4fadc172fd0.jpg; https://cdn.remax.com.mx/properties/686072/8bb3e8b53c1e9de11721c18a4404a4f4.jpg; https://cdn.remax.com.mx/properties/686072/35e2ec348c8ec6421f59b8bc9c0572d6.jpeg; https://cdn.remax.com.mx/properties/686072/f6dcfa093b6d33afccab37f97855bf2f.jpeg,Mexico,Ciudad de México,Ciudad de México,,,Sale
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBR685909-36,Bodega - Comercial en Agrícola Pantitlán,Bodega - Comercial,180.0,MXN,,3,2502.0,m2,,https://cdn.remax.com.mx/properties/685909/13b74d6511927a23e9b1f91ea32a8f76.jpg; https://cdn.remax.com.mx/properties/685909/e8d16b134cac7c2feb35e49e9e00c9e4.jpg; https://cdn.remax.com.mx/properties/685909/b47ceb2c96b02bfd6f36e45736bb9162.jpg; https://cdn.remax.com.mx/properties/685909/7764c1ce2048823ab9abc832e11930b8.jpg; https://cdn.remax.com.mx/properties/685909/54ed0c380d5fa269ed52361617722bf2.jpg; https://cdn.remax.com.mx/properties/685909/a18e27352fd5858a995776d4b3638817.jpg; https://cdn.remax.com.mx/properties/685909/43944f13c77528000d538725c0d9ea82.jpg; https://cdn.remax.com.mx/properties/685909/7b83e617b2c4e8ef46b5332db9937f7b.jpg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBR685759-387,Bodega - Comercial en Granjas México,Bodega - Comercial,24000.0,MXN,,1,120.0,m2,,https://cdn.remax.com.mx/properties/685759/d59a6de7c7f6fa129245afb5112eed77.jpeg; https://cdn.remax.com.mx/properties/685759/75086fa8f4480a778ded4afcc8ebd3fc.jpeg; https://cdn.remax.com.mx/properties/685759/d1ecaa0f5b90ab6dac66779149d019f8.jpg; https://cdn.remax.com.mx/properties/685759/3d06996902d84ec03754e1c7a448cf77.jpg; https://cdn.remax.com.mx/properties/685759/b4ff9ed0bb9da375ac8382730eb9818f.jpeg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBR685760-387,Bodega - Comercial en Granjas México,Bodega - Comercial,19000.0,MXN,,1,95.0,m2,,https://cdn.remax.com.mx/properties/685760/820d909b33c125fec29ecd2ddc95b48e.jpeg; https://cdn.remax.com.mx/properties/685760/e5571712c9231fd2ac6cf45fb7b7d93c.jpg; https://cdn.remax.com.mx/properties/685760/29fdf5c2f85a0ed6f69652c4953ef15b.jpeg; https://cdn.remax.com.mx/properties/685760/a8ca25df51b2b919215a10c62ef0e91f.jpeg; https://cdn.remax.com.mx/properties/685760/8c7fd514efc050712ddb07e18e67f1b1.jpg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBV684297-36,Bodega - Comercial en Agrícola Pantitlán,Bodega - Comercial,45300000.0,MXN,0,3,,,,https://cdn.remax.com.mx/properties/684297/a2db972ffd5e323ff6b782411bb1c499.jpg; https://cdn.remax.com.mx/properties/684297/c6114a2b190e41ab5c0d083a14615457.jpg; https://cdn.remax.com.mx/properties/684297/126ed1eb7042db5b3127312967a837ad.jpg; https://cdn.remax.com.mx/properties/684297/34e15216c62704bc8cc5a84a0bdd2542.jpg; https://cdn.remax.com.mx/properties/684297/cb79e368eeb4774b0e805097cdd56989.jpg; https://cdn.remax.com.mx/properties/684297/1d3be7d320fc1a6510acce37977f0030.jpg; https://cdn.remax.com.mx/properties/684297/fd111ebe6b500469c10c716a6a604588.jpg; https://cdn.remax.com.mx/properties/684297/df18cc9ff345116d76e5952fee3b1721.jpg,Mexico,Ciudad de México,Ciudad de México,,,Sale
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBR683560-453,Bodega - Comercial en Santa María la Ribera,Bodega - Comercial,410000.0,MXN,0,4,,,,https://cdn.remax.com.mx/properties/683560/82e5b30103494b523ef252ac4046e416.jpg; https://cdn.remax.com.mx/properties/683560/962bb765e54dd52d2aabbab1cbd546d7.jpg; https://cdn.remax.com.mx/properties/683560/7b100c17cc1b33c807e60aa160670264.jpg; https://cdn.remax.com.mx/properties/683560/5823bf2282440015d2132459f0ca7a05.jpeg; https://cdn.remax.com.mx/properties/683560/2c39081b6b1740896ab4704143ada0fe.jpg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBR684233-512,Bodega - Comercial en Central de Abasto,Bodega - Comercial,380000.0,MXN,0,4,1795.0,m2,,https://cdn.remax.com.mx/properties/684233/2412d3d6c13273adc68df523aff1aca1.jpg; https://cdn.remax.com.mx/properties/684233/102158d48ed2927ff2b32b3438642a08.jpg; https://cdn.remax.com.mx/properties/684233/d2e05e8e21fd0c42e1ae6f2a917a4898.jpg; https://cdn.remax.com.mx/properties/684233/52ecf39ad94ed20a827fee9ceb945dd4.jpg; https://cdn.remax.com.mx/properties/684233/d7d0c3a28f5bbc406d087a1e5b84e795.jpg; https://cdn.remax.com.mx/properties/684233/4d52829a718a732dd7eac89bcde241f2.jpg; https://cdn.remax.com.mx/properties/684233/3fbe76e62623c69f39b07afa8533729f.jpg; https://cdn.remax.com.mx/properties/684233/08a5948b86a7e4160f835c8af66e74c7.jpg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBV669146-451,Bodega - Comercial en Álamos,Bodega - Comercial,12000000.0,MXN,0,4,384.0,m2,,https://cdn.remax.com.mx/properties/669146/d89c730cff40e8bee4179cbd5f5f7308.jpeg; https://cdn.remax.com.mx/properties/669146/aa0d8ec92288e1c3ebb20b454d0f310d.jpeg; https://cdn.remax.com.mx/properties/669146/4a7ec71fe5ad8227336c17287cf6653c.jpeg; https://cdn.remax.com.mx/properties/669146/6f086bb8e6f6a480ad6344c415e77ee3.jpeg; https://cdn.remax.com.mx/properties/669146/fec61889894356db7fcd2225c56e6f2d.jpeg; https://cdn.remax.com.mx/properties/669146/f86d16ef31aba151e2ebb400627b138c.jpeg; https://cdn.remax.com.mx/properties/669146/a5d91d867513e156235726ef95b68b9c.jpeg; https://cdn.remax.com.mx/properties/669146/a29fb914039aad90f7bfd06de8bb6aa3.jpeg,Mexico,Ciudad de México,Ciudad de México,,,Sale
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/CBR682992-451,Bodega - Comercial en Popotla,Bodega - Comercial,115000.0,MXN,,1,500.0,m2,,https://cdn.remax.com.mx/properties/682992/5b5594c81db6abd447631378f211faab.jpeg; https://cdn.remax.com.mx/properties/682992/8bd2d0eecb3b118170e4b9446214fc4e.jpeg; https://cdn.remax.com.mx/properties/682992/5f8f4c8e473bc4497a086142f101c136.jpeg; https://cdn.remax.com.mx/properties/682992/7417286f941d5301bf1618bd25c0daa1.jpeg,Mexico,Ciudad de México,Ciudad de México,,,Rent
