Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent,Source Count,Source Brokers,Source URLs,Region Match
CASA MANAAKI,https://www.inmuebles24.com/inmobiliarias/casa-manaaki_102777148-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-10-off-oferta-especial!-zel-va-tulum-penthouse-145644233.html,10% Off Oferta Especial! - Zel - Va Tulum - Penthouse con Rooftop y Piscina,Penthouse,13000,MXN,1,1,102.0,m2,"Reserva para agosto y te hacemos un 10% descuento adicional por los primeros 3 meses!! ¡Vive la experiencia zel-va en el corazón de Tulum! Hermoso Penthouse de 102 mts2 con rooftop privado y alberca. Totalmente amueblado, ubicado en La Veleta, una de las zonas con más encanto de Tulum. Ideal para estancias largas, combina confort, diseño moderno y contacto con la naturaleza. Características del departamento: - Rooftop privado con alberca, camastros, area de estar y mesa estilo picnic. - Balcón r...",https://img10.naventcdn.com/avisos/18/01/45/64/42/33/720x532/1551003555.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/45/64/42/33/720x532/1551003561.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/42/33/720x532/1509298073.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/42/33/720x532/1551010532.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/42/33/720x532/1509298088.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/42/33/720x532/1509298070.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/42/33/720x532/1551003548.jpg; https://img10.naventcdn.com/avisos/18/01/45/64/42/33/720x532/1509298079.jpg,Mexico,Quintana Roo,Tulum,20.19486606687094,-87.47433352701417,Rent,1,CASA MANAAKI,https://www.inmuebles24.com/propiedades/clasificado/alclapin-10-off-oferta-especial!-zel-va-tulum-penthouse-145644233.html,Tulum; Other Riviera Maya
iad Inmobiliaria,https://www.inmuebles24.com/inmobiliarias/iad-inmobiliaria_50956067-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-aldea-tulum-plus-149507893.html,Departamento Amueblado en Renta en Aldea Tulum Plus,Condo/Apartment,10000,MXN,2,1,71.0,m2,"Ref: 2 9 5 0 5 7. Disfruta de este hermoso departamento decorado con amor en Aldea Tulum Plus en renta. Con una superficie de 71 m2 de construcción, cuenta con 2 recámaras, 1 baño y está completamente amueblado, ideal para quienes buscan comodidad, practicidad y amenidades de calidad en un solo lugar. Perfecto para una gran estancia con cocina totalmente equipada y amueblado, aire acondicionado, balcón, cuarto de servicio con lavadora y secadora, closets, cocina equipada, sala y comedor, piso de...",https://img10.naventcdn.com/avisos/18/01/49/50/78/93/720x532/1615533350.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/50/78/93/720x532/1598879519.jpg; https://img10.naventcdn.com/avisos/18/01/49/50/78/93/720x532/1598879523.jpg; https://img10.naventcdn.com/avisos/18/01/49/50/78/93/720x532/1598879545.jpg; https://img10.naventcdn.com/avisos/18/01/49/50/78/93/720x532/1598879573.jpg; https://img10.naventcdn.com/avisos/18/01/49/50/78/93/720x532/1598879526.jpg; https://img10.naventcdn.com/avisos/18/01/49/50/78/93/720x532/1598879524.jpg; https://img10.naventcdn.com/avisos/18/01/49/50/78/93/720x532/1598879528.jpg,Mexico,Quintana Roo,Tulum,20.195297399999987,-87.53328340000002,Rent,1,iad Inmobiliaria,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-amueblado-en-renta-en-aldea-tulum-plus-149507893.html,Tulum; Other Riviera Maya
Octopus Real Estate ,https://www.inmuebles24.com/inmobiliarias/octopus-real-estate_50293518-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-ph-2-recamaras-aldea-savia-tulum-150076983.html,"PH 2 Recamaras Aldea Savia, Tulum",Condo/Apartment,20000,MXN,2,2,80.0,m2,"Departamento amueblado Y totalmente equipado en aldea savia, tulumdisfruta de la comodidad y tranquilidad de vivir en Aldea Savia, una de las comunidades residenciales más apreciadas por las familias en Tulum gracias a su seguridad, excelentes amenidades y ubicación estratégica. Este departamento de 2 recámaras y 2 baños completos se encuentra completamente amueblado y equipado, listo para habitar. Características del departamento: • 2 recámaras • 2 baños completos• Cocina totalmente equipada• C...",https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586306.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586322.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586317.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586338.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586308.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586329.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586324.jpg; https://img10.naventcdn.com/avisos/18/01/50/07/69/83/720x532/1620586334.jpg,Mexico,Quintana Roo,Tulum,20.2176992,-87.4507998,Rent,1,Octopus Real Estate ,https://www.inmuebles24.com/propiedades/clasificado/alclapin-ph-2-recamaras-aldea-savia-tulum-150076983.html,Tulum; Other Riviera Maya
Paola Huerta - Realtor - Sales and Rentals,https://www.inmuebles24.com/inmobiliarias/paola-huerta-realtor-sales-and-rentals_102872515-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-a-largo-plazo-en-tlum-long-term-rental-tulum-149742295.html,Renta a Largo Plazo en Tlum - Long Term Rental Tulum,Condo/Apartment,24000,MXN,3,3,190.0,m2,"Rentas A largo plazo en tulumpara atención personalizada contáctanos por WhatsApp a los siguientes números: Paola Huerta: +52 (5522 43 8797) y Ramon Capocchia +<span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>) renta departamento 3 recámarascoco Village, Av la selva (cerca) BienvenidoCon excelente ubicación190m2Amplio y con luz natural3 recámaras y 3 bañosCocina, sala y comedorNo incluye serviciosIncluye cuota condominal$24, 000 ...",https://img10.naventcdn.com/avisos/18/01/49/74/22/95/720x532/1603864858.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/74/22/95/720x532/1603864850.jpg; https://img10.naventcdn.com/avisos/18/01/49/74/22/95/720x532/1603864849.jpg; https://img10.naventcdn.com/avisos/18/01/49/74/22/95/720x532/1603864839.jpg; https://img10.naventcdn.com/avisos/18/01/49/74/22/95/720x532/1603864857.jpg; https://img10.naventcdn.com/avisos/18/01/49/74/22/95/720x532/1603864847.jpg; https://img10.naventcdn.com/avisos/18/01/49/74/22/95/720x532/1603864848.jpg; https://img10.naventcdn.com/avisos/18/01/49/74/22/95/720x532/1603864846.jpg,Mexico,Quintana Roo,Tulum,20.213529,-87.4723117,Rent,1,Paola Huerta - Realtor - Sales and Rentals,https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-a-largo-plazo-en-tlum-long-term-rental-tulum-149742295.html,Tulum; Other Riviera Maya
GRUPO SDIAZ Y ASOCIADOS ,https://www.inmuebles24.com/inmobiliarias/grupo-sdiaz-y-asociados_20005-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-y-equipado-cerca-de-la-150743265.html,Departamento en Renta Amueblado y Equipado Cerca de La Veleta,Condo/Apartment,36000,MXN,2,2,87.0,m2,"Departamento amueblado Y equipado en tulum muy cerca de la veleta, cuenta con 87 mt2 de superficie tiene 2 recamaras la principal con su vestidor Y baño la segunda con closet Y baño que comparte con visitas, sala, comedor, cocina integral acabados de primera, area de lavado con lavadora Y secadora, roof top con alberca, camastros,, baño, estacionamiento 1 auto, solo renta anual",https://img10.naventcdn.com/avisos/18/01/50/74/32/65/720x532/1624527799.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/50/74/32/65/720x532/1624527912.jpg; https://img10.naventcdn.com/avisos/18/01/50/74/32/65/720x532/1624527821.jpg; https://img10.naventcdn.com/avisos/18/01/50/74/32/65/720x532/1624527985.jpg; https://img10.naventcdn.com/avisos/18/01/50/74/32/65/720x532/1624527883.jpg; https://img10.naventcdn.com/avisos/18/01/50/74/32/65/720x532/1624528046.jpg; https://img10.naventcdn.com/avisos/18/01/50/74/32/65/720x532/1624527961.jpg; https://img10.naventcdn.com/avisos/18/01/50/74/32/65/720x532/1624527861.jpg,Mexico,Quintana Roo,Tulum,20.2125527,-87.4583994,Rent,1,GRUPO SDIAZ Y ASOCIADOS ,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-renta-amueblado-y-equipado-cerca-de-la-150743265.html,Tulum; Other Riviera Maya
inmoGo,https://www.inmuebles24.com/inmobiliarias/inmogo_50924536-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-v:-$2.5-mdp-r:$11-500-amueblado-noil-148756053.html,"Departamento V: $2.5 Mdp R:$11,500 Amueblado Noil Tulum, 1habitacion",Condo/Apartment,2499000,MXN,1,1,55.0,m2,"ï tu refugio de lujo en tulum: elegancia Y tranquilidad en el corazón del caribeï Departamento Moderno | Amenidades Premium | Ubicación Privilegiada | Entregado Equipado. Descubre el estilo de vida Tulumen este espectacular departamento de lujo, diseñado para quienes buscan sofisticación, confort y una conexión única con la naturaleza en uno de los destinos más exclusivos de México. Con 55. 5 m inteligentemente distribuidos, este inmueble representa la combinación perfecta entre diseño contempor...",https://img10.naventcdn.com/avisos/18/01/48/75/60/53/720x532/1584152937.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/48/75/60/53/720x532/1584152933.jpg; https://img10.naventcdn.com/avisos/18/01/48/75/60/53/720x532/1584152935.jpg; https://img10.naventcdn.com/avisos/18/01/48/75/60/53/720x532/1583881109.jpg; https://img10.naventcdn.com/avisos/18/01/48/75/60/53/720x532/1584152932.jpg; https://img10.naventcdn.com/avisos/18/01/48/75/60/53/720x532/1584152931.jpg; https://img10.naventcdn.com/avisos/18/01/48/75/60/53/720x532/1584152934.jpg; https://img10.naventcdn.com/avisos/18/01/48/75/60/53/720x532/1583878807.jpg,Mexico,Quintana Roo,Tulum,20.1990089,-87.4787111,Rent,1,inmoGo,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-v:-$2.5-mdp-r:$11-500-amueblado-noil-148756053.html,Tulum; Other Riviera Maya
MARCAN INMUEBLES,https://www.inmuebles24.com/inmobiliarias/marcan-inmuebles_50216989-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-80-m-sup2--en-veleta-tulum-alberca-147049119.html,Departamento 80 m&sup2; en Veleta Tulum Alberca Privada en Edificio Torana Excelente Oportunidad,Condo/Apartment,4500000,MXN,1,1,80.0,m2,"Departamento 80 m2 en Veleta Tulum Alberca Privada en Edificio Torana Excelente Oportunidad. venta / renta. Listo para habitar, amueblado, cocina, canceleria, rentado por airbnb actualmente. Todo en buen estado y listo para habitar. Cesar M. Marcan Inmuebles. <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>",https://img10.naventcdn.com/avisos/18/01/47/04/91/19/720x532/1546823426.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/47/04/91/19/720x532/1546823428.jpg; https://img10.naventcdn.com/avisos/18/01/47/04/91/19/720x532/1546823434.jpg; https://img10.naventcdn.com/avisos/18/01/47/04/91/19/720x532/1546823429.jpg; https://img10.naventcdn.com/avisos/18/01/47/04/91/19/720x532/1546823431.jpg; https://img10.naventcdn.com/avisos/18/01/47/04/91/19/720x532/1546823427.jpg; https://img10.naventcdn.com/avisos/18/01/47/04/91/19/720x532/1546823433.jpg; https://img10.naventcdn.com/avisos/18/01/47/04/91/19/720x532/1546823432.jpg,Mexico,Quintana Roo,Tulum,20.1976512,-87.4695743,Rent,1,MARCAN INMUEBLES,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-80-m-sup2--en-veleta-tulum-alberca-147049119.html,Tulum; Other Riviera Maya
Independiente,https://www.inmuebles24.com/inmobiliarias/independiente_102873375-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-ph-en-renta-en-kataleya-148647947.html,PH en Renta en Kataleya,Villa,75000,MXN,3,4,299.0,m2,"Villa / Penthouse de Lujo en Renta – Luum Zama, Aldea Zama, TulumRenta mensual: $75, 000 mxnsuperficie construida: 299. 42 m² (3, 223. 9 sq ft) Totalmente amueblado y equipadoCaracterísticas GeneralesPenthouse de lujo de 3 niveles3 recámaras4 baños completosAntigüedad: 2 añosEstado de conservación: ExcelenteElevador: 1Estacionamiento ilimitadoMantenimiento: $8, 000 mxn mensualesEquipamiento y AmenidadesAlberca privadaCocina integral equipadaAire acondicionadoInternet / WiFiSistema solarPozo de a...",https://img10.naventcdn.com/avisos/18/01/48/64/79/47/720x532/1581414372.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/48/64/79/47/720x532/1581414374.jpg; https://img10.naventcdn.com/avisos/18/01/48/64/79/47/720x532/1581414366.jpg; https://img10.naventcdn.com/avisos/18/01/48/64/79/47/720x532/1581414380.jpg; https://img10.naventcdn.com/avisos/18/01/48/64/79/47/720x532/1581414361.jpg; https://img10.naventcdn.com/avisos/18/01/48/64/79/47/720x532/1581414358.jpg; https://img10.naventcdn.com/avisos/18/01/48/64/79/47/720x532/1581414379.jpg; https://img10.naventcdn.com/avisos/18/01/48/64/79/47/720x532/1581414356.jpg,Mexico,Quintana Roo,Tulum,20.1997998,-87.454707,Rent,1,Independiente,https://www.inmuebles24.com/propiedades/clasificado/alclapin-ph-en-renta-en-kataleya-148647947.html,Tulum; Other Riviera Maya
NATIIVNAH,https://www.inmuebles24.com/inmobiliarias/natiivnah_51288273-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-exclusivo-aldea-zama-tulum-149714169.html,Departamento en Venta Exclusivo Aldea Zamá Tulum,Villa,35000,MXN,3,3,240.0,m2,"Perfecto para inversionistas, Precioso ph amueblado en venta en Aldea Zamá, Tulum, en el estado de Quintana Roo, Me? xico. Epicentro de la Riviera Maya, a 2 horas al sur de Cancu? n y a 1 hora al sur de Playa del Carmen. Este majestuoso proyecto ecoturi? stico y residencial esta? Localizado en una zona ce? ntrica de la villa pesquera, lo cual hace posible disfrutar de recorridos en bicicleta hacia la zona arqueolo? gica, zona hotelera, a la playa, al pueblo de Tulum, y cenotes. Este ph cuenta co...",https://img10.naventcdn.com/avisos/18/01/49/71/41/69/720x532/1603302166.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/71/41/69/720x532/1603303413.jpg; https://img10.naventcdn.com/avisos/18/01/49/71/41/69/720x532/1603302420.jpg; https://img10.naventcdn.com/avisos/18/01/49/71/41/69/720x532/1603303683.jpg; https://img10.naventcdn.com/avisos/18/01/49/71/41/69/720x532/1603302387.jpg; https://img10.naventcdn.com/avisos/18/01/49/71/41/69/720x532/1603303709.jpg; https://img10.naventcdn.com/avisos/18/01/49/71/41/69/720x532/1603303332.jpg; https://img10.naventcdn.com/avisos/18/01/49/71/41/69/720x532/1603302009.jpg,Mexico,Quintana Roo,Tulum,20.202425681,-87.4599390204,Rent,1,NATIIVNAH,https://www.inmuebles24.com/propiedades/clasificado/alclapin-departamento-en-venta-exclusivo-aldea-zama-tulum-149714169.html,Playa del Carmen; Tulum; Other Riviera Maya
Paraiso Real Estate Tulum,https://www.inmuebles24.com/inmobiliarias/paraiso-real-estate-tulum_50310732-inmuebles.html,Inmuebles24 (via parse.bot API),https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-penthouse-aldea-zama-en-2-niveles-con-2-149800940.html,Renta Penthouse Aldea Zama en 2 Niveles con 2 Recamaras,Penthouse,26000,MXN,2,2,250.0,m2,"Disponible desde el 16 de Junio 2026. Renta Penthouse en Aldea Zama, Tulum, distribuido en 2 niveles con 2 recámaras y 2 baños. Este departamento ofrece un diseño moderno y cómodo. Disfruta de servicios incluidos como internet y mantenimiento de condominio. La propiedad es pet friendly con mascotas pequeñas y cuenta con una terraza privada, balcón y mini bodega. Incluye aire acondicionado, amueblado, cocina equipada, lavadora y secadora. Acceso a alberca comunitaria. Un espacio de estacionamient...",https://img10.naventcdn.com/avisos/18/01/49/80/09/40/720x532/1617267928.jpg?isFirstImage=true; https://img10.naventcdn.com/avisos/18/01/49/80/09/40/720x532/1605156852.jpg; https://img10.naventcdn.com/avisos/18/01/49/80/09/40/720x532/1605156848.jpg; https://img10.naventcdn.com/avisos/18/01/49/80/09/40/720x532/1605156847.jpg; https://img10.naventcdn.com/avisos/18/01/49/80/09/40/720x532/1605156846.jpg; https://img10.naventcdn.com/avisos/18/01/49/80/09/40/720x532/1605156849.jpg; https://img10.naventcdn.com/avisos/18/01/49/80/09/40/720x532/1605156850.jpg; https://img10.naventcdn.com/avisos/18/01/49/80/09/40/720x532/1605156841.jpg,Mexico,Quintana Roo,Tulum,20.2027902497,-87.4611979458,Rent,1,Paraiso Real Estate Tulum,https://www.inmuebles24.com/propiedades/clasificado/alclapin-renta-penthouse-aldea-zama-en-2-niveles-con-2-149800940.html,Tulum; Other Riviera Maya
