id,title,url,price,location,latitude,longitude,bedrooms,bathrooms,size_sqft,property_type,advertiser,date_listed,pictures
115862363,House for sale at Puerta Cortez La Paz Baja California Sur Golf and beachclub included + Marina,https://www.properstar.co.uk/listing/115862363,"GBP 732,351","6P63+HR, La Paz, Mexico",24.211437,-110.295438,4,3,1819.10156,House,Century 21 Legendary Realty,2026-04-18T23:18:35,https://files-api.properstar.com/api/v2/files/def87a8f-5676-4e77-b36d-8877a4d4f8d5/1; https://files-api.properstar.com/api/v2/files/c49bda3d-a54f-4e25-9fb8-f7242f5369e4/1; https://files-api.properstar.com/api/v2/files/62f87496-caf8-4d4b-a368-c532eecbc2ed/1; https://files-api.properstar.com/api/v2/files/b136820b-f523-4844-ba20-266b03f1695b/1; https://files-api.properstar.com/api/v2/files/eeadf430-1078-4222-8451-1e8b6eedbf51/1; https://files-api.properstar.com/api/v2/files/8ff9bd4d-331f-4a65-9f5a-8bf4903c29e2/1; https://files-api.properstar.com/api/v2/files/4d0cfae4-8ccb-4b9a-b5b6-853a6dc7816a/1; https://files-api.properstar.com/api/v2/files/4db16d5a-b36b-43ed-8f77-f4411d038eb1/1; https://files-api.properstar.com/api/v2/files/02634237-ed76-49a2-924c-8c9641537fce/1; https://files-api.properstar.com/api/v2/files/e7054e55-b8f6-478d-a012-b54f1ae6dd68/1; https://files-api.properstar.com/api/v2/files/4dce6ad6-36e5-419c-aaf1-92e59bf09343/1; https://files-api.properstar.com/api/v2/files/3817599a-996c-46e5-8ab4-570230f21a84/1; https://files-api.properstar.com/api/v2/files/c794d91d-3a7a-49d3-96e1-8bf783d985f2/1; https://files-api.properstar.com/api/v2/files/e2e2a13d-fee3-4f93-b96b-17767bb2563b/1; https://files-api.properstar.com/api/v2/files/e8abb938-6330-4b16-a9e2-fe4d5752049b/1; https://files-api.properstar.com/api/v2/files/867104da-bbb2-40db-825b-381a1eb15568/1; https://files-api.properstar.com/api/v2/files/ed4f75ef-71ac-49a1-87d8-76f500bfb027/1; https://files-api.properstar.com/api/v2/files/acb486b0-ddc6-4771-87c8-7431d5a3edf7/1; https://files-api.properstar.com/api/v2/files/696ac0ea-6059-4a17-90d7-1a64126d08a3/1; https://files-api.properstar.com/api/v2/files/507c0fed-e19c-4481-b68d-860479bda022/1
112663484,"3-Bedroom Condo for Sale in Terra Pedregal, La Paz BCS",https://www.properstar.co.uk/listing/112663484,"GBP 612,125","Bahía Pichilingue Km 4.5, Pedregal, 23010 La Paz, B.C.S., Mexico, La Paz, Mexico",24.203487,-110.297359,3,3,1829.86548,Apartment,Century 21 Legendary Realty,2025-12-30T00:20:36,https://files-api.properstar.com/api/v2/files/52d99c4f-09ae-4571-8c08-53ce06f0e219/1; https://files-api.properstar.com/api/v2/files/f44354f8-e00e-4b5e-8e67-38796715e0cc/1; https://files-api.properstar.com/api/v2/files/2347a5b5-8d45-4a81-ac5e-e4811d318693/1; https://files-api.properstar.com/api/v2/files/55fee113-e7d0-4647-bb01-b0be0c5c2f74/1; https://files-api.properstar.com/api/v2/files/c091ac97-f692-47db-9dba-0bd3efe4f618/1; https://files-api.properstar.com/api/v2/files/354dd5f8-86cf-4d21-ac7c-1e20cf363848/1
119587635,"Maison Villa in Caleton, Cap Cana ",https://www.properstar.co.uk/listing/119587635,"GBP 1,099,626","Caleton, Punta Cana, Mexico",24.155968,-110.315988,4,7,,House,Engel & Völkers Punta Cana,2026-08-15T03:09:39.257,https://files-api.properstar.com/api/v2/files/0da1d620-d1a9-4545-8c94-7b841eb13a6d/1; https://files-api.properstar.com/api/v2/files/80bb8fc9-062d-4abf-8643-3b55e6acab1a/1; https://files-api.properstar.com/api/v2/files/5e370862-1af5-455f-a014-2eda0ef542f5/1; https://files-api.properstar.com/api/v2/files/360062f4-44a4-4031-8c03-b60ee5acb3f9/1; https://files-api.properstar.com/api/v2/files/a1378f21-46c8-4ed8-926e-4358765a10f6/1; https://files-api.properstar.com/api/v2/files/11e827f5-aeae-49bd-bbb3-fccf83ea694f/1
119520338,2 Casa Puerta Azul SL26-19971,https://www.properstar.co.uk/listing/119520338,"GBP 384,594","2 Casa Puerta Azul, La Paz, Mexico",24.142641,-110.312753,3,4,2734.03418,House,The Agency | La Paz,2026-08-12T14:08:45.497,https://files-api.properstar.com/api/v2/files/02a4401f-6b8b-40e1-9f73-a9b92f91652c/1; https://files-api.properstar.com/api/v2/files/0132360e-056f-4044-98b6-ef34c81f98fd/1; https://files-api.properstar.com/api/v2/files/38b9e6eb-f587-4e59-ad3a-329b5eef0a99/1; https://files-api.properstar.com/api/v2/files/8e7dc668-d414-4e76-b0d3-e02dcd56d9e3/1; https://files-api.properstar.com/api/v2/files/1d646a64-7b99-4cc0-bf73-960f675bbc72/1; https://files-api.properstar.com/api/v2/files/f2bce106-3be1-4668-955e-708263463961/1; https://files-api.properstar.com/api/v2/files/dcced731-0531-4f7c-880d-e19fcdf9786b/1; https://files-api.properstar.com/api/v2/files/ce959b9d-0cfb-485a-8bab-3164371fcad6/1; https://files-api.properstar.com/api/v2/files/ad3eca7c-e165-444e-ba15-62d428af01b3/1; https://files-api.properstar.com/api/v2/files/3fd1045a-8e81-4ca6-a58c-a38323eab08a/1; https://files-api.properstar.com/api/v2/files/5ada84fb-8e30-4693-b986-32d60959ad02/1; https://files-api.properstar.com/api/v2/files/1c735dbf-d129-465b-928d-e8fe89e786c7/1; https://files-api.properstar.com/api/v2/files/00ee772f-4fd2-4a4a-86fd-9cb0aaea8fd3/1; https://files-api.properstar.com/api/v2/files/b8afdc51-2046-4387-804e-1560b5655cbe/1; https://files-api.properstar.com/api/v2/files/7b2c6b0a-dfbe-49fb-9ce6-02928c6863b8/1; https://files-api.properstar.com/api/v2/files/8d50c4a2-ff7f-4b21-88ef-8160df4ebd4a/1; https://files-api.properstar.com/api/v2/files/32f32170-96a6-497a-93ed-1128a5800e4f/1; https://files-api.properstar.com/api/v2/files/a4abb06e-3c02-4f02-b121-2ce20701b62e/1; https://files-api.properstar.com/api/v2/files/1de0c533-33c7-490c-a7fd-025d05695d7e/1; https://files-api.properstar.com/api/v2/files/1a00ee61-1ac9-4783-9048-c364e8eaed01/1; https://files-api.properstar.com/api/v2/files/11c9609a-3d09-426a-9792-548d1da975db/1; https://files-api.properstar.com/api/v2/files/9e226009-d585-4159-9619-970c25c8c150/1; https://files-api.properstar.com/api/v2/files/de36d2ae-349d-4e43-ae7d-6fd1c997d74b/1; https://files-api.properstar.com/api/v2/files/e4f2724f-cdd7-46f9-a2e7-aa3c81cc693d/1; https://files-api.properstar.com/api/v2/files/81e3ed6c-e5a6-4dda-9310-8560a678b396/1; https://files-api.properstar.com/api/v2/files/b5fee33a-6be8-45e5-8e70-5c67bb07c172/1; https://files-api.properstar.com/api/v2/files/4f50f7d0-f4a6-4327-8445-46626f7e03d8/1; https://files-api.properstar.com/api/v2/files/e32bc5b3-4e1d-4f7d-861e-96dcf6fff3a7/1; https://files-api.properstar.com/api/v2/files/2f0726dd-100d-411e-9b65-2f03a74f54c8/1; https://files-api.properstar.com/api/v2/files/f8a8b6ac-11f8-4162-b0f3-99403f1d1949/1; https://files-api.properstar.com/api/v2/files/e57075f5-6146-4f8e-8396-ddb055b62b12/1; https://files-api.properstar.com/api/v2/files/ee2aad41-cb35-415d-8415-0ad637cefc3a/1; https://files-api.properstar.com/api/v2/files/a72a8e4a-f10c-489f-8382-c57b35e4d65d/1; https://files-api.properstar.com/api/v2/files/9c3057ce-5d10-4b2f-b1d1-4108bf8e8e2d/1; https://files-api.properstar.com/api/v2/files/deeb439c-1dd6-47d6-89f7-3c611adbb8a7/1; https://files-api.properstar.com/api/v2/files/5908f25f-4bb1-4618-a9b5-06e20c08223f/1; https://files-api.properstar.com/api/v2/files/fbbce3dc-1308-44ec-8236-18c5f9e5c61c/1; https://files-api.properstar.com/api/v2/files/64c2ed94-bd70-41ff-94e1-ea98c7249b9b/1; https://files-api.properstar.com/api/v2/files/4e9ed508-9694-485a-801b-cf97f6c970e1/1; https://files-api.properstar.com/api/v2/files/3f4a2bed-b0df-40e2-a525-435cd8a371b4/1; https://files-api.properstar.com/api/v2/files/2eb5857a-6eb5-4049-b9f2-14ba9803650f/1; https://files-api.properstar.com/api/v2/files/05ae666f-988e-4430-aa7e-294c118f339a/1; https://files-api.properstar.com/api/v2/files/08d1be50-9f0c-496b-a064-c9fb6ce37883/1; https://files-api.properstar.com/api/v2/files/059c83d0-032e-4de1-b5fc-f8c4c7c7c981/1; https://files-api.properstar.com/api/v2/files/11d4f307-e5ee-4128-b5e2-359ceacb4bb5/1; https://files-api.properstar.com/api/v2/files/0117abc3-17b6-419e-b341-96bf8b9808eb/1; https://files-api.properstar.com/api/v2/files/86e14dd4-47d6-41b8-a100-80618776517c/1; https://files-api.properstar.com/api/v2/files/d4bcad43-a4bf-4f81-95df-590df11ea350/1; https://files-api.properstar.com/api/v2/files/e87095bb-d7c0-4a01-8731-44f2162460ed/1; https://files-api.properstar.com/api/v2/files/5fb9d347-3b68-41e3-98f4-b2d8859bf1f4/1
112664864,S/N Cochayuyo SL25-30158,https://www.properstar.co.uk/listing/112664864,"GBP 256,579","S/N Cochayuyo, La Paz, Mexico",24.140992,-110.343211,5,4,13444.13,House,The Agency | La Paz,2025-12-30T02:32:42.543,https://files-api.properstar.com/api/v2/files/86199c8b-a8dc-4bfa-8f2e-317c95797697/1; https://files-api.properstar.com/api/v2/files/1e9ed981-f3da-42b3-91ee-2d6628d2748f/1; https://files-api.properstar.com/api/v2/files/5608836e-b899-443b-b408-b2027bd76196/1; https://files-api.properstar.com/api/v2/files/94cdb6b7-8799-4ec2-962f-139f50321837/1; https://files-api.properstar.com/api/v2/files/b699f330-31cf-4c59-83fc-d0f619054a0a/1; https://files-api.properstar.com/api/v2/files/786d100c-6fde-435a-adaa-bb152e192de5/1; https://files-api.properstar.com/api/v2/files/eb0a5118-fb9f-4104-aadb-98f92dc0304d/1; https://files-api.properstar.com/api/v2/files/10814c69-339c-42fc-8843-ca0c4d4ba0d2/1; https://files-api.properstar.com/api/v2/files/911cb6c8-8345-4ca0-8b53-f3e2bf2bc8f3/1; https://files-api.properstar.com/api/v2/files/e7aaf8e0-163e-4109-8644-4dd08d8181a4/1; https://files-api.properstar.com/api/v2/files/6705a966-ebc6-4fd0-b177-28422032f237/1; https://files-api.properstar.com/api/v2/files/afbff203-1717-4ec7-9658-afc35e167bca/1; https://files-api.properstar.com/api/v2/files/0a58e132-10bb-4a51-bf41-af2cd6a16a74/1; https://files-api.properstar.com/api/v2/files/6b3cd64d-33cf-4afe-8f96-3c41a614cb91/1; https://files-api.properstar.com/api/v2/files/892a4ce4-14b8-4941-97e4-6927c36888bd/1; https://files-api.properstar.com/api/v2/files/2eb5c5cf-8a2c-4cf4-9d53-209d05b37205/1; https://files-api.properstar.com/api/v2/files/75f410a1-3ee5-4e02-bafc-5ee92ed3ff23/1
118698113,A Prime Short-Term Rental Investment Opportunity,https://www.properstar.co.uk/listing/118698113,"GBP 267,576","Juanillo Vista Golf, Punta Cana, Mexico",24.155968,-110.315988,2,2,1076.39148,Apartment,Engel & Völkers Punta Cana,2026-07-13T17:07:15.833,https://files-api.properstar.com/api/v2/files/fa8eb096-b853-4264-a44b-15cd80d7e2ec/1; https://files-api.properstar.com/api/v2/files/d2e50a2e-a475-4d9f-ab83-299dcee90f40/1; https://files-api.properstar.com/api/v2/files/6b8a439a-4ee8-43e8-b2e1-183839ad0d89/1; https://files-api.properstar.com/api/v2/files/2f66d170-afe8-4f1f-b40e-ed9a4d01c67a/1; https://files-api.properstar.com/api/v2/files/bb8050a5-b0cf-464a-b7b8-a274dedf313d/1; https://files-api.properstar.com/api/v2/files/c6154c4b-980c-4fd9-9ca8-92c959b6353b/1; https://files-api.properstar.com/api/v2/files/d61240b2-be22-4067-b246-fab7a8598f77/1; https://files-api.properstar.com/api/v2/files/3bfbba65-0b1f-4703-9077-fdbca8b08748/1; https://files-api.properstar.com/api/v2/files/7f2ac010-036b-4c0c-8f85-d89d04bb3400/1; https://files-api.properstar.com/api/v2/files/e4c911a0-3eb4-4561-8917-4c610c4ec465/1; https://files-api.properstar.com/api/v2/files/be6bb492-408b-44ba-a9fb-d353e5a8465c/1
118850308,Private Villas in the Heart of Vistacana,https://www.properstar.co.uk/listing/118850308,"GBP 208,929","Vista Cana, Punta Cana, Mexico",24.155968,-110.315988,3,4,1668.40686,House,Engel & Völkers Punta Cana,2026-07-19T02:59:40.38,https://files-api.properstar.com/api/v2/files/77bb3c06-6c1b-4d0e-964c-d19c2fb94f54/1; https://files-api.properstar.com/api/v2/files/d7801c7f-05d5-46d0-b087-1b1ed28f43e2/1; https://files-api.properstar.com/api/v2/files/4869e53d-d26f-40de-9e66-cb14c69e2647/1; https://files-api.properstar.com/api/v2/files/2805d04e-2db9-42fb-8c9b-ba3425ec4669/1; https://files-api.properstar.com/api/v2/files/b6105eb4-10d2-4d8d-8f80-1908a72d05cf/1; https://files-api.properstar.com/api/v2/files/a9d699a0-0759-4d1d-84eb-30b814383593/1; https://files-api.properstar.com/api/v2/files/823cf764-3b7a-4a58-bbb6-0979c2d59692/1; https://files-api.properstar.com/api/v2/files/9df354c7-e8bc-4018-85b7-04fd0cefcd50/1; https://files-api.properstar.com/api/v2/files/4e4a4ef0-15e0-4215-93ae-42fe9981d6b7/1
119659263,The Summit,https://www.properstar.co.uk/listing/119659263,"GBP 996,662","Jalisco, Zapopan, Fraccionamiento La Cima, Fraccionamiento La Cima, Mexico",24.099817,-110.344659,5,5,,House,White Wolf Real Estate,2026-08-19T04:05:27.047,https://files-api.properstar.com/api/v2/files/5d1d8461-5f41-4bd0-9530-23bb056f22e3/1; https://files-api.properstar.com/api/v2/files/e6f069fb-da6e-436d-96a2-c864e08ffd70/1; https://files-api.properstar.com/api/v2/files/9d97f343-c894-4bf8-8ea9-e3693115bfa1/1; https://files-api.properstar.com/api/v2/files/368eb1af-cec9-464a-a672-4614588188af/1; https://files-api.properstar.com/api/v2/files/937cdda6-4bc0-49f1-9d40-ff23d2a52d79/1; https://files-api.properstar.com/api/v2/files/464a8291-9731-49f3-b10e-2c9259bef9e6/1; https://files-api.properstar.com/api/v2/files/9aed8cf1-9a5c-48eb-b3a7-99514f7e240d/1; https://files-api.properstar.com/api/v2/files/6ff79370-6808-470c-8bae-0ebabd4e3d59/1; https://files-api.properstar.com/api/v2/files/1c4a4734-4653-4552-8d35-f60c5850492e/1; https://files-api.properstar.com/api/v2/files/8b16d2ad-06db-40ee-ad3b-75a8efbd4dd0/1; https://files-api.properstar.com/api/v2/files/769f041b-3778-442e-a929-b3bd392351f5/1; https://files-api.properstar.com/api/v2/files/1163a79b-ec84-4158-a03f-bdb15a5dcc34/1; https://files-api.properstar.com/api/v2/files/f8b40cb6-5e42-4b23-90e4-d20361592dad/1; https://files-api.properstar.com/api/v2/files/ad114872-7fd7-40ad-87ed-73ccbb6aaa9e/1; https://files-api.properstar.com/api/v2/files/dcd677fe-5966-46fc-9f55-a748b8164a49/1; https://files-api.properstar.com/api/v2/files/ffb5729f-ecff-45df-852a-3048639184ae/1; https://files-api.properstar.com/api/v2/files/96bde044-3714-47ab-ac0a-794a6c2680d9/1; https://files-api.properstar.com/api/v2/files/3f696309-02db-4b2c-9cea-ec6dba66439d/1; https://files-api.properstar.com/api/v2/files/c66d9a87-4605-40c1-ba57-ee1e263ff180/1; https://files-api.properstar.com/api/v2/files/22d262e6-95b6-409b-b932-31a5c6637e3a/1; https://files-api.properstar.com/api/v2/files/43c985d9-d3e3-402f-a326-70f2bfaa0bff/1; https://files-api.properstar.com/api/v2/files/d8501db1-514e-4b83-8bb4-75459f1f93b7/1; https://files-api.properstar.com/api/v2/files/ce989565-4b44-44df-97ef-103df42ccb9f/1; https://files-api.properstar.com/api/v2/files/e3d6f8ca-ba5e-41ab-9f8a-0245be286386/1; https://files-api.properstar.com/api/v2/files/5e492b70-6121-4ad1-afcd-6d26b8973e45/1; https://files-api.properstar.com/api/v2/files/4809428f-cc8b-4598-b991-234760be63e7/1; https://files-api.properstar.com/api/v2/files/51950da4-f364-41fc-b67d-4934041f0187/1; https://files-api.properstar.com/api/v2/files/6b1b405f-6072-4d53-9649-41f1c17bbbbe/1; https://files-api.properstar.com/api/v2/files/fe31076c-0bf3-4141-9933-90304b112529/1; https://files-api.properstar.com/api/v2/files/c1f15a54-c55e-4a88-8eb0-41aa19f0f438/1; https://files-api.properstar.com/api/v2/files/8af10e98-429a-4b16-9aaf-03a8b94b2d24/1; https://files-api.properstar.com/api/v2/files/2222c88d-7867-4192-b5f2-e7e7852c9979/1; https://files-api.properstar.com/api/v2/files/97fd7e04-3a4e-4d49-ba26-d10355a5ca73/1; https://files-api.properstar.com/api/v2/files/ba173086-520c-489d-97f3-8b8e0a30903e/1; https://files-api.properstar.com/api/v2/files/55143b3f-a0c8-42fd-88d1-4350f876e062/1; https://files-api.properstar.com/api/v2/files/42135c45-8888-4193-a7ad-6fb010d41d30/1; https://files-api.properstar.com/api/v2/files/13c6905f-5f67-4780-835e-e3253f162220/1; https://files-api.properstar.com/api/v2/files/4416a7b0-e0f3-40e8-bc06-bfd5debe7152/1; https://files-api.properstar.com/api/v2/files/284bbf1a-4738-42f7-9d2f-aa15993958ad/1; https://files-api.properstar.com/api/v2/files/eca80735-5f39-45a9-891d-25e201422134/1; https://files-api.properstar.com/api/v2/files/bbf20380-4a38-4293-b51f-c5b4c3e15cf3/1; https://files-api.properstar.com/api/v2/files/19d39117-bc3b-4ca9-b1fd-5e76ab4119af/1
119652511,"Apartment for Sale in Balaena, La Paz Baja California",https://www.properstar.co.uk/listing/119652511,"GBP 186,332","Baja California Sur, La Paz , La Paz, Mexico",24.142641,-110.312753,1,1,,Apartment,Zizi,2026-08-18T20:01:36.103,https://files-api.properstar.com/api/v2/files/e6e50fc9-9dd7-4925-82a2-08fd26dc72ad/1; https://files-api.properstar.com/api/v2/files/3bd76f07-1157-4a1c-8cb8-0383ff71fdbb/1; https://files-api.properstar.com/api/v2/files/0c920451-11d6-462b-b486-090496752287/1; https://files-api.properstar.com/api/v2/files/4748c16e-f380-49cc-89b0-dd88fddaf914/1; https://files-api.properstar.com/api/v2/files/7d5a52c5-1ea2-4f1e-aa7f-41f307120b38/1; https://files-api.properstar.com/api/v2/files/04a72206-3d84-41fe-8d39-0e5fa825dba2/1; https://files-api.properstar.com/api/v2/files/8f8c41ac-4ace-4a9c-b639-f9869f71f616/1
118971704,"House for sale in Villas de San Lorenzo, La Paz, Baja California Sur",https://www.properstar.co.uk/listing/118971704,"GBP 303,115","desierto de sonora, Villas de San Lorenzo, La Paz, Mexico",24.111009,-110.331633,3,3,1453.12854,House,Baja Real Estate Services,2026-07-24T06:49:00.02,https://files-api.properstar.com/api/v2/files/024212dd-3f37-4275-8e05-6f77d66ca591/1; https://files-api.properstar.com/api/v2/files/87e67165-08f3-4848-93fb-980c6102e32c/1; https://files-api.properstar.com/api/v2/files/d4da81c7-95fb-43a8-acde-064bc6deaa59/1; https://files-api.properstar.com/api/v2/files/e6596869-78f2-4555-aeba-dd5bf5ddb3c7/1; https://files-api.properstar.com/api/v2/files/1ef1b760-b842-42dc-9b69-cfa144f0392b/1; https://files-api.properstar.com/api/v2/files/0cc57c1c-685c-4116-8d49-943f81c79fd6/1; https://files-api.properstar.com/api/v2/files/a601cac3-1587-4d4a-83df-749fedba5cd6/1; https://files-api.properstar.com/api/v2/files/f6e6cb25-6f23-455c-bb96-c20c401131d5/1; https://files-api.properstar.com/api/v2/files/20c6f149-4a89-4b7d-b201-7e757bdeefd1/1; https://files-api.properstar.com/api/v2/files/43b8aa54-ae73-4ef0-ac25-2acabc2c8aae/1; https://files-api.properstar.com/api/v2/files/9bbe51a2-cd22-4b59-b9d4-2b917227919e/1; https://files-api.properstar.com/api/v2/files/1aea45d7-b7df-485d-b837-6d95f0038839/1; https://files-api.properstar.com/api/v2/files/31da8cfb-b3fa-4436-9a70-ce8f730f7f16/1; https://files-api.properstar.com/api/v2/files/df8feb26-23d5-4548-a948-5811320efe8d/1
