id,title,url,price,location,latitude,longitude,bedrooms,bathrooms,size_sqft,property_type,advertiser,date_listed,pictures
118358904,"Apartment for rent 2 bedrooms, with jacuzzi, close to downtown CABO SAN LUCAS,",https://www.properstar.co.uk/listing/118358904,"GBP 1,170","1 Delfines, Cabo San Lucas, Mexico",22.894813,-109.915215,0,2,1076.39148,Furnished apartment,Paola Cristina Pliego Bañuelos,2026-07-03T05:34:36,https://files-api.properstar.com/api/v2/files/d7cd29d2-b54d-4143-a539-6a6cd58023d3/1; https://files-api.properstar.com/api/v2/files/5c41474a-f381-4010-8f3f-83fd804f3aa7/1; https://files-api.properstar.com/api/v2/files/4a7beae7-0457-4873-b2b8-f99251a97f23/1; https://files-api.properstar.com/api/v2/files/860bd4d5-7c13-468b-a4ff-6c62112f7fbe/1; https://files-api.properstar.com/api/v2/files/a73a4573-4024-4321-8cd1-81d28f6307ad/1; https://files-api.properstar.com/api/v2/files/dd0ce7be-9fb9-4c76-a5fd-9fd5fd25b069/1; https://files-api.properstar.com/api/v2/files/93371cfb-4b29-49dc-8e79-426c58343c0a/1; https://files-api.properstar.com/api/v2/files/63cc1093-56e1-44e1-b7c3-59eacde6614c/1; https://files-api.properstar.com/api/v2/files/96cdc3e6-4419-415f-ba1b-da84cc24b8ad/1
119329013,"Furnished apartment in Cabo San Lucas 2 bedrooms, with amenities.",https://www.properstar.co.uk/listing/119329013,"GBP 1,018","5 Rasgo Terreno Baldío, Cabo San Lucas, Mexico",22.894813,-109.915215,2,,,Furnished apartment,Paola Cristina Pliego Bañuelos,2026-08-04T22:46:45,https://files-api.properstar.com/api/v2/files/8a400155-3083-4a8b-802d-db57bf81976c/1; https://files-api.properstar.com/api/v2/files/abcdb4e6-cad6-4948-ba9e-eff673f89396/1; https://files-api.properstar.com/api/v2/files/baea369d-ba42-4858-8631-77a5b00d44b6/1; https://files-api.properstar.com/api/v2/files/1fcacf54-184a-4668-85c5-603bd6cd5436/1; https://files-api.properstar.com/api/v2/files/7e128c2a-d4c5-4672-bb76-727dae3b0a3f/1; https://files-api.properstar.com/api/v2/files/3d53af50-bfe8-429a-8fdc-e9d64a549cb2/1; https://files-api.properstar.com/api/v2/files/668f2b63-eac3-4877-b12f-ea9d48269788/1; https://files-api.properstar.com/api/v2/files/ce40a932-02ef-4d7e-b7a8-05cf7332940e/1; https://files-api.properstar.com/api/v2/files/fdd2bfd7-50b6-4fd3-b3e7-f9dfd750899f/1
119329082,"House for rent in Loma Encantada, San Jose del Cabo furnished.",https://www.properstar.co.uk/listing/119329082,"GBP 1,300","Loma Encantada, Los Cabos, Mexico",23.07987,-109.712404,,2,,House with flats,Paola Cristina Pliego Bañuelos,2026-08-04T22:53:22,https://files-api.properstar.com/api/v2/files/96531d18-6d02-4986-a832-0059def41cbe/1; https://files-api.properstar.com/api/v2/files/3d4568f5-7d3f-4d1c-9f00-f408a8612fb0/1; https://files-api.properstar.com/api/v2/files/afd6aa3d-e5d6-4e7d-a1e0-da1c66b5320e/1; https://files-api.properstar.com/api/v2/files/ddae322e-45a1-4d2f-9302-9656480be92e/1; https://files-api.properstar.com/api/v2/files/0b2152bb-ff67-4aaf-93d3-82264f4001b3/1; https://files-api.properstar.com/api/v2/files/8039eb17-7c07-4a6a-a23b-49b3422c34d9/1; https://files-api.properstar.com/api/v2/files/563788c4-fb0f-4204-8bbc-14bf83ffce98/1; https://files-api.properstar.com/api/v2/files/6359c463-26a9-449c-97f1-4a174f96ec71/1; https://files-api.properstar.com/api/v2/files/bc4bcda8-8cb4-417f-94ab-4ae237aa3b39/1; https://files-api.properstar.com/api/v2/files/ee9482b1-0f65-40ba-a4b8-31aa27642b2d/1
118634224,Luxury Long-Term Rental in South Palmilla – Walk to a Private Beach,https://www.properstar.co.uk/listing/118634224,"GBP 8,430","C. Cam. Real 38, Tourist Corridor, Rancho Cerro Colorado, 23405 San José del Cabo, B.C.S., Mexico, San José del Cabo, Mexico",22.997074,-109.730412,5,5,6243.07031,House,Karla & Erick Cabo Realty ,2026-07-11T01:05:31,https://files-api.properstar.com/api/v2/files/e1289bbd-16da-4e5d-a58f-147655915074/1; https://files-api.properstar.com/api/v2/files/4135657a-fe8e-4699-b96b-8cceee2152aa/1; https://files-api.properstar.com/api/v2/files/ef08dfef-6491-43fa-93fd-094b4fdaae63/1; https://files-api.properstar.com/api/v2/files/b7d4b904-9bf9-4762-8301-548559ee8952/1; https://files-api.properstar.com/api/v2/files/646d44ac-6cd1-48a3-b61f-6de9461b62d4/1; https://files-api.properstar.com/api/v2/files/3b7321c1-2350-4a00-80cb-563616fed29f/1; https://files-api.properstar.com/api/v2/files/859af276-c5a0-4bed-bac6-e6b435b8144b/1; https://files-api.properstar.com/api/v2/files/c7b6a745-7e09-4e56-b1f5-654985efb25e/1; https://files-api.properstar.com/api/v2/files/11e300d1-9fbe-47cc-8cbf-fc9dcd77be75/1; https://files-api.properstar.com/api/v2/files/9fa67078-71f2-4d85-b6ae-a334ca60c610/1; https://files-api.properstar.com/api/v2/files/13660c4b-855c-4b99-b9fb-1b09776c6e5c/1; https://files-api.properstar.com/api/v2/files/3ad75aef-47a5-414f-9c30-08c13ded31c3/1; https://files-api.properstar.com/api/v2/files/cef24864-2356-45f5-a444-0d3c9078de06/1; https://files-api.properstar.com/api/v2/files/22c775cd-2a7f-4c13-9bb2-ca53aaef9344/1; https://files-api.properstar.com/api/v2/files/610c4998-be23-4833-bb19-e2847be3560c/1; https://files-api.properstar.com/api/v2/files/d8b289a7-ecfc-43b9-9f00-d44da78f22e1/1; https://files-api.properstar.com/api/v2/files/dd72204f-8626-48f1-b891-5d289c69c158/1; https://files-api.properstar.com/api/v2/files/9f636231-e4db-440f-b629-3e46a3389e8f/1
118153714,Americans Are Renting Homes Like This in Puerto Los Cabos | Luxury Home,https://www.properstar.co.uk/listing/118153714,"GBP 7,331","38GP+MF, San José del Cabo, Mexico",23.076687,-109.663813,4,4,2368.06128,House,Karla & Erick Cabo Realty ,2026-07-11T00:08:05,https://files-api.properstar.com/api/v2/files/25c03723-0120-4cb4-a7cb-1de04fc99fcc/1; https://files-api.properstar.com/api/v2/files/8ad554b3-6dc5-4a6c-9a25-6a595be4805d/1; https://files-api.properstar.com/api/v2/files/25623a6a-6a09-4fe8-84fe-c512a87995bb/1; https://files-api.properstar.com/api/v2/files/33da5f8b-2dbe-4272-bc53-f73c7e737898/1; https://files-api.properstar.com/api/v2/files/3119edae-c400-4461-a01c-0d3a1ae5796f/1; https://files-api.properstar.com/api/v2/files/1f3ab955-4280-4820-9b66-c120d7e1ee99/1; https://files-api.properstar.com/api/v2/files/c995bacd-0b90-47c5-8985-39d82d196783/1; https://files-api.properstar.com/api/v2/files/fdb0872e-853b-4171-8d21-30c2bfa20a66/1; https://files-api.properstar.com/api/v2/files/fdda6216-dbcb-4d4d-953e-31f42959ae85/1; https://files-api.properstar.com/api/v2/files/d32723f4-3dc6-4cb0-b94c-1a9eedf64725/1; https://files-api.properstar.com/api/v2/files/dc97d911-d4d1-416a-9357-bd2bb1b64ddb/1; https://files-api.properstar.com/api/v2/files/6222e271-37f5-46cb-bc24-c15fca8ce913/1
119632266,"Furnished 2-Bedroom Condo for Rent in Bajaterra, Cabo San Lucas",https://www.properstar.co.uk/listing/119632266,"GBP 1,105","1513 12 de Octubre, Cabo San Lucas, Mexico",22.891089,-109.917036,0,2,1076.39148,Furnished apartment,Paola Cristina Pliego Bañuelos,2026-08-17T23:59:26,https://files-api.properstar.com/api/v2/files/ed4aa16e-27a0-44ca-a2ec-3560109d9934/1; https://files-api.properstar.com/api/v2/files/d372a21c-c129-48a1-b2a6-7f244e25f04e/1; https://files-api.properstar.com/api/v2/files/b828f013-7847-43fe-98ae-4914cdb1212e/1; https://files-api.properstar.com/api/v2/files/25f01d19-c22a-479b-9be3-7e6a94a6dc69/1; https://files-api.properstar.com/api/v2/files/9b8c103d-2659-47e6-ae27-1494b7204d73/1; https://files-api.properstar.com/api/v2/files/5165fef6-9dbe-46ae-af78-3f545e3d02bb/1; https://files-api.properstar.com/api/v2/files/c8c1b51f-b5bb-40f2-9cba-d2ed6bfd1422/1; https://files-api.properstar.com/api/v2/files/3142e0bd-d8e2-4e14-93b6-bdf740a110c9/1; https://files-api.properstar.com/api/v2/files/71b1961c-8804-4164-993b-158b7a187b09/1; https://files-api.properstar.com/api/v2/files/b05695d8-dfa2-4310-868e-c5ac167c4e46/1
117515378,"Apartment for rent in Vista Vela phase 1, in Cabo San Lucas, with ocean view.",https://www.properstar.co.uk/listing/117515378,"GBP 1,950","W449+GJ, 23467 El tezal, BCS, Mexico, El tezal, Mexico",22.906312,-109.880938,,3,,Furnished apartment,Paola Cristina Pliego Bañuelos,2026-06-12T01:20:11,https://files-api.properstar.com/api/v2/files/8c3dcd2e-de6a-45a2-9006-990741c67b0d/1; https://files-api.properstar.com/api/v2/files/286a7e32-a3a2-4e9e-bffb-8a23da92d840/1; https://files-api.properstar.com/api/v2/files/293c5e3e-0647-4ec7-a2c5-89a4c4c90056/1; https://files-api.properstar.com/api/v2/files/d7cc17bf-6f55-4db5-aa73-a988bec3b778/1; https://files-api.properstar.com/api/v2/files/70f81726-37cf-4b04-9124-b988310391a5/1; https://files-api.properstar.com/api/v2/files/acb9f34e-91a8-4919-8655-25052bb9eb43/1; https://files-api.properstar.com/api/v2/files/dd48977a-469d-4dd6-8fd7-f598f2e9b129/1; https://files-api.properstar.com/api/v2/files/4ad70d32-0925-41f8-b83a-49584a27ca7a/1; https://files-api.properstar.com/api/v2/files/bbfe37a0-fbb3-4a95-a00a-0e89944ab3e1/1; https://files-api.properstar.com/api/v2/files/9a27483d-4ec4-468c-a29c-c15b51488adc/1; https://files-api.properstar.com/api/v2/files/0e9c8548-1523-429a-a90e-4d954b5d5519/1; https://files-api.properstar.com/api/v2/files/7193518b-3bf7-4212-a8bd-e4a0df9aa0f7/1; https://files-api.properstar.com/api/v2/files/a6e8c61f-b2de-41da-a826-2869f599e6d2/1; https://files-api.properstar.com/api/v2/files/43811a04-5484-47cd-bbbb-d067baff2e3d/1; https://files-api.properstar.com/api/v2/files/d7021979-cdf8-4362-a5ae-76f27528f979/1; https://files-api.properstar.com/api/v2/files/19438b69-2ac3-4f3a-90d2-1359742aa608/1; https://files-api.properstar.com/api/v2/files/d6f62205-fca8-4679-8ded-480907e23214/1; https://files-api.properstar.com/api/v2/files/39b9c800-39bd-43be-9363-6ab1a686ee78/1; https://files-api.properstar.com/api/v2/files/b76ae93c-d24b-4dfb-8c6b-efb6cc48002a/1; https://files-api.properstar.com/api/v2/files/972e6961-c052-474a-ba93-53a89c36dcc1/1
117436233,APARTMENT FOR RENT TERRA 194 | SUNSET AREA | CABO SAN LUCAS,https://www.properstar.co.uk/listing/117436233,GBP 997,"C. Cabo San Lucas S/N, Centro, 23470 Cabo San Lucas, B.C.S., Mexico, Cabo San Lucas, Mexico",22.883678,-109.915554,,2,1076.39148,Furnished apartment,Paola Cristina Pliego Bañuelos,2026-06-09T18:21:41,https://files-api.properstar.com/api/v2/files/48b833bd-2a39-4c13-a278-a29a9f204251/1; https://files-api.properstar.com/api/v2/files/351a4928-e123-45f9-bc9a-e319a139f189/1; https://files-api.properstar.com/api/v2/files/f667bdd7-078b-4472-a159-cf98ac9291ed/1; https://files-api.properstar.com/api/v2/files/f4d9b9bf-0c1f-4fc3-ad64-d88b1ae930bd/1; https://files-api.properstar.com/api/v2/files/55ce64fa-4965-487b-b3b7-faf41a202fb8/1; https://files-api.properstar.com/api/v2/files/835976e9-2576-48b5-9d72-aa69c97c2aaf/1; https://files-api.properstar.com/api/v2/files/498d1908-d68b-4827-91bd-d59ad3667282/1; https://files-api.properstar.com/api/v2/files/e583f9ec-e370-488b-85f0-33730f201963/1; https://files-api.properstar.com/api/v2/files/8149a63f-9a23-48f8-aaa5-bd2eb7706fe0/1
119501682,Furnished 2 bedroom condo for rent in Cabo San Lucas with beach access,https://www.properstar.co.uk/listing/119501682,"GBP 1,100","Paseo de los Cabos Casa Cazadora 119A, Cabo San Lucas, Mexico",22.904175,-109.864207,2,2,,Apartment,CENTURY 21 Legendary Realty,2026-08-12T03:27:23.49,https://files-api.properstar.com/api/v2/files/f1cb9f28-a167-41df-ad38-0485e8741731/1; https://files-api.properstar.com/api/v2/files/884378e2-3759-43f2-8d92-f1e8492f2725/1; https://files-api.properstar.com/api/v2/files/308074b9-b662-4cdc-b0eb-d6c0c881a00a/1; https://files-api.properstar.com/api/v2/files/7278f301-ce6e-4cd9-b946-893aa77f699a/1; https://files-api.properstar.com/api/v2/files/9243a6ef-a19e-43de-90b4-cbc14390a15d/1; https://files-api.properstar.com/api/v2/files/63a1702f-1593-45bb-a337-43a9e5ec2be5/1; https://files-api.properstar.com/api/v2/files/a8d970c2-6575-44c5-ad09-fc6b76001b76/1; https://files-api.properstar.com/api/v2/files/03927070-d809-47ce-bbfa-5f233a0ca319/1; https://files-api.properstar.com/api/v2/files/252f9e4f-9756-4109-ae96-5e6c090d70bc/1; https://files-api.properstar.com/api/v2/files/4560eaa3-d5c4-4bc6-8213-3173ee279e1e/1; https://files-api.properstar.com/api/v2/files/e8b71ce5-23bb-4e1e-96af-78eb6229359c/1; https://files-api.properstar.com/api/v2/files/5721e1fb-32c1-4fae-8e26-5851ee0b53be/1; https://files-api.properstar.com/api/v2/files/92e01bf6-2635-4d19-8640-05aee07d5614/1
119460282,"Exclusive Residence with Pacific Ocean Views | ALVAR, Quivira Los Cabos",https://www.properstar.co.uk/listing/119460282,"GBP 5,865","Paraíso Escondido S/N, Paraiso Escondido, 23450 Cabo San Lucas, B.C.S., Mexico, Cabo San Lucas, Mexico",22.873722,-109.938979,,5,5381.95752,Furnished house,Karla & Erick Cabo Realty ,2026-08-10T02:06:38,https://files-api.properstar.com/api/v2/files/60d0318e-c1e6-4059-a038-39257705b3f0/1; https://files-api.properstar.com/api/v2/files/bf47a9a2-d028-47a0-878b-abcc5b1cc6c4/1; https://files-api.properstar.com/api/v2/files/4425b695-0c0b-4cdd-9d9e-dfbf1f1e6b66/1; https://files-api.properstar.com/api/v2/files/753c7e52-ace1-46b8-8b0d-4edd89a1d860/1; https://files-api.properstar.com/api/v2/files/7648fd77-fe9e-49f6-8851-9060ee868e02/1; https://files-api.properstar.com/api/v2/files/b65ee203-8c20-4a94-8451-e9b6ffd18ad4/1; https://files-api.properstar.com/api/v2/files/aceda796-5786-430f-9740-5be4f3c4a788/1; https://files-api.properstar.com/api/v2/files/5158c24b-9faa-493b-899f-ffa004b8acb5/1; https://files-api.properstar.com/api/v2/files/f45dd465-8a36-4961-a69d-363b76047091/1; https://files-api.properstar.com/api/v2/files/dfdf808b-b1e2-41ad-8f04-a00c7f6ffd5a/1; https://files-api.properstar.com/api/v2/files/03d2a0a8-a941-44fe-947a-f0ab7787da23/1; https://files-api.properstar.com/api/v2/files/765c0f9a-e615-4d23-a7f6-cd137fad526b/1; https://files-api.properstar.com/api/v2/files/eb42ee5f-36b0-4dc7-96d9-764a860c2e4b/1; https://files-api.properstar.com/api/v2/files/6dc27403-c81c-42fc-8fd1-f56b4f050124/1; https://files-api.properstar.com/api/v2/files/59fa6c1f-6d99-4842-b494-b5a283345c6f/1; https://files-api.properstar.com/api/v2/files/c310dcb2-2269-4eed-a23c-d03a4a127b90/1; https://files-api.properstar.com/api/v2/files/3e27af22-9b0b-4ff3-9ea6-4345eb38aa83/1; https://files-api.properstar.com/api/v2/files/f8a544d8-8316-4222-95fe-7cbf82598714/1; https://files-api.properstar.com/api/v2/files/0f568e67-27ed-47bc-8302-767f1c45707a/1; https://files-api.properstar.com/api/v2/files/63cc2aec-f8d2-4380-8b99-197452fa71ab/1
