id,title,url,price,location,latitude,longitude,bedrooms,bathrooms,size_sqft,property_type,advertiser,date_listed,pictures
119764225,"Apartment for rent in Portales Norte, Benito Juárez, Mexico City",https://www.properstar.co.uk/listing/119764225,GBP 563,"Portales Norte, Benito Juárez, Presidentes, 511",19.365758,-99.15115,2,1,484,Apartment,Hogar Seguro,2026-08-23,https://files-api.properstar.com/api/v2/files/c6eb9d9c-a3a3-46f2-8d60-0f0eff876cc8/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/c587cf88-1615-4849-9412-9d1228acbc04/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/83f91e82-6786-402d-a2d1-2de9d10fa731/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/0a86aca2-b6b4-401e-a5aa-e2a8c19d6c64/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/821ea094-4fd6-4bd5-9d6e-a8289606062f/1?mode=crop&width=512&height=384&format=jpeg
119763125,"Apartment for rent in Juarez, Cuauhtémoc, Mexico City",https://www.properstar.co.uk/listing/119763125,GBP 758,"Juarez, Cuauhtémoc, Toledo",19.422773,-99.172045,1,1,538,Apartment,Roof bienes raices,2026-08-23,https://files-api.properstar.com/api/v2/files/8f158f03-1350-4529-b058-d1e927521197/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/3b6504a7-5457-4e34-bf1d-0c619acc2081/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/dab64593-9ae4-4de6-b5b3-e5c049a82545/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/253b9b29-b44d-4ab8-aacb-4ae895a0ff7e/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/41e1a26b-af74-43d6-9d45-8c15341c78d3/1?mode=crop&width=512&height=384&format=jpeg
119762835,Department - Portales Norte,https://www.properstar.co.uk/listing/119762835,GBP 779,"Portales Norte, Ciudad de Mexico, Benito Juárez, Portales Norte",19.365758,-99.15115,2,1,645,Apartment,Casasydepascdmx,2026-08-23,https://files-api.properstar.com/api/v2/files/c86be89c-9aea-410c-9c2b-c6a032064cf5/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/5a39ab0c-6fef-4108-819c-56f7a56244c1/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/f9c2b1ee-1a77-455b-8ec9-3e9b09a7eefc/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/59712fd6-5115-47ed-a9fb-97224d4fef56/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/0de25979-9b7a-490c-a7fb-f77e46e31cf6/1?mode=crop&width=512&height=384&format=jpeg
119762952,Departamento at Agrícola Pantitlan,https://www.properstar.co.uk/listing/119762952,GBP 528,"Agrícola Pantitlan, Ciudad de Mexico, Iztacalco, Agrícola Pantitlan",19.410307,-99.065402,3,2,,Apartment,AMCI,2026-08-23,https://files-api.properstar.com/api/v2/files/36a856f8-cee1-4b8d-abf9-c4303a627652/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/da7ed98b-1939-4a62-abbb-1a8e2be44498/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/68e3f7b1-493c-46ac-b782-2e85fee53e05/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/0d93bc48-4bdf-4aba-8639-e31c80cc46af/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/61d1dac7-a33a-4426-be4d-7a205501c1a1/1?mode=crop&width=512&height=384&format=jpeg
119757963,Apartment for RENT. Carola San Pedro de los Pinos,https://www.properstar.co.uk/listing/119757963,GBP 779,"San Pedro de los Pinos, Ciudad de Mexico, Alvaro Obregón, San Pedro de los Pinos",19.386852,-99.194751,2,2,,Apartment,Marianela Pérez,2026-08-22,https://files-api.properstar.com/api/v2/files/00012a2b-2d83-4ab3-bb39-45dab185230a/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/bca90865-0d73-4d27-a3d5-85ed361007e3/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/8428dc20-2a94-4885-b375-895c71f518fe/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/56741108-baee-43de-8dcc-8eb8e325b7df/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/db4f92da-c916-4fa4-b3b5-9532d5e63e47/1?mode=crop&width=512&height=384&format=jpeg
119757914,Apartment for Rent Carola MP 27-196,https://www.properstar.co.uk/listing/119757914,GBP 779,"Carola, Ciudad de Mexico, Alvaro Obregón, Carola",19.385029,-99.194405,2,2,,Apartment,Marianela Pérez,2026-08-22,https://files-api.properstar.com/api/v2/files/4ccbd15d-ad96-4619-9cf5-c9b9f982fe04/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/be0cb60b-ccce-4279-aba8-46add721dfd6/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/af5aac59-07e8-4e84-98bf-0efaaa130671/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/990c62f2-5bc6-413b-a704-48330ccde58e/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/a4a852a9-9e51-40ba-a28a-00e9ad5f84f3/1?mode=crop&width=512&height=384&format=jpeg
119757942,"Apartment for Rent in Carola, Alvaro Obregón JL 27-196.",https://www.properstar.co.uk/listing/119757942,GBP 779,"Carola, Ciudad de Mexico, Alvaro Obregón, Carola",19.385029,-99.194405,2,2,645,Apartment,Javier Laguado,2026-08-22,https://files-api.properstar.com/api/v2/files/4a7868cf-efea-4793-bab1-8f2278c4bb45/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/f421e9d0-bcb0-494a-a04e-3d133897f392/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/6cb31ea4-56d1-4b54-877e-d9644ea9ff2a/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/babfdf26-517e-44e8-9492-35d60e38ba50/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/175ea598-0ab8-47f8-9b21-3b4457e50252/1?mode=crop&width=512&height=384&format=jpeg
119757906,Apartment for Rent San Antonio,https://www.properstar.co.uk/listing/119757906,GBP 779,"Carola, Ciudad de Mexico, Alvaro Obregón, Carola",19.385029,-99.194405,2,2,,Apartment,Rent-A-House Insurgentes Sur,2026-08-22,https://files-api.properstar.com/api/v2/files/119f6371-f151-4b4b-93fb-6560d578f24d/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/6ab0a5e5-e788-45a5-8dd5-1f2703d4d7b8/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/03bdbc19-7b7d-4244-94e9-73d4476915bb/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/d14f6885-3566-4628-8495-86f4f666be69/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/fcb30718-d5b6-4521-8fff-907a6d25613a/1?mode=crop&width=512&height=384&format=jpeg
119741394,"Apartment for rent in Martires de Rio Blanco, Gustavo A. Madero, Mexico City",https://www.properstar.co.uk/listing/119741394,GBP 606,"Martires de Rio Blanco, Gustavo A. Madero",19.460219,-99.113105,1,1,592,Apartment,OPUS Realty Invest,2026-08-22,https://files-api.properstar.com/api/v2/files/9f1a9ed1-305b-498d-a8b1-95c15718ed17/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/4995b1fe-538f-4233-b199-4166bd967a31/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/68c22014-667d-4380-8cbd-f65e6406fdc3/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/e336dc72-8fd4-45fc-9e6b-687e6b9c9691/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/de7428c0-3296-4e59-91ab-b2d7d5316130/1?mode=crop&width=512&height=384&format=jpeg
119740346,"Apartment for rent in Nueva Santa Anita, Iztacalco, Mexico City",https://www.properstar.co.uk/listing/119740346,GBP 433,"Nueva Santa Anita, Iztacalco, SUR 75, 4433",19.399994,-99.127837,1,1,559,Apartment,Cazenave Inmobiliaria,2026-08-22,https://files-api.properstar.com/api/v2/files/476185b8-9aef-46c7-8b35-f1b029525d5b/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/60289600-70cb-415c-b41b-8defcef11c90/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/8cd54179-4864-4e1a-bbb3-5b862f34e4e1/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/e9810cef-9b96-42bf-9ef0-8a2de97c810c/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/434eb905-493b-495a-9f72-cee38954af0b/1?mode=crop&width=512&height=384&format=jpeg
