id,title,url,price,location,latitude,longitude,bedrooms,bathrooms,size_sqft,property_type,advertiser,date_listed,pictures
116244891,"Furnished House for Rent in Fluvial Vallarta, within Residencial Entre Ríos",https://www.properstar.co.uk/listing/116244891,"GBP 1,430","Rio Nazas 105, Puerto Vallarta, Mexico",20.654243,-105.226664,4,2,,House,CENTURY 21 Bayside Properties,2026-05-01T03:20:51.69,https://files-api.properstar.com/api/v2/files/c6e48cc9-3fa8-44a6-ac4e-b34b8c334f2c/1; https://files-api.properstar.com/api/v2/files/e7d801d7-8890-4228-99e1-2621c2193f3b/1; https://files-api.properstar.com/api/v2/files/b5e1dc9b-27c8-485b-bb83-502164bcabd4/1; https://files-api.properstar.com/api/v2/files/268387cf-33d6-47a4-9f02-ab9d53cffb35/1; https://files-api.properstar.com/api/v2/files/d4e8f88e-63fc-47dd-bf30-7460fda9e902/1; https://files-api.properstar.com/api/v2/files/1fe16564-74f7-410c-98c2-ecee86e4ece3/1; https://files-api.properstar.com/api/v2/files/80a21912-af70-43dc-aaaa-905baee2a48d/1; https://files-api.properstar.com/api/v2/files/cf83ebb7-8279-4b1d-9062-4b30dd8ee4d9/1; https://files-api.properstar.com/api/v2/files/9eff53b1-4179-4967-a453-48ca0bc16fd9/1; https://files-api.properstar.com/api/v2/files/8ea738dd-a6cc-49e7-8a42-4069a9e42dd7/1; https://files-api.properstar.com/api/v2/files/24387773-7fdd-435f-95b0-b51cb1074e38/1; https://files-api.properstar.com/api/v2/files/1199ce5c-ba4f-4704-b4c3-341ce750be1e/1; https://files-api.properstar.com/api/v2/files/dccf4138-50e9-4034-b033-9e83fbd28163/1; https://files-api.properstar.com/api/v2/files/487e56bc-1e1e-4e73-8b8e-5173b18977d4/1; https://files-api.properstar.com/api/v2/files/055e51ad-4d11-4122-b62e-e12d0c4d56e1/1; https://files-api.properstar.com/api/v2/files/a545eaa8-ad1e-4ff5-b3f4-6b75013f9148/1; https://files-api.properstar.com/api/v2/files/33e245f1-0985-4da7-9213-c33e228766ed/1; https://files-api.properstar.com/api/v2/files/73a528a4-9bc5-4830-bfce-25e8ef4aca3d/1; https://files-api.properstar.com/api/v2/files/f20da112-36a2-40bb-b6f3-83b3a84d3517/1; https://files-api.properstar.com/api/v2/files/39fe62d9-6dc0-4abc-a78c-69e0a5908818/1; https://files-api.properstar.com/api/v2/files/2850cfea-bc6e-49d7-80d6-5f389a01348f/1; https://files-api.properstar.com/api/v2/files/36969231-962c-4427-9d8b-9b11c00cc35d/1; https://files-api.properstar.com/api/v2/files/920a79f4-822d-4811-85c6-c41fd0e8ca24/1; https://files-api.properstar.com/api/v2/files/01fa3d85-d73e-4296-967b-cd4948420633/1; https://files-api.properstar.com/api/v2/files/658c9c58-1c81-4b78-a8fb-905f3f5af2d2/1; https://files-api.properstar.com/api/v2/files/d6639819-a310-41e5-be63-0fe287f41770/1; https://files-api.properstar.com/api/v2/files/fb7b8955-4091-47ed-bf09-9d4417c00553/1; https://files-api.properstar.com/api/v2/files/84df055e-d981-4626-9c5a-cc38c79e0de8/1
119588594,"Furnished Apartment for Rent in Torre Diamante, Bamboo Residential",https://www.properstar.co.uk/listing/119588594,"GBP 1,127","Mezquite 447, Puerto Vallarta, Mexico",20.658772,-105.228413,2,2,,Apartment,CENTURY 21 Bayside Properties,2026-08-15T03:15:55.687,https://files-api.properstar.com/api/v2/files/f3cbdd69-7b97-4bec-99b7-bac900d26337/1; https://files-api.properstar.com/api/v2/files/3ba03117-6d30-47a8-9405-c43ce0e4a03a/1; https://files-api.properstar.com/api/v2/files/0f862d7b-9412-4dff-ad4c-ef87da4dfe80/1; https://files-api.properstar.com/api/v2/files/c1805fc5-5809-4077-949e-cc6ad11e7cef/1; https://files-api.properstar.com/api/v2/files/ee308a1c-3ffe-46ab-96c1-2426c36f02df/1; https://files-api.properstar.com/api/v2/files/eff42d2b-0467-421c-a18e-d73afa0b4cff/1; https://files-api.properstar.com/api/v2/files/68e927e2-b247-41e9-a035-c4e63112d82f/1; https://files-api.properstar.com/api/v2/files/e0227b48-5262-447a-a5b1-fb819e9ec4bf/1; https://files-api.properstar.com/api/v2/files/e4ccbb41-a456-46b5-b6d1-90c3bb9838a2/1; https://files-api.properstar.com/api/v2/files/c5c313f3-66b9-40a9-a3ba-8fc7bb714579/1; https://files-api.properstar.com/api/v2/files/62714077-bd86-49ec-aa3f-b360313d5bac/1; https://files-api.properstar.com/api/v2/files/8a3cc18a-3fb7-4877-ae34-e4a1a88f0247/1; https://files-api.properstar.com/api/v2/files/86d83c8a-2549-4561-9ed9-9a4b890e96c5/1; https://files-api.properstar.com/api/v2/files/87181c34-869b-4328-8b1a-49b4cda5bb7d/1; https://files-api.properstar.com/api/v2/files/1a8eba51-605d-41a5-8063-de3caf8b4183/1; https://files-api.properstar.com/api/v2/files/663b6032-89c8-4f1c-a3f4-e5387bbd73f5/1; https://files-api.properstar.com/api/v2/files/e81ea3e4-9b7a-4fc3-af5a-21d55a5b11ab/1; https://files-api.properstar.com/api/v2/files/e85d2241-05da-4583-b49b-255e82e36ced/1; https://files-api.properstar.com/api/v2/files/458c72c6-e92e-4967-a0d9-ef67b7b29cb6/1; https://files-api.properstar.com/api/v2/files/50974520-0c1b-466a-b3ed-e53429a884fd/1; https://files-api.properstar.com/api/v2/files/68f23d54-8314-4674-80ee-f11dd86115e8/1; https://files-api.properstar.com/api/v2/files/10ad72eb-8556-473d-aec1-5bbb1fcf1fa7/1
117441674,"Property for RENT - Avenida Fluvial Vallarta 260, Fracc Residencial Fluvial Vallarta, 48312 Puerto Vallarta, Jal, Mexico",https://www.properstar.co.uk/listing/117441674,"GBP 2,817","Avenida Fluvial Vallarta 260, Fracc Residencial Fluvial Vallarta, 48312 Puerto Vallarta, Jal, México, Puerto Vallarta, Mexico",20.643014,-105.2302,2,3,,House,KW Bahia,2026-06-10T03:11:47.01,https://files-api.properstar.com/api/v2/files/a5f1eda0-e3a1-4f23-b484-06182e28ee14/1; https://files-api.properstar.com/api/v2/files/3c4fa00d-9a0e-4897-801c-dc4beec84310/1; https://files-api.properstar.com/api/v2/files/586a2316-b782-4b28-9ad8-c15a46eaef5c/1; https://files-api.properstar.com/api/v2/files/812306af-1cb9-452d-9bfa-6fee7ab6ebee/1; https://files-api.properstar.com/api/v2/files/0e1c5f65-08c6-4cf9-9723-0f12a897d288/1; https://files-api.properstar.com/api/v2/files/0928c099-f905-40ef-8903-98a743b09152/1; https://files-api.properstar.com/api/v2/files/56318fb2-3b6c-4a3d-af2c-ea3ed30e1715/1; https://files-api.properstar.com/api/v2/files/b09d59b2-2904-4645-8d40-d721f6ffa2c3/1; https://files-api.properstar.com/api/v2/files/4f9f2b29-dbe9-461c-aff7-5aa1b9f77cc1/1; https://files-api.properstar.com/api/v2/files/982b7d61-ef5d-47fa-8d67-3a5b7ffc1c84/1
118942992,"House for Rent in Fluvial Vallarta, Puerto Vallarta - 3 bedrooms, unfurnished",https://www.properstar.co.uk/listing/118942992,"GBP 1,300","Lago Tangañica 205, Puerto Vallarta, Mexico",20.645891,-105.223533,3,2,,House,CENTURY 21 Bayside Properties,2026-07-23T04:02:30.563,https://files-api.properstar.com/api/v2/files/15723ae8-0188-4b41-b91c-8076947e5c48/1; https://files-api.properstar.com/api/v2/files/912c0901-065c-45c1-9100-0760e83b9d72/1; https://files-api.properstar.com/api/v2/files/f767baca-e232-47d2-ab31-52398398c771/1; https://files-api.properstar.com/api/v2/files/164e2fc7-4e15-40d2-91e8-53f5d075a8df/1; https://files-api.properstar.com/api/v2/files/00c1220d-8d68-4cdc-8c3e-fdc62947f8e7/1; https://files-api.properstar.com/api/v2/files/9d32d9e4-33e0-4fe9-acf2-aee1306f2897/1; https://files-api.properstar.com/api/v2/files/a845c755-c1c1-4fed-b4c5-c37ba1f873f4/1; https://files-api.properstar.com/api/v2/files/ace7fccc-cf12-479a-b634-aa99762a5e4c/1; https://files-api.properstar.com/api/v2/files/7b0eda69-0949-4036-a5b7-9eb21a0cad81/1; https://files-api.properstar.com/api/v2/files/e286eb00-1bf9-4ba0-9f8c-9017b29e22b7/1; https://files-api.properstar.com/api/v2/files/cf8d59d0-3c62-4845-9b3d-cbcfbd9a527a/1; https://files-api.properstar.com/api/v2/files/fec78c80-a04f-4fb0-b45e-d89d9acec56e/1; https://files-api.properstar.com/api/v2/files/b293d69a-e0d4-4756-90fd-02c2bab3a889/1; https://files-api.properstar.com/api/v2/files/8ab404aa-74b5-446b-bcc6-02d95caf6269/1; https://files-api.properstar.com/api/v2/files/1e81026c-8b84-40b0-b5e4-267a620af7e4/1; https://files-api.properstar.com/api/v2/files/1126b56c-20ba-4592-9518-72e2ba88122d/1; https://files-api.properstar.com/api/v2/files/40802156-287d-47d2-9a07-b119a6c6fcf6/1; https://files-api.properstar.com/api/v2/files/3cde0584-34d9-4306-8bcf-e4b9498b04d8/1; https://files-api.properstar.com/api/v2/files/a1d340ef-4b92-40c4-92d9-e6b7e999bcc7/1; https://files-api.properstar.com/api/v2/files/b1badbe7-7e2a-4384-99e1-6fabe72b897b/1
119633491,"Apartment for rent in Los Fresnos Condominium, Puerto Vallarta, Jalisco.",https://www.properstar.co.uk/listing/119633491,GBP 542,"Papelillo 22 Departamento 7, Puerto Vallarta, Mexico",20.660533,-105.226794,2,2,,Apartment,CENTURY 21 IBARRIA Realtors,2026-08-18T03:09:52.3,https://files-api.properstar.com/api/v2/files/13858d1a-a94d-459b-9330-c8994d1ad352/1; https://files-api.properstar.com/api/v2/files/63a3fd5b-ca12-4799-9feb-1755a09f7261/1; https://files-api.properstar.com/api/v2/files/d2da37e8-7a42-4770-b1aa-fe0801af3ff6/1; https://files-api.properstar.com/api/v2/files/4b5cd793-b6b2-4c00-bed6-3a4c9a23c6bb/1; https://files-api.properstar.com/api/v2/files/5ca7a852-d2dd-43ee-ad5f-57a6663a27e1/1; https://files-api.properstar.com/api/v2/files/1c676636-472f-49ca-8f4e-6899be435f4a/1; https://files-api.properstar.com/api/v2/files/d12c48c9-17fd-4f26-b6c4-66430f3c2231/1; https://files-api.properstar.com/api/v2/files/afd2b7a1-fbd2-4a16-a16a-6cd62e27ffed/1; https://files-api.properstar.com/api/v2/files/0b579378-b344-4834-993f-ec685a9f0d42/1; https://files-api.properstar.com/api/v2/files/59e225dd-af03-4adc-bb70-0d76eb662425/1; https://files-api.properstar.com/api/v2/files/cb5e60d2-e66d-454c-bcce-e7e4980cb593/1; https://files-api.properstar.com/api/v2/files/80671dcd-ad59-4e61-ac31-f7a6495522bd/1; https://files-api.properstar.com/api/v2/files/ebb48c33-36ed-4ef6-8532-9fe3705817b0/1; https://files-api.properstar.com/api/v2/files/834313d8-f791-4b6a-a26a-0b84ff1c1c1d/1; https://files-api.properstar.com/api/v2/files/a1512ef4-80d8-410d-a6d8-f96e9273d33e/1; https://files-api.properstar.com/api/v2/files/78cac890-1303-42ed-9ad8-48a9bd1b6253/1; https://files-api.properstar.com/api/v2/files/4b3fb7cc-44ea-4a2a-bd25-57a6d8a35f4d/1; https://files-api.properstar.com/api/v2/files/2a8e2254-11b9-46c0-80a0-8310f87c86c9/1; https://files-api.properstar.com/api/v2/files/f65574b2-b705-46b7-ad1f-880b1d2f87fb/1; https://files-api.properstar.com/api/v2/files/7f7bf480-342f-45d9-aba9-84a48f187d75/1; https://files-api.properstar.com/api/v2/files/9e542a9c-447e-4954-bfa3-03535e4d8994/1; https://files-api.properstar.com/api/v2/files/0870b512-befd-4ce5-9e8e-ad98787e798e/1; https://files-api.properstar.com/api/v2/files/aaf15398-5f4f-40ef-a78c-0364e2ffcbe3/1; https://files-api.properstar.com/api/v2/files/3c79a2de-c97b-4bfe-8acc-cc4d85aee781/1; https://files-api.properstar.com/api/v2/files/a64d10f9-9da3-423b-96c4-ee99f1f8e644/1; https://files-api.properstar.com/api/v2/files/7cead269-864e-499e-abc5-de60ed217dc5/1; https://files-api.properstar.com/api/v2/files/fd6f9f59-accb-4ebf-a74a-a611690028ce/1; https://files-api.properstar.com/api/v2/files/a046f3b7-cdbe-4026-8bb0-e67a0e4f587d/1; https://files-api.properstar.com/api/v2/files/6e0b8573-6c34-4abb-a669-537d3bf56128/1; https://files-api.properstar.com/api/v2/files/a9b8e388-d70f-46d5-a5c3-e919eff51ba3/1; https://files-api.properstar.com/api/v2/files/754ab31e-4aee-4520-ba86-6e520d1c6637/1; https://files-api.properstar.com/api/v2/files/0ad8d1c4-f195-4097-88db-1c8ed09a7171/1; https://files-api.properstar.com/api/v2/files/3ea22a55-8d20-4821-85dd-3fc4e1a26725/1
119633455,"Apartment for Rent in Colonia El Toro, Puerto Vallarta, Jalisco",https://www.properstar.co.uk/listing/119633455,GBP 433,"Ecuador ""BUGAMBILIA"" 198, Puerto Vallarta, Mexico",20.650895,-105.212899,1,1,,Apartment,CENTURY 21 IBARRIA Realtors,2026-08-18T03:09:52.3,https://files-api.properstar.com/api/v2/files/e1555fd5-5c91-4cb2-87c5-43c309894bf3/1; https://files-api.properstar.com/api/v2/files/962cad25-f9dd-4f69-91b0-9d82ed3c9660/1; https://files-api.properstar.com/api/v2/files/171512a4-54b9-4601-b552-6f0279d9d9a4/1; https://files-api.properstar.com/api/v2/files/b140165f-bc05-4d0d-a111-534449334ede/1; https://files-api.properstar.com/api/v2/files/eb6e1d39-9041-4a08-9e48-6ad4cf606bc4/1; https://files-api.properstar.com/api/v2/files/3d6b07b0-f549-4437-b7cb-99295d2795f8/1; https://files-api.properstar.com/api/v2/files/caf27165-5592-4ffc-ae42-1abc41375937/1; https://files-api.properstar.com/api/v2/files/1eeafb07-a9db-4226-9eb3-cecb87d5f3a9/1; https://files-api.properstar.com/api/v2/files/7568428c-7e2b-4074-9e13-ab42205bd2f8/1; https://files-api.properstar.com/api/v2/files/462f9f3e-16c2-45b9-8d2c-b5be405c6110/1; https://files-api.properstar.com/api/v2/files/e29630b2-2814-458e-848a-335bf1e82641/1; https://files-api.properstar.com/api/v2/files/a0877138-2a8b-4d45-9561-283c0d745703/1; https://files-api.properstar.com/api/v2/files/c5e8e8d0-f43f-402b-8388-d9e966a9b327/1; https://files-api.properstar.com/api/v2/files/d957a4e5-0dc5-429a-8f87-fef4a0f884e0/1; https://files-api.properstar.com/api/v2/files/bc34eadb-6885-444a-b722-f789f668c024/1
119717014,"Apartment for rent in Sin Colonia, Puerto Vallarta, Jalisco",https://www.properstar.co.uk/listing/119717014,"GBP 1,300","Sin colonia, Puerto Vallarta, Mexico",20.656518,-105.211358,2,2,1227.0863,Apartment,Karynna Cantú,2026-08-21T07:04:13.93,https://files-api.properstar.com/api/v2/files/62d2811c-1d94-4161-a3d8-ae36ee35653a/1; https://files-api.properstar.com/api/v2/files/53ba2602-5b94-49c9-a0ac-256b538ee3c3/1; https://files-api.properstar.com/api/v2/files/afc6e840-5c04-4e29-bc32-c978fb08e6a9/1; https://files-api.properstar.com/api/v2/files/cf87f7c3-6ca6-4639-b6bc-539678d7058b/1; https://files-api.properstar.com/api/v2/files/c228dfc0-0775-4ef3-9692-2e825a82cb68/1
119658415,"Apartment for Rent in Colonia El Toro, Puerto Vallarta, Jalisco",https://www.properstar.co.uk/listing/119658415,GBP 433,"Ecuador ""TULIPAN"" 198, Puerto Vallarta, Mexico",20.650895,-105.212899,1,1,,Apartment,CENTURY 21 IBARRIA Realtors,2026-08-19T03:28:24.463,https://files-api.properstar.com/api/v2/files/687694bd-fd4a-4b34-a5f9-0457861820de/1; https://files-api.properstar.com/api/v2/files/b1e580b3-79f3-4814-84fb-e23c93b9f6fc/1; https://files-api.properstar.com/api/v2/files/ccb3c3ee-25f0-499f-bda0-56b5f622fd38/1; https://files-api.properstar.com/api/v2/files/42455be3-42ff-4aef-b251-c6cde39b43d3/1; https://files-api.properstar.com/api/v2/files/b6583df8-198f-4e49-9483-ab2dd14cbef8/1; https://files-api.properstar.com/api/v2/files/8a92890e-1480-4ba5-8dc9-6310849398ed/1; https://files-api.properstar.com/api/v2/files/14c4ae11-348d-4d2f-a598-5e52b8634e94/1; https://files-api.properstar.com/api/v2/files/a83371a0-d6df-4f15-8179-976ef03a595c/1; https://files-api.properstar.com/api/v2/files/adc4c8e0-9055-492d-ab99-ef3366ba742b/1; https://files-api.properstar.com/api/v2/files/74787124-2035-42a4-b8b6-c873667ec52f/1; https://files-api.properstar.com/api/v2/files/9768881d-2bb5-457e-85fe-449e2f9e1dbf/1; https://files-api.properstar.com/api/v2/files/d01f237f-dab0-48ef-ad87-85e05ea7990f/1; https://files-api.properstar.com/api/v2/files/d72270f4-d97c-45a7-b1ea-7750d34265ad/1; https://files-api.properstar.com/api/v2/files/bf65b6ab-bc58-44b4-ab4f-fe6d42d19f0c/1
119474950,"Studio for rent in Sunsetower colonia 5 de Diciembre, Puerto Vallarta, Jal.",https://www.properstar.co.uk/listing/119474950,"GBP 1,278","Bolivia 1280, Puerto Vallarta, Mexico",20.616729,-105.22972,,1,,Apartment,CENTURY 21 IBARRIA Realtors,2026-08-11T03:14:09.71,https://files-api.properstar.com/api/v2/files/73793e97-bec4-4304-982a-4a7cc2d39f58/1; https://files-api.properstar.com/api/v2/files/0702ea1c-7b9b-4ae5-af0c-de591912ecd3/1; https://files-api.properstar.com/api/v2/files/f54f5f14-8f2e-45a0-8ea3-50f676f69868/1; https://files-api.properstar.com/api/v2/files/e86409b9-7ae6-4e8b-8fc5-402055f4c291/1; https://files-api.properstar.com/api/v2/files/f6cb9b0e-356b-423b-8e8c-3d92b7bb3a48/1; https://files-api.properstar.com/api/v2/files/b09b680b-637a-48f2-8bd6-e331f7f0eb16/1; https://files-api.properstar.com/api/v2/files/e1e63778-3068-4b72-bdc6-349e40fd8769/1; https://files-api.properstar.com/api/v2/files/8f70aeff-9b8b-4196-8498-98cf607b45a6/1; https://files-api.properstar.com/api/v2/files/08ed26f3-5473-4970-bc04-15313fd59213/1; https://files-api.properstar.com/api/v2/files/f730e34d-ce8e-494c-af0d-b233d408be6c/1; https://files-api.properstar.com/api/v2/files/feaf7b85-5ccd-4c20-9bce-6d59847a61ff/1; https://files-api.properstar.com/api/v2/files/c83bf47f-899f-4a85-8b04-28bb32a25dab/1; https://files-api.properstar.com/api/v2/files/f28d97cf-7f25-4bb9-881c-df06dc3c05df/1; https://files-api.properstar.com/api/v2/files/5b66294a-b6c4-46c0-998b-776bbbe87df6/1; https://files-api.properstar.com/api/v2/files/0e1d5c0e-db51-4425-bfc0-566f65ca94f3/1; https://files-api.properstar.com/api/v2/files/f9011084-2315-44a1-b589-dc024746c745/1; https://files-api.properstar.com/api/v2/files/3a8bb95d-b5db-45cd-8c58-0e4d69aa715d/1
119557929,"Apartment for Rent in the Marina, Puerto Vallarta Jalisco",https://www.properstar.co.uk/listing/119557929,"GBP 5,633","Avenida Paseo de la Marina 31, Marina Vallarta, 48335 Puerto Vallarta, Jal, México, Puerto Vallarta, Mexico",20.665847,-105.252196,3,3,2497.22827,Apartment,KW Grand,2026-08-14T02:57:08.357,https://files-api.properstar.com/api/v2/files/a88d5c98-25ac-4cd9-9461-4a4333c53c6d/1; https://files-api.properstar.com/api/v2/files/41154683-7fd5-4c1a-b908-f63f253ada00/1; https://files-api.properstar.com/api/v2/files/c151fd0b-4364-4318-b0e2-9ae4fd6d8221/1; https://files-api.properstar.com/api/v2/files/d02c0995-c3d8-4bf6-ab01-59e288295ddc/1; https://files-api.properstar.com/api/v2/files/ce0757f9-f093-465e-a88d-45e5b9f51d0e/1; https://files-api.properstar.com/api/v2/files/f6dc6fda-acf5-4507-a43a-a0bb6aed627b/1; https://files-api.properstar.com/api/v2/files/fa4efca0-3d80-4c42-a2b8-5aea53c5f875/1; https://files-api.properstar.com/api/v2/files/aa35d858-33cc-4629-8a0b-8c125a555118/1; https://files-api.properstar.com/api/v2/files/aa1f779e-783d-4423-8e21-0522e4dbbcc2/1; https://files-api.properstar.com/api/v2/files/048571f3-e552-4271-9996-65f28de4b018/1; https://files-api.properstar.com/api/v2/files/8c325ca7-8cc2-4a7d-9965-1eb55bd977b4/1; https://files-api.properstar.com/api/v2/files/fd7de1b1-3301-4444-9a1f-0205efe362dc/1; https://files-api.properstar.com/api/v2/files/1667a1e2-932c-4a51-9dbe-f26a680d37e2/1; https://files-api.properstar.com/api/v2/files/b2574a1c-39ff-426a-a8cf-eab6cd1d9537/1; https://files-api.properstar.com/api/v2/files/872ab4b7-4961-470f-86f7-30af2f60812f/1; https://files-api.properstar.com/api/v2/files/3bc878ed-a403-41fb-b544-0841920035a7/1; https://files-api.properstar.com/api/v2/files/d6aafb26-4149-41d3-a97b-7cb4abf8ed4e/1; https://files-api.properstar.com/api/v2/files/7528a1e6-5f06-47d7-b7cd-d4e168cf2fb1/1; https://files-api.properstar.com/api/v2/files/41c6d16d-8e11-41ca-88ba-ef8a9be28cf5/1; https://files-api.properstar.com/api/v2/files/f6a7b1d5-89c6-45d4-ae4f-2795fc00659c/1; https://files-api.properstar.com/api/v2/files/47887252-39a7-4248-9a77-32bb4eb948f9/1; https://files-api.properstar.com/api/v2/files/d9298fe4-fd42-487c-8be2-ecdb55033583/1; https://files-api.properstar.com/api/v2/files/30d7b02c-388d-416b-88e8-16af4c6ed6dc/1; https://files-api.properstar.com/api/v2/files/cff17b42-a927-4941-ab07-19b21e67306b/1; https://files-api.properstar.com/api/v2/files/ea68924c-6ee0-494d-87be-44baeda80048/1; https://files-api.properstar.com/api/v2/files/11d76ff0-b4c9-472a-84a6-9bba2590acad/1
