id,title,url,price,location,latitude,longitude,bedrooms,bathrooms,size_sqft,property_type,advertiser,pictures
112243783,For Sale Stylish Condos with Strong Investment Value in Tulum,https://www.properstar.co.uk/listing/112243783,"GBP 86,504","2, Tulum, Mexico",20.211419,-87.46535,2,2,645.83,Apartment,Kira Simon,https://files-api.properstar.com/api/v2/files/6a185497-814d-4cbd-bd56-c9adaf46fb5d/1; https://files-api.properstar.com/api/v2/files/c92b7aa1-5efd-4011-a835-dcdea3de1fed/1; https://files-api.properstar.com/api/v2/files/abeee60e-630a-48b3-8e30-973f1da9647d/1; https://files-api.properstar.com/api/v2/files/246632ac-850a-4adc-8572-9fd3fb98369d/1; https://files-api.properstar.com/api/v2/files/6e951091-ef7b-4e31-88db-3132c87de39c/1; https://files-api.properstar.com/api/v2/files/15832e3b-f860-466e-86c4-2da40141e6f3/1; https://files-api.properstar.com/api/v2/files/f49ebd74-e5f8-4cd5-a2f6-33b6c1bc8936/1; https://files-api.properstar.com/api/v2/files/d1615ff3-f8c9-4fe9-a41c-5478d9f122e0/1; https://files-api.properstar.com/api/v2/files/7e816ba9-5974-4d7e-96f9-e34cae8a1a22/1; https://files-api.properstar.com/api/v2/files/98ed7b0b-4b74-4965-827b-176957a09161/1; https://files-api.properstar.com/api/v2/files/7c41d0d4-d5f5-4a9e-b891-df0de0d2a9af/1; https://files-api.properstar.com/api/v2/files/bb32e9d0-ba4d-4e73-a733-233c27f13b7c/1
119659732,"4 Bedroom Luxury Villa, Private Pool, Furnished,",https://www.properstar.co.uk/listing/119659732,"GBP 297,559","Quintana Roo, Tulum , Tulum, Mexico",20.211419,-87.46535,4,3,2152.783,House,Myan Realty,https://files-api.properstar.com/api/v2/files/9db543e6-0801-4fc7-86c4-0f84271a1be6/1; https://files-api.properstar.com/api/v2/files/e6b6ae10-e09d-4ccb-994a-781fdded45ee/1; https://files-api.properstar.com/api/v2/files/eb7a8a34-0828-4400-b60e-bd119643bd1d/1; https://files-api.properstar.com/api/v2/files/c7b130d0-766c-4e20-bdb7-83c0c79cadca/1; https://files-api.properstar.com/api/v2/files/11b0f23d-3c38-4b1c-80ce-f17636085f8b/1; https://files-api.properstar.com/api/v2/files/b32cceff-564c-480e-8542-aedf9adacd87/1; https://files-api.properstar.com/api/v2/files/f7ae5d36-9212-4b31-ae23-340322ef1145/1; https://files-api.properstar.com/api/v2/files/e48c4312-70d8-426b-9184-1d65f25548f0/1; https://files-api.properstar.com/api/v2/files/9bd4f75c-5558-41f9-8359-675fbefa4adc/1; https://files-api.properstar.com/api/v2/files/7e779ec7-2353-4710-b02b-e1bbbb27abd6/1; https://files-api.properstar.com/api/v2/files/2e4f4c90-c15e-4478-8212-13f07b21dc16/1; https://files-api.properstar.com/api/v2/files/5b110c3c-b60d-46d5-a33b-6e4c63787b7d/1; https://files-api.properstar.com/api/v2/files/f6749960-dc18-4ca8-9b03-d9c61c75a97e/1; https://files-api.properstar.com/api/v2/files/ffc6895c-a603-48e1-8474-541e13a32bc6/1; https://files-api.properstar.com/api/v2/files/5a3ca35a-20ee-44d7-97aa-cde05bc53cfa/1; https://files-api.properstar.com/api/v2/files/b3d652c9-d4dd-4416-8ed2-a4820b60c04d/1; https://files-api.properstar.com/api/v2/files/b4d32320-81f2-4889-8b0d-09f6b38690b5/1; https://files-api.properstar.com/api/v2/files/7588289a-ee56-4ae1-a25b-6de50f419700/1; https://files-api.properstar.com/api/v2/files/0d7307a1-3e69-493b-9983-978d0ef5b459/1; https://files-api.properstar.com/api/v2/files/4b683287-4b1d-4405-a99b-6620b50d7b47/1; https://files-api.properstar.com/api/v2/files/90f33181-c553-49de-86d9-e24dbdb2960c/1; https://files-api.properstar.com/api/v2/files/87c45534-a2bb-404e-a16f-3b5c6a41dad7/1; https://files-api.properstar.com/api/v2/files/09e90d94-1ab7-4065-a33b-90c665ca595b/1; https://files-api.properstar.com/api/v2/files/77cdca71-3236-4fa6-9da8-4d8ac81c88bf/1; https://files-api.properstar.com/api/v2/files/09659aae-9903-4864-8d42-fce5d83e3b07/1; https://files-api.properstar.com/api/v2/files/d0726c84-3de5-455c-a49f-b420a7634b7d/1; https://files-api.properstar.com/api/v2/files/3e95a496-24c8-49aa-9c8e-710fe84e7fa4/1; https://files-api.properstar.com/api/v2/files/82703f28-88f6-48d2-9669-94b8ad410bd0/1
110257790,House in La Veleta,https://www.properstar.co.uk/listing/110257790,"GBP 806,392","Calle 8 Sur, La Veleta, Mexico",20.202257,-87.472987,6,6,3229.17432,House,PLAYA REALTORS- www.playarealtors.co,https://files-api.properstar.com/api/v2/files/fa184c09-ade1-4b58-ac09-500ec9590350/1; https://files-api.properstar.com/api/v2/files/054af0ad-f918-48ea-a713-664a0ff03e69/1; https://files-api.properstar.com/api/v2/files/b88deda4-d102-46f1-843f-28cc2f862baf/1; https://files-api.properstar.com/api/v2/files/9be92dc5-f603-4a6e-a707-a721130330ff/1; https://files-api.properstar.com/api/v2/files/939fbd0d-43ca-4300-8bcd-f8402dda1379/1; https://files-api.properstar.com/api/v2/files/364c0981-f8f9-415a-bfb8-69c71e28b607/1; https://files-api.properstar.com/api/v2/files/e4cd668a-e8fc-49ab-bbd0-d46914607bdc/1; https://files-api.properstar.com/api/v2/files/84f0a88a-d076-441e-b4d0-bc0713b06e3e/1; https://files-api.properstar.com/api/v2/files/a65cb3d7-0fc8-4913-af3b-c9740eb414d4/1; https://files-api.properstar.com/api/v2/files/6798a698-82e0-41ea-98d8-e573588f7e8b/1; https://files-api.properstar.com/api/v2/files/7356a0f1-a868-4183-9639-74b8ec93ff7d/1; https://files-api.properstar.com/api/v2/files/becb60b6-f6ef-49f1-b118-aa043ef31717/1; https://files-api.properstar.com/api/v2/files/8cfc9353-73c1-4f3c-ac1e-2fbb096a14e8/1; https://files-api.properstar.com/api/v2/files/f4a1d307-42b9-44c3-a18c-020d7c8da8bf/1; https://files-api.properstar.com/api/v2/files/ea0085c5-2d34-4eb0-90eb-313c379e0c02/1; https://files-api.properstar.com/api/v2/files/56ca15d1-566c-42a3-8144-d2c117c493ae/1; https://files-api.properstar.com/api/v2/files/6695f091-1b78-4985-a78a-c653de06fd15/1; https://files-api.properstar.com/api/v2/files/e97ba5db-b5e5-4eaf-8380-15a3e53aea79/1; https://files-api.properstar.com/api/v2/files/17c750b9-4ce5-45e7-96ec-e567131a2065/1; https://files-api.properstar.com/api/v2/files/a47093b4-5adc-42c2-9a7e-d87d25f38503/1; https://files-api.properstar.com/api/v2/files/eada7b99-ab68-4d9b-a38b-f027efddd508/1; https://files-api.properstar.com/api/v2/files/9b7b22cf-9726-456f-80e8-e482b27c9b5e/1; https://files-api.properstar.com/api/v2/files/490d885a-4132-42c0-a000-50b14355ff02/1; https://files-api.properstar.com/api/v2/files/4d50a284-0143-4b46-91ba-59148c64f1f3/1; https://files-api.properstar.com/api/v2/files/fd2eb40e-8871-43f6-84e7-fb8ac8690c8b/1; https://files-api.properstar.com/api/v2/files/e84be69b-5e5a-4116-86ed-8f43e22f6b24/1; https://files-api.properstar.com/api/v2/files/9dae0d45-08b4-4730-9e55-bee5d26de581/1; https://files-api.properstar.com/api/v2/files/27da984f-c17d-4648-a6e3-d79687beb438/1; https://files-api.properstar.com/api/v2/files/6e96fa30-1d60-4de9-9953-a0e44eea5289/1; https://files-api.properstar.com/api/v2/files/65c75dd6-be5b-43bb-88c1-7d51c5cd7d92/1; https://files-api.properstar.com/api/v2/files/7cc730bc-47c7-4db8-b224-eb69a3e6e965/1; https://files-api.properstar.com/api/v2/files/4c0cc9d6-1cf8-4237-a36a-8551dc2450ce/1; https://files-api.properstar.com/api/v2/files/f6568e88-8d74-4746-8689-ffeaac459a4a/1; https://files-api.properstar.com/api/v2/files/7d56f857-5c8d-4433-a769-ac3eb280bb73/1; https://files-api.properstar.com/api/v2/files/27b0fd0c-d5c3-4f16-b218-c0e568fec21a/1; https://files-api.properstar.com/api/v2/files/9535d7d5-b827-44d7-8f01-e91109ac1e45/1; https://files-api.properstar.com/api/v2/files/083cf549-c8cf-48c2-a9dc-9fce1ef0b487/1; https://files-api.properstar.com/api/v2/files/b39a47b2-469c-4b97-86c5-8dd7cf7b5dbc/1
116870716,2 Bedroom Villa in Tulum,https://www.properstar.co.uk/listing/116870716,"GBP 146,617","Av. Guardianes Mayas, Tulum, Mexico",20.181143,-87.468469,2,2,2314,House,Karla Torres,https://files-api.properstar.com/api/v2/files/18a170a7-fc37-4359-b02c-97230f8f77cb/1; https://files-api.properstar.com/api/v2/files/f87886f8-4204-4f4b-aca8-5eb72a1db106/1; https://files-api.properstar.com/api/v2/files/8c213ce9-bc8f-4dc9-8baa-1b74459f64c0/1; https://files-api.properstar.com/api/v2/files/58e6bd9b-a983-4711-b75e-9a38e4bb3b29/1; https://files-api.properstar.com/api/v2/files/29b65cfc-cc5c-45e3-886f-c8a81531c652/1; https://files-api.properstar.com/api/v2/files/f8a5ca79-11f6-48f8-8a17-bb7902a4dd26/1; https://files-api.properstar.com/api/v2/files/0fc850fb-5545-42ce-80d4-7af22361d37e/1; https://files-api.properstar.com/api/v2/files/eb11f589-7429-41a5-b97d-7af7a723e5a0/1; https://files-api.properstar.com/api/v2/files/538dee7d-6d7b-40cf-9222-f42215b90ba8/1; https://files-api.properstar.com/api/v2/files/b417903a-552d-4a2a-ba26-5429ce1130d8/1; https://files-api.properstar.com/api/v2/files/11e4425b-3b92-4193-a917-4dcd1a4b0a88/1; https://files-api.properstar.com/api/v2/files/179025ed-8237-4010-92fb-189174e10dba/1; https://files-api.properstar.com/api/v2/files/81f04b6a-5021-432a-96de-215737c63474/1; https://files-api.properstar.com/api/v2/files/b6e7d317-6a22-45f9-be3e-a75b5614c2ce/1; https://files-api.properstar.com/api/v2/files/3e81258e-2ebc-49ed-a92c-c21913a094d4/1; https://files-api.properstar.com/api/v2/files/98e3d27c-7d5f-4389-9360-7adf54cf1657/1
112890489,Fabulous 1-bedroom condo with a hacienda style in Tulum,https://www.properstar.co.uk/listing/112890489,"GBP 108,333","1 Av. Fundadores de Tulum, Tulum, Mexico",20.195433,-87.476544,1,1,699.6545,Apartment,AIH Realty,https://files-api.properstar.com/api/v2/files/c04910dc-49ec-403e-89f1-3690e13fc2d5/1; https://files-api.properstar.com/api/v2/files/2e500d21-6cd9-4031-b815-b73993ac63b4/1; https://files-api.properstar.com/api/v2/files/8792a17e-7aa1-402c-a51a-2ea79c5524b4/1; https://files-api.properstar.com/api/v2/files/b97a607c-a268-4268-8ea7-e17f55921777/1; https://files-api.properstar.com/api/v2/files/234586e7-0f65-4301-85c4-8e718b0cd662/1; https://files-api.properstar.com/api/v2/files/18a2ec3e-69b4-4022-86d8-089a5c1a69fc/1; https://files-api.properstar.com/api/v2/files/74a223e1-6783-4b72-8d1b-ed4010d61a83/1; https://files-api.properstar.com/api/v2/files/9ce957f0-352f-4736-be09-cede5397f343/1; https://files-api.properstar.com/api/v2/files/4e5e39e7-5cde-4d47-a2e9-5b34cced119e/1; https://files-api.properstar.com/api/v2/files/da5f94a1-b6c5-4d88-adcd-23bf2fa19ab2/1; https://files-api.properstar.com/api/v2/files/1e43ba75-ec90-420c-b02a-1b9158540287/1; https://files-api.properstar.com/api/v2/files/8db7b999-72a3-4efc-861e-b78b04a7302c/1; https://files-api.properstar.com/api/v2/files/3ed890b7-b378-48ba-9b28-57158c42a9d1/1; https://files-api.properstar.com/api/v2/files/704068dc-4541-43c8-8738-2dc246bb1afa/1; https://files-api.properstar.com/api/v2/files/8a2b8695-9072-4445-a343-6877dcacfe76/1; https://files-api.properstar.com/api/v2/files/f7b90fa5-e2b3-45d7-ae11-b0a70b23ae0d/1; https://files-api.properstar.com/api/v2/files/f386229d-de0b-4213-bec0-b4bc69f54a2f/1; https://files-api.properstar.com/api/v2/files/2b58f98e-29a4-4d79-ab65-b4640e0a3897/1; https://files-api.properstar.com/api/v2/files/97b25737-612a-4e4f-975d-061b96898d47/1
118704078,Apartment for sale with pool Maya Zama Tulum Aldea Zama,https://www.properstar.co.uk/listing/118704078,"GBP 194,999","Quintana Roo, Tulum, Aldea Zama, Aldea Zama, Mexico",20.1998,-87.454707,2,2,1539.23975,Apartment,Adoquin Inmobiliaria,https://files-api.properstar.com/api/v2/files/b8cabc0c-6885-41e4-9fd5-b5fcf38c5fb7/1; https://files-api.properstar.com/api/v2/files/49786c13-cf10-45b8-ab8b-1cfe15e4d7da/1; https://files-api.properstar.com/api/v2/files/3425181d-0d91-478c-ba83-22fa60bedd75/1; https://files-api.properstar.com/api/v2/files/f5a8df4c-90e7-4eea-83c2-693640eb7be2/1; https://files-api.properstar.com/api/v2/files/7971e9de-6da8-4cb4-b832-0fcedfd5c772/1; https://files-api.properstar.com/api/v2/files/20658ce6-b40d-4898-b5f5-e3f219e909c4/1; https://files-api.properstar.com/api/v2/files/bde72cac-bd51-4e32-ae60-7c4a1da32c08/1; https://files-api.properstar.com/api/v2/files/e10ac145-2b48-4a64-829c-ba8f1e11aa28/1; https://files-api.properstar.com/api/v2/files/082d77c2-dc15-492e-bd9d-7b6a6a80297d/1; https://files-api.properstar.com/api/v2/files/ef28b144-81f1-4fbb-9a04-cc6d80ccaf79/1; https://files-api.properstar.com/api/v2/files/3ec53eae-827b-456a-9bed-5593236316d0/1; https://files-api.properstar.com/api/v2/files/dea51f5f-6a8c-445e-a41d-b90fbe9d55e5/1; https://files-api.properstar.com/api/v2/files/326ea2d6-101a-49c6-b767-4c483b06a34a/1; https://files-api.properstar.com/api/v2/files/b84ae479-077b-40d3-9fcf-ba1a2e78a358/1; https://files-api.properstar.com/api/v2/files/9dc3dc2d-f0b5-44e4-9178-86bf31f36e1d/1; https://files-api.properstar.com/api/v2/files/9bf88919-f971-478f-998a-9190ac27c520/1; https://files-api.properstar.com/api/v2/files/33cc84c2-3479-42f3-aacb-01f7e16d1c58/1; https://files-api.properstar.com/api/v2/files/f9ff1002-cb0a-44e2-baef-c1300bd856ab/1; https://files-api.properstar.com/api/v2/files/ceab899d-aac4-4f95-a30b-13b7721ab7d0/1; https://files-api.properstar.com/api/v2/files/4f74bdad-7150-4425-a7bc-29e3e467f4ec/1; https://files-api.properstar.com/api/v2/files/2014c5f0-195f-4fed-8c66-97865f7a5c66/1; https://files-api.properstar.com/api/v2/files/b1d87d16-21d5-4005-90c2-98f7cc625648/1; https://files-api.properstar.com/api/v2/files/ba47a82a-a6e8-4ad7-8121-525d3a544c21/1; https://files-api.properstar.com/api/v2/files/b0d2d20d-9713-4d7b-9ae4-517854ebb799/1; https://files-api.properstar.com/api/v2/files/dc64a232-69d9-4163-89e6-04aa6edaae7b/1; https://files-api.properstar.com/api/v2/files/0800d113-a3d9-4072-b0dc-e203e3c61fea/1; https://files-api.properstar.com/api/v2/files/9b110c61-1fb2-46cc-9d9f-46e44a21c81b/1; https://files-api.properstar.com/api/v2/files/645dcd57-4cff-4b3c-9789-4bf4425abd82/1; https://files-api.properstar.com/api/v2/files/67e61efe-88f9-4860-8b82-c511f1a63c4e/1; https://files-api.properstar.com/api/v2/files/b4583c63-bf15-4b71-a093-279bf937fe68/1; https://files-api.properstar.com/api/v2/files/7fd3eb8f-3673-41c6-a22a-4818879bbeeb/1; https://files-api.properstar.com/api/v2/files/17360ac8-c676-4d76-bd34-2a764f7e8c3d/1; https://files-api.properstar.com/api/v2/files/d686fc04-5811-416a-a804-6d7fb21ca77d/1; https://files-api.properstar.com/api/v2/files/c3cccfe8-a074-4244-9beb-f469c98a7e62/1; https://files-api.properstar.com/api/v2/files/19123e59-a182-41cf-89cd-436bf0292d4e/1; https://files-api.properstar.com/api/v2/files/52f07864-9bd2-40f5-a551-54f41933d257/1; https://files-api.properstar.com/api/v2/files/d227f2d1-6f44-472d-8ad9-f22bd756a8b9/1; https://files-api.properstar.com/api/v2/files/400c3311-91f1-45d6-8bc2-d93739f18289/1; https://files-api.properstar.com/api/v2/files/2a200048-07c5-4046-a0f9-1dc59c77309c/1; https://files-api.properstar.com/api/v2/files/a1a8085b-35d4-4017-9fea-cb6531288c4a/1
116650733,Luxury 1-Bedroom Apartment with Private Terrace in Aldea Zamá,https://www.properstar.co.uk/listing/116650733,"GBP 128,290","Aldea Zama, Tulum, Mexico",20.199765,-87.454034,1,1,586,Apartment,Karla Torres,https://files-api.properstar.com/api/v2/files/23a20291-0a45-4346-bc20-130428e3efc1/1; https://files-api.properstar.com/api/v2/files/7800d4ec-a41c-47dd-8238-7616362b36d1/1; https://files-api.properstar.com/api/v2/files/a01a3721-87a9-494b-a696-1d3a85e12d88/1; https://files-api.properstar.com/api/v2/files/da30ad20-34d5-42ab-b3a7-972280a412b5/1; https://files-api.properstar.com/api/v2/files/2d91ccb2-f2fa-4b3d-868a-fb4cd4f9cc1b/1; https://files-api.properstar.com/api/v2/files/12503c52-2df5-4f20-a3a7-7152478aa7bd/1; https://files-api.properstar.com/api/v2/files/009fee35-abf0-43d3-a016-0ae127bf2c87/1; https://files-api.properstar.com/api/v2/files/ac5fe7ca-2f39-43c2-9197-51c3d7e4896c/1; https://files-api.properstar.com/api/v2/files/13586216-5362-490b-883a-37b442fbd775/1; https://files-api.properstar.com/api/v2/files/764da583-38d3-42e2-bf56-417a0f926288/1; https://files-api.properstar.com/api/v2/files/e200dff2-e0b5-43e4-b3ca-c8b0b0578078/1; https://files-api.properstar.com/api/v2/files/18aa143b-1f1a-49df-8b69-b4efce20ccc8/1; https://files-api.properstar.com/api/v2/files/b47ca122-c140-4263-8891-7c3caed90a75/1; https://files-api.properstar.com/api/v2/files/75aae0a0-d5c6-4d92-b746-d45194e16708/1; https://files-api.properstar.com/api/v2/files/8938e789-770d-4979-bd46-24fd2ad8776e/1; https://files-api.properstar.com/api/v2/files/f2386c1d-9acf-43ab-83f2-de532302d2e4/1; https://files-api.properstar.com/api/v2/files/49028a43-2ad1-4a34-a493-6aa4d4478015/1; https://files-api.properstar.com/api/v2/files/e9c82711-2954-42b9-9d93-dcbcea648f10/1; https://files-api.properstar.com/api/v2/files/9689dc8c-9e22-4437-8ccd-9aac3e7d9577/1
119659738,"5 bedroom villa, furnished, in strategic location, large plot",https://www.properstar.co.uk/listing/119659738,"GBP 671,664","Quintana Roo, Tulum, Tulum, Mexico",20.211419,-87.46535,5,5,4144.10742,House,Myan Realty,https://files-api.properstar.com/api/v2/files/59e7a559-95d4-49b4-a6e8-0408196eb9da/1; https://files-api.properstar.com/api/v2/files/0ea9bb40-8238-498d-9449-ed79ad8439e4/1; https://files-api.properstar.com/api/v2/files/c65fa8a0-b295-4ded-8acf-c39ae61a14ce/1; https://files-api.properstar.com/api/v2/files/84673423-31f0-49b8-b2ba-a284f9421aab/1; https://files-api.properstar.com/api/v2/files/e01f7c3a-ce06-4ee5-85b8-3f4ead3509c2/1; https://files-api.properstar.com/api/v2/files/57c4052d-75f2-4aed-a4db-6604e04897d3/1; https://files-api.properstar.com/api/v2/files/d68a1f3a-b6ec-4f10-b71d-4f422e85859f/1; https://files-api.properstar.com/api/v2/files/b5e11b43-5f09-40f0-aed2-2903c39b2779/1; https://files-api.properstar.com/api/v2/files/6b4e5725-c063-4e51-827b-d2dc18bd60ae/1; https://files-api.properstar.com/api/v2/files/0e024ccf-b4be-4ac3-99b7-478783cb499c/1; https://files-api.properstar.com/api/v2/files/d3d809b7-6cb8-4417-95a6-724459c11bdf/1; https://files-api.properstar.com/api/v2/files/a4c1c899-9665-4abe-a6e2-1b257878b501/1; https://files-api.properstar.com/api/v2/files/2ed9bd46-a414-405e-af92-03b194212d3d/1; https://files-api.properstar.com/api/v2/files/2965ed24-8ffc-4b68-ab83-9a3ecb9829c5/1; https://files-api.properstar.com/api/v2/files/bb3b7d52-31f1-45b9-93ae-eb577f0e1521/1; https://files-api.properstar.com/api/v2/files/16fd0f8e-5adc-4227-a042-5541178a90c3/1; https://files-api.properstar.com/api/v2/files/75ced162-502d-44dc-912a-dc664d538656/1; https://files-api.properstar.com/api/v2/files/375eedab-a418-4a3f-9437-868b5deed780/1; https://files-api.properstar.com/api/v2/files/4c7a2c7c-57d6-4865-baad-24e957feafa3/1; https://files-api.properstar.com/api/v2/files/8f7a532c-1e65-4491-846c-b65b7cd430b0/1; https://files-api.properstar.com/api/v2/files/5749570d-80ab-474b-9740-19bcfbed6c55/1
119551749,"Casa Coco, 3 bedroom house for sale Tulum",https://www.properstar.co.uk/listing/119551749,"GBP 246,316","2, Tulum, Mexico",20.211419,-87.46535,3,3,1786.80981,House,Karla Torres,https://files-api.properstar.com/api/v2/files/147e3d16-6a4f-4ebf-acc9-7686a228f6d4/1; https://files-api.properstar.com/api/v2/files/97e116aa-02e1-43c8-a1c4-907504db164d/1; https://files-api.properstar.com/api/v2/files/82ea1f51-4204-44ae-b6a1-5e09ba3a3234/1; https://files-api.properstar.com/api/v2/files/55f7df11-5cbe-4a79-9eba-cf622d628592/1; https://files-api.properstar.com/api/v2/files/75838841-ebf5-4e7a-b126-395185cc0279/1; https://files-api.properstar.com/api/v2/files/1691e7cc-d56f-4664-8507-7f301a1a63a5/1; https://files-api.properstar.com/api/v2/files/49db3e57-7f89-441a-a1b8-75a00c7a9627/1; https://files-api.properstar.com/api/v2/files/03e8cd1f-53a8-41af-9973-1de0f49ea03c/1; https://files-api.properstar.com/api/v2/files/48b9b33c-2fbb-438c-ade1-a0014eaa2364/1; https://files-api.properstar.com/api/v2/files/5a8d3fc8-f00f-4e03-86b8-e55e2451c58a/1; https://files-api.properstar.com/api/v2/files/e65b6663-aab7-4bb4-8f64-f39cceffe7a1/1; https://files-api.properstar.com/api/v2/files/1959d944-90a7-431e-b792-97fd49e1fe52/1; https://files-api.properstar.com/api/v2/files/b96c127b-d022-46e3-8ba3-ff417a9eb403/1; https://files-api.properstar.com/api/v2/files/ea2f3adf-6dda-4074-bca5-a7e3052227c3/1; https://files-api.properstar.com/api/v2/files/189d8dbb-f1f2-4ac8-ac07-b4d2e43c52de/1; https://files-api.properstar.com/api/v2/files/c3e04586-e12e-4a78-b732-782cbea921d5/1; https://files-api.properstar.com/api/v2/files/b9d00b67-1f15-4d4a-aa3e-8b852081a789/1; https://files-api.properstar.com/api/v2/files/6d503bf5-1b3f-4454-8211-58fcbeac3a21/1; https://files-api.properstar.com/api/v2/files/7c9780c6-ff24-4478-a6b0-e86eaed6f1a9/1; https://files-api.properstar.com/api/v2/files/b8a47f37-7f24-4165-a0e8-71486759ced4/1; https://files-api.properstar.com/api/v2/files/993d2c13-2231-41d0-b1b3-46bb8444f56b/1; https://files-api.properstar.com/api/v2/files/0c18b490-8d30-4462-a458-3a5bbed20761/1; https://files-api.properstar.com/api/v2/files/9e5a48f4-d2e6-405b-9fc0-74f006bcb218/1; https://files-api.properstar.com/api/v2/files/5a22557e-02c8-451b-91aa-6a3c9424812e/1; https://files-api.properstar.com/api/v2/files/914ed11d-ac91-45c2-b92f-becb2396cf75/1; https://files-api.properstar.com/api/v2/files/bd37529d-7a9c-49bb-947e-7cb2a34292ee/1; https://files-api.properstar.com/api/v2/files/2495fd93-fd2d-4178-92ac-b0456f1d7a90/1; https://files-api.properstar.com/api/v2/files/74cd9c58-7142-466a-a1fb-d86d650f2b00/1; https://files-api.properstar.com/api/v2/files/c8bb197b-593f-4ff2-a411-e03eb85f7fa3/1; https://files-api.properstar.com/api/v2/files/9681b79e-5b7a-4369-a28c-b53d2609b2f6/1; https://files-api.properstar.com/api/v2/files/639bc94c-dbd4-4197-bd1c-42eb40888a9d/1
116650880,Elegant 1-Bedroom Residence in Gated Community,https://www.properstar.co.uk/listing/116650880,"GBP 149,117","Calle 2 Sur, Tulum, Mexico",20.200239,-87.478596,1,1,1215,Apartment,Karla Torres,https://files-api.properstar.com/api/v2/files/551a7fae-baf1-45cf-bfda-012e65cdc8e4/1; https://files-api.properstar.com/api/v2/files/021286a8-14e2-4792-a26b-9ea37d0c1e1a/1; https://files-api.properstar.com/api/v2/files/992f4d15-fc3b-420b-b33d-79af882b43fa/1; https://files-api.properstar.com/api/v2/files/bbbf721c-499c-4354-ba24-6314df95d5cd/1; https://files-api.properstar.com/api/v2/files/e158a732-1b56-4aef-a602-08d8248d703d/1; https://files-api.properstar.com/api/v2/files/8544ef9a-c997-40e8-baa0-7937fe735c89/1; https://files-api.properstar.com/api/v2/files/623ce303-44c0-4568-9c35-2abe54fff2fe/1; https://files-api.properstar.com/api/v2/files/cd05c632-8ae7-4b41-8aa2-cffcdc3b23d4/1; https://files-api.properstar.com/api/v2/files/9ea6ef78-0d10-4e95-91ae-897de3310c30/1; https://files-api.properstar.com/api/v2/files/7c72ab0d-a103-4999-84eb-dbe1e53f0fd4/1; https://files-api.properstar.com/api/v2/files/b1e555b0-91b1-4ec2-8696-d680276dd705/1; https://files-api.properstar.com/api/v2/files/43691388-4350-4065-948f-68c957185a9f/1; https://files-api.properstar.com/api/v2/files/370a08d1-8c85-442f-9cc6-caf44ec4542b/1
